g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
4,10,1,1,9,600,,4,0.000044,1,6,1
4,10,2,1,9,600,,4,0.000052,1,8,1
4,10,2,2,9,600,,3,0.000081,1,10,1
4,10,3,1,9,600,,5,0.000391,3,101,3
4,10,3,2,9,600,,9,0.001288,12,366,2
4,10,3,3,9,600,,4,0.000140,1,13,1
4,10,4,1,9,600,,3,0.000052,1,11,1
4,10,4,2,9,600,,8,0.000747,9,567,2
4,10,4,3,9,600,,7,0.000670,8,390,3
4,10,4,4,9,600,,5,0.000527,4,155,4
4,10,5,1,9,600,,6,0.000417,5,278,5
4,10,5,2,9,600,,6,0.000685,12,467,2
4,10,5,3,9,600,,6,0.001985,37,764,4
4,10,5,4,9,600,,6,0.003290,53,1394,4
4,10,5,5,9,600,,5,0.001886,35,783,5
4,10,6,1,9,600,,1,0.000050,1,13,1
4,10,6,2,9,600,,4,0.000946,13,554,6
4,10,6,3,9,600,,5,0.000436,5,158,3
4,10,6,4,9,600,,5,0.032361,722,18758,4
4,10,6,5,9,600,,5,0.003175,69,1390,5
4,10,6,6,9,600,,5,0.001999,21,515,6
4,10,7,1,9,600,,3,0.000826,19,507,7
4,10,7,2,9,600,,4,0.000927,12,510,6
4,10,7,3,9,600,,4,0.002334,51,1348,4
4,10,7,4,9,600,,5,0.016471,283,10499,5
