g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
4,10,1,1,16,600,,4,0.002,0.000,1,6,1
4,10,2,1,16,600,,2,0.002,0.000,1,6,1
4,10,2,2,16,600,,6,0.001,0.000,1,12,1
4,10,3,1,16,600,,3,0.001,0.000,1,9,1
4,10,3,2,16,600,,6,0.002,0.000,3,86,3
4,10,3,3,16,600,,10,0.003,0.002,42,1117,3
4,10,4,1,16,600,,0,0.000,0.000,0,0,0
4,10,4,2,16,600,,2,0.002,0.000,1,12,1
4,10,4,3,16,600,,5,0.002,0.000,3,99,3
4,10,4,4,16,600,,10,0.004,0.002,44,1152,4
4,10,5,1,16,600,,2,0.002,0.000,3,60,3
4,10,5,2,16,600,,5,0.004,0.003,43,2060,3
4,10,5,3,16,600,,7,0.003,0.001,24,826,3
4,10,5,4,16,600,,5,0.003,0.001,15,420,5
4,10,5,5,16,600,,8,0.003,0.001,9,381,5
4,10,6,1,16,600,,4,0.002,0.000,4,172,4
4,10,6,2,16,600,,2,0.001,0.000,1,16,1
4,10,6,3,16,600,,6,0.016,0.014,184,10544,3
4,10,6,4,16,600,,8,0.007,0.005,86,2689,6
4,10,6,5,16,600,,6,0.029,0.027,524,16941,4
4,10,6,6,16,600,,9,34.763,34.761,599294,15992464,6
4,10,7,1,16,600,,5,2.038,0.014,191,10416,7
4,10,7,2,16,600,,6,0.082,0.081,1287,41963,3
4,10,7,3,16,600,,4,0.003,0.001,17,564,4
4,10,7,4,16,600,,7,0.085,0.084,1006,58694,5
4,10,7,5,16,600,,5,0.137,0.135,3060,72326,6
4,10,7,6,16,600,,7,0.810,0.808,18662,385922,7
