g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
4,10,1,1,6,600,,5,0.000059,1,7,1
4,10,2,1,6,600,,1,0.000024,1,5,1
4,10,2,2,6,600,,4,0.000107,1,12,1
4,10,3,1,6,600,,5,0.000266,2,58,2
4,10,3,2,6,600,,8,0.000495,4,101,2
4,10,3,3,6,600,,6,0.000081,1,19,1
4,10,4,1,6,600,,10,0.001516,8,1183,4
4,10,4,2,6,600,,3,0.000123,1,13,1
4,10,4,3,6,600,,7,0.002289,61,1375,3
4,10,4,4,6,600,,6,0.001263,29,484,4
4,10,5,1,6,600,,4,0.000553,15,361,5
4,10,5,2,6,600,,6,0.001944,28,1356,7
4,10,5,3,6,600,,8,0.011768,128,7670,3
4,10,5,4,6,600,,4,0.000133,1,19,1
4,10,5,5,6,600,,4,0.000475,3,114,3
4,10,6,1,6,600,,3,0.000046,1,15,1
4,10,6,2,6,600,,5,0.000654,18,362,2
4,10,6,3,6,600,,4,0.000938,8,295,4
4,10,6,4,6,600,,7,0.014504,167,10434,4
4,10,6,5,6,600,,5,0.003239,69,1317,6
4,10,6,6,6,600,,6,0.100627,2140,48674,6
4,10,7,1,6,600,,4,0.000557,7,310,7
4,10,7,2,6,600,,5,0.018571,515,12014,2
4,10,7,3,6,600,,4,0.004049,121,2542,4
4,10,7,4,6,600,,5,0.001935,22,743,6
4,10,7,5,6,600,,6,0.044582,953,25886,6
4,10,7,6,6,600,,3,0.001128,5,210,5
4,10,7,7,6,600,,6,0.007114,136,2773,7
4,10,8,1,6,600,,0,0.000047,1,16,1
4,10,8,2,6,600,,7,0.226654,2600,162599,2
4,10,8,3,6,600,,5,0.010873,180,7627,3
4,10,8,4,6,600,,6,0.052004,783,34359,6
4,10,8,5,6,600,,5,0.010408,218,5599,6
4,10,8,6,6,600,,7,82.632225,1711380,37168883,7
4,10,8,7,6,600,,6,0.016013,346,6909,7
4,10,8,8,6,600,,7,8.912148,159198,3680313,8
4,10,9,1,6,600,,2,0.000455,6,186,6
4,10,9,2,6,600,,5,0.012741,256,7543,7
4,10,9,3,6,600,,5,0.028926,558,16289,6
4,10,9,4,6,600,,6,0.252202,3624,127989,5
4,10,9,5,6,600,,4,0.007486,172,2815,9
4,10,9,6,6,600,,5,16.690777,301287,7033546,7
4,10,9,7,6,600,,6,14.333949,294931,5824028,8
4,10,9,8,6,600,,6,2.055721,35789,763426,8
