g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
5,10,1,1,11,1|2|600|4|1|1,,5,0,6,1,9,2415,751,6791,5,5,5
5,10,1,2,11,1|2|600|4|1|1,,17,0,41,40,82,18224,4027,58486,11,17,17
5,10,1,3,11,1|2|600|4|1|1,,20,0,68,690,759,30445,5178,102680,11,20,20
5,10,1,4,11,1|2|600|4|1|1,,21,0,174,1453,1628,73167,10179,255033,9,21,21
5,10,1,5,11,1|2|600|4|1|1,,22,0,274,3711,3986,112394,13330,400257,10,22,22
5,10,1,6,11,1|2|600|4|1|1,Timeout,,0,388,602997,0,159674,16881,574294,11,34,44
5,10,1,7,11,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
5,10,1,8,11,1|2|600|4|1|1,,31,0,629,166499,167129,253084,21383,929914,11,31,31
5,10,1,9,11,1|2|600|4|1|1,,41,0,767,592462,593232,307752,23634,1139447,11,41,41
5,10,1,10,11,1|2|600|4|1|1,,34,0,1432,486736,488170,564251,37385,2114327,8,34,34
5,10,2,1,11,1|2|600|4|1|1,,7,0,11,10,22,5910,1602,18101,7,7,7
5,10,2,2,11,1|2|600|4|1|1,,4,0,15,2,18,5861,1254,18885,4,4,4
5,10,2,3,11,1|2|600|4|1|1,,13,0,92,72,165,40142,6306,140447,10,13,13
5,10,2,4,11,1|2|600|4|1|1,,9,0,105,40,147,44866,5958,160572,8,9,9
5,10,2,5,11,1|2|600|4|1|1,,13,0,158,970,1128,63488,7610,229627,9,13,13
5,10,2,6,11,1|2|600|4|1|1,,16,0,200,188334,188535,76035,7662,280335,8,16,16
5,10,2,7,11,1|2|600|4|1|1,,16,0,280,53523,53804,109383,9514,407752,9,16,16
5,10,2,8,11,1|2|600|4|1|1,,18,0,398,44049,44448,153845,12666,575755,11,18,18
5,10,2,9,11,1|2|600|4|1|1,Timeout,,0,399,606913,0,155045,11418,584492,9,10,-1
5,10,2,10,11,1|2|600|4|1|1,,18,0,615,105067,105684,242739,16270,921619,12,18,18
5,10,3,1,11,1|2|600|4|1|1,,3,0,8,1,10,4262,1103,12940,3,3,3
5,10,3,2,11,1|2|600|4|1|1,,6,0,25,4,29,11547,2281,38349,6,6,6
5,10,3,3,11,1|2|600|4|1|1,,7,0,42,6,49,18688,3009,64836,7,7,7
5,10,3,4,11,1|2|600|4|1|1,,7,0,62,17,80,26545,3412,95978,7,7,7
5,10,3,5,11,1|2|600|4|1|1,,9,0,158,61,220,62173,7140,228202,7,9,9
5,10,3,6,11,1|2|600|4|1|1,,10,0,229,91,321,90764,8943,338908,8,10,10
5,10,3,7,11,1|2|600|4|1|1,,10,0,274,227,501,107713,9796,404570,8,10,10
5,10,3,8,11,1|2|600|4|1|1,,10,0,334,129,464,128921,10649,487739,8,10,10
5,10,3,9,11,1|2|600|4|1|1,,12,0,545,190040,190586,205804,14202,790675,5,12,12
5,10,3,10,11,1|2|600|4|1|1,Timeout,,0,665,609209,0,264474,18155,1013078,12,16,18
5,10,4,1,11,1|2|600|4|1|1,,8,0,29,5,35,14157,3154,45652,8,8,8
5,10,4,2,11,1|2|600|4|1|1,,4,0,23,3,27,10721,2008,35881,4,4,4
5,10,4,3,11,1|2|600|4|1|1,,6,0,49,13,63,21497,3162,76234,6,6,6
5,10,4,4,11,1|2|600|4|1|1,,7,0,137,48,186,52763,6516,194165,6,7,7
