g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
5,10,1,1,15,1|2|600|4|1|1,,7,0,12,2,15,3284,1001,9482,7,7,7
5,10,1,2,15,1|2|600|4|1|1,,8,0,13,2,17,6132,1577,18352,8,8,8
5,10,1,3,15,1|2|600|4|1|1,,16,0,38,51,90,18650,4278,58729,9,16,16
5,10,1,4,15,1|2|600|4|1|1,,17,0,48,45,93,23235,5229,72855,9,17,17
5,10,1,5,15,1|2|600|4|1|1,,20,0,69,134,204,32880,6830,104483,10,20,20
5,10,1,6,15,1|2|600|4|1|1,,16,0,63,77,141,30640,6381,97112,8,16,16
5,10,1,7,15,1|2|600|4|1|1,,21,0,99,363,463,47177,9782,150064,11,21,21
5,10,1,8,15,1|2|600|4|1|1,,19,0,120,282,403,55451,10933,178871,11,19,19
5,10,1,9,15,1|2|600|4|1|1,,20,0,216,922,1138,100430,19434,326293,9,20,20
5,10,1,10,15,1|2|600|4|1|1,,26,0,304,3131,3437,138105,25885,451729,11,26,26
5,10,2,1,15,1|2|600|4|1|1,,6,0,10,2,12,5204,1402,15699,6,6,6
5,10,2,2,15,1|2|600|4|1|1,,8,0,20,3,24,9908,2254,31404,8,8,8
5,10,2,3,15,1|2|600|4|1|1,,5,0,21,7,29,10205,2106,33290,3,5,5
5,10,2,4,15,1|2|600|4|1|1,,8,0,39,6,46,17753,3158,60227,8,8,8
5,10,2,5,15,1|2|600|4|1|1,,10,0,86,75,162,34152,6010,117167,7,10,10
5,10,2,6,15,1|2|600|4|1|1,,11,0,95,245,341,41649,6762,145205,7,11,11
5,10,2,7,15,1|2|600|4|1|1,,13,0,156,82,240,67504,10514,237661,10,13,13
5,10,2,8,15,1|2|600|4|1|1,,15,0,179,554,734,74576,11566,261926,10,15,15
5,10,2,9,15,1|2|600|4|1|1,,15,0,191,2275,2467,78183,11418,277302,9,15,15
5,10,2,10,15,1|2|600|4|1|1,,13,0,151,2428,2580,64330,9770,226390,7,13,13
5,10,3,1,15,1|2|600|4|1|1,,8,0,24,4,29,10206,2478,32009,8,8,8
5,10,3,2,15,1|2|600|4|1|1,,6,0,23,4,28,11094,2281,36504,6,6,6
5,10,3,3,15,1|2|600|4|1|1,,6,0,55,23,79,24153,4134,84236,5,6,6
5,10,3,4,15,1|2|600|4|1|1,,7,0,53,15,68,22210,3412,78427,7,7,7
5,10,3,5,15,1|2|600|4|1|1,,11,0,91,27,118,38130,5715,136052,11,11,11
5,10,3,6,15,1|2|600|4|1|1,,14,0,256,213,470,99705,14193,362019,13,14,14
5,10,3,7,15,1|2|600|4|1|1,,8,0,85,25,110,36022,5196,129207,8,8,8
5,10,3,8,15,1|2|600|4|1|1,,11,0,224,1060,1285,86291,11899,314447,9,11,11
5,10,3,9,15,1|2|600|4|1|1,,11,0,298,606,905,116355,14202,433506,10,11,11
5,10,3,10,15,1|2|600|4|1|1,,11,0,252,1003,1256,98059,12355,362431,8,11,11
5,10,4,1,15,1|2|600|4|1|1,,3,0,12,1,13,5964,1404,18471,3,3,3
5,10,4,2,15,1|2|600|4|1|1,,4,0,22,3,26,10456,2008,34832,4,4,4
5,10,4,3,15,1|2|600|4|1|1,,7,0,48,7,56,21338,3612,74123,7,7,7
5,10,4,4,15,1|2|600|4|1|1,,7,0,103,46,150,43254,6516,155328,6,7,7
5,10,4,5,15,1|2|600|4|1|1,,8,0,84,24,109,35194,4970,127717,8,8,8
5,10,4,6,15,1|2|600|4|1|1,,7,0,138,53,192,50222,6624,184702,5,7,7
5,10,4,7,15,1|2|600|4|1|1,,7,0,105,27,132,43114,5228,160647,7,7,7
5,10,4,8,15,1|2|600|4|1|1,,8,0,226,119,346,87621,10532,328791,7,8,8
5,10,4,9,15,1|2|600|4|1|1,,9,0,154,35,190,63262,7536,235857,9,9,9
5,10,4,10,15,1|2|600|4|1|1,,9,0,179,88,268,69039,8040,258789,9,9,9
5,10,5,1,15,1|2|600|4|1|1,,3,0,18,2,21,7912,1705,25238,3,3,3
5,10,5,2,15,1|2|600|4|1|1,,6,0,45,6,52,20137,3335,70203,6,6,6
5,10,5,3,15,1|2|600|4|1|1,,7,0,63,19,82,27375,4215,97367,7,7,7
5,10,5,4,15,1|2|600|4|1|1,,6,0,122,36,159,47221,6345,173733,5,6,6
5,10,5,5,15,1|2|600|4|1|1,,6,0,86,22,109,35387,4400,131392,6,6,6
5,10,5,6,15,1|2|600|4|1|1,,7,0,118,29,147,45802,5430,171887,7,7,7
5,10,5,7,15,1|2|600|4|1|1,,8,0,254,82,338,96529,10910,365704,7,8,8
5,10,5,8,15,1|2|600|4|1|1,,10,0,198,43,242,79171,8565,301655,10,10,10
5,10,5,9,15,1|2|600|4|1|1,,6,0,139,26,167,53236,5820,201661,6,6,6
5,10,5,10,15,1|2|600|4|1|1,,9,0,388,408,797,146746,14925,565686,8,9,9
5,10,6,1,15,1|2|600|4|1|1,,3,0,20,3,23,9647,2006,30916,3,3,3
5,10,6,2,15,1|2|600|4|1|1,,7,0,63,10,73,27677,4412,97275,7,7,7
5,10,6,3,15,1|2|600|4|1|1,,7,0,80,25,105,34262,4818,123715,7,7,7
5,10,6,4,15,1|2|600|4|1|1,,7,0,109,15,124,40753,5224,150061,7,7,7
5,10,6,5,15,1|2|600|4|1|1,,7,0,124,25,150,49452,5630,186203,7,7,7
5,10,6,6,15,1|2|600|4|1|1,,6,0,114,27,142,45209,5286,169341,6,6,6
5,10,6,7,15,1|2|600|4|1|1,,7,0,155,28,184,58587,6442,222434,7,7,7
5,10,6,8,15,1|2|600|4|1|1,,9,0,215,42,258,82896,8548,317886,9,9,9
5,10,6,9,15,1|2|600|4|1|1,,8,0,376,178,555,139848,13554,543003,7,8,8
5,10,6,10,15,1|2|600|4|1|1,,8,0,230,43,274,90619,8610,351467,8,8,8
5,10,7,1,15,1|2|600|4|1|1,,7,0,63,23,87,26188,4607,88574,7,7,7
5,10,7,2,15,1|2|600|4|1|1,,7,0,84,24,109,33370,5014,118649,7,7,7
5,10,7,3,15,1|2|600|4|1|1,,7,0,114,26,141,43538,5421,161076,7,7,7
5,10,7,4,15,1|2|600|4|1|1,,5,0,87,26,114,34237,4378,125480,5,5,5
5,10,7,5,15,1|2|600|4|1|1,,7,0,142,28,171,54202,6235,203610,7,7,7
5,10,7,6,15,1|2|600|4|1|1,,7,0,280,99,379,106152,10767,408308,6,7,7
5,10,7,7,15,1|2|600|4|1|1,,5,0,124,27,152,49605,5299,188437,5,5,5
5,10,7,8,15,1|2|600|4|1|1,,6,0,173,30,204,65139,6531,250459,6,6,6
5,10,7,9,15,1|2|600|4|1|1,,7,0,220,41,263,84986,7863,330516,7,7,7
5,10,7,10,15,1|2|600|4|1|1,,8,0,277,46,325,105126,9295,411650,8,8,8
5,10,8,1,15,1|2|600|4|1|1,,5,0,55,14,70,22127,3908,73994,5,5,5
5,10,8,2,15,1|2|600|4|1|1,,3,0,44,5,50,18027,2816,62585,3,3,3
5,10,8,3,15,1|2|600|4|1|1,,7,0,114,29,143,47906,6024,176099,7,7,7
5,10,8,4,15,1|2|600|4|1|1,,6,0,120,28,149,47222,5632,175644,6,6,6
5,10,8,5,15,1|2|600|4|1|1,,6,0,152,30,183,58136,5990,221851,6,6,6
5,10,8,6,15,1|2|600|4|1|1,,7,0,186,31,218,70812,7248,270638,7,7,7
5,10,8,7,15,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
5,10,8,8,15,1|2|600|4|1|1,,8,0,470,111,582,174997,15064,688975,7,8,8
5,10,8,9,15,1|2|600|4|1|1,,7,0,249,46,296,97316,8472,381095,7,7,7
5,10,8,10,15,1|2|600|4|1|1,,7,0,278,47,326,105568,8880,415278,7,7,7
5,10,9,1,15,1|2|600|4|1|1,,5,0,57,17,74,26205,4359,88365,5,5,5
5,10,9,2,15,1|2|600|4|1|1,,8,0,136,28,164,54986,6993,200454,8,8,8
5,10,9,3,15,1|2|600|4|1|1,,6,0,115,24,140,46803,5802,171430,6,6,6
5,10,9,4,15,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
5,10,9,5,15,1|2|600|4|1|1,,5,0,135,27,163,52047,5595,196279,5,5,5
5,10,9,6,15,1|2|600|4|1|1,,9,0,272,45,318,105539,9804,409020,9,9,9
5,10,9,7,15,1|2|600|4|1|1,,6,0,212,36,249,81050,7238,315649,6,6,6
5,10,9,8,15,1|2|600|4|1|1,,6,0,250,39,290,93553,7597,369061,6,6,6
5,10,9,9,15,1|2|600|4|1|1,,6,0,251,37,289,94683,7956,372100,6,6,6
5,10,9,10,15,1|2|600|4|1|1,,8,0,349,67,417,131972,10665,522040,8,8,8
5,10,10,1,15,1|2|600|4|1|1,,6,0,79,24,105,36142,5610,123829,6,6,6
5,10,10,2,15,1|2|600|4|1|1,,4,0,80,24,105,31484,4270,112236,4,4,4
5,10,10,3,15,1|2|600|4|1|1,,6,0,139,31,171,54664,6330,202449,6,6,6
5,10,10,4,15,1|2|600|4|1|1,,7,0,182,33,216,71591,7640,269677,7,7,7
5,10,10,5,15,1|2|600|4|1|1,,6,0,186,33,220,71746,7050,274421,6,6,6
5,10,10,6,15,1|2|600|4|1|1,,5,0,286,65,352,106084,9510,412288,4,5,5
5,10,10,7,15,1|2|600|4|1|1,,4,0,144,27,172,57223,5570,219196,4,4,4
5,10,10,8,15,1|2|600|4|1|1,,7,0,298,44,343,113144,9280,445320,7,7,7
5,10,10,9,15,1|2|600|4|1|1,,5,0,249,38,288,93493,7290,370080,5,5,5
5,10,10,10,15,1|2|600|4|1|1,,5,0,263,40,304,98489,7600,390749,5,5,5
5,20,1,1,15,1|2|600|4|1|1,,9,0,14,3,18,3754,1251,10594,9,9,9
5,20,1,2,15,1|2|600|4|1|1,,18,0,34,30,65,16161,4727,47423,13,18,18
5,20,1,3,15,1|2|600|4|1|1,,18,0,31,6,38,16161,4278,48176,18,18,18
5,20,1,4,15,1|2|600|4|1|1,,14,0,39,36,76,19509,4679,60107,8,14,14
5,20,1,5,15,1|2|600|4|1|1,,22,0,61,149,211,30528,7480,93053,11,22,22
5,20,1,6,15,1|2|600|4|1|1,,20,0,96,110,207,46830,10881,144274,14,20,20
5,20,1,7,15,1|2|600|4|1|1,,24,0,93,185,279,45138,10632,138891,12,24,24
5,20,1,8,15,1|2|600|4|1|1,,23,0,111,198,310,53499,11883,167053,12,23,23
5,20,1,9,15,1|2|600|4|1|1,,26,0,137,492,630,66793,15234,205896,14,26,26
5,20,1,10,15,1|2|600|4|1|1,,22,0,137,512,650,64929,14385,201429,12,22,22
5,20,2,1,15,1|2|600|4|1|1,,4,0,7,1,8,3459,1002,10058,4,4,4
5,20,2,2,15,1|2|600|4|1|1,,7,0,16,2,20,8213,2004,25517,7,7,7
5,20,2,3,15,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
5,20,2,4,15,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
5,20,2,5,15,1|2|600|4|1|1,,10,0,79,48,128,35515,6810,119422,8,10,10
5,20,2,6,15,1|2|600|4|1|1,,12,0,67,85,153,29940,5862,99408,6,12,12
5,20,2,7,15,1|2|600|4|1|1,,16,0,111,553,665,50505,9514,170026,9,16,16
5,20,2,8,15,1|2|600|4|1|1,,17,0,198,1096,1295,83496,14866,285306,13,17,17
5,20,2,9,15,1|2|600|4|1|1,,14,0,214,477,692,87725,15018,302852,12,14,14
5,20,2,10,15,1|2|600|4|1|1,,15,0,190,595,786,78851,13670,270347,10,15,15
5,20,3,1,15,1|2|600|4|1|1,,4,0,9,1,11,4860,1378,14035,4,4,4
5,20,3,2,15,1|2|600|4|1|1,,6,0,22,4,26,10400,2281,33722,6,6,6
5,20,3,3,15,1|2|600|4|1|1,,4,0,18,3,22,8899,1884,28764,4,4,4
5,20,3,4,15,1|2|600|4|1|1,,9,0,74,34,108,33309,6387,113025,7,9,9
5,20,3,5,15,1|2|600|4|1|1,,6,0,44,6,51,19395,3340,67056,6,6,6
5,20,3,6,15,1|2|600|4|1|1,,12,0,181,91,273,74509,12093,263595,11,12,12
5,20,3,7,15,1|2|600|4|1|1,,9,0,130,117,248,55804,8646,198823,7,9,9
5,20,3,8,15,1|2|600|4|1|1,,14,0,257,177,435,105353,16899,373325,13,14,14
5,20,3,9,15,1|2|600|4|1|1,,11,0,236,365,603,97672,14202,353503,10,11,11
5,20,3,10,15,1|2|600|4|1|1,,11,0,157,766,924,65071,9455,234591,6,11,11
5,20,4,1,15,1|2|600|4|1|1,,1,0,5,0,6,2288,704,6243,1,1,1
5,20,4,2,15,1|2|600|4|1|1,,3,0,16,2,19,7034,1608,22044,3,3,3
5,20,4,3,15,1|2|600|4|1|1,,13,0,78,26,105,35058,6312,120787,13,13,13
5,20,4,4,15,1|2|600|4|1|1,,7,0,53,14,69,22263,4016,76059,7,7,7
5,20,4,5,15,1|2|600|4|1|1,,10,0,95,27,123,38490,6070,136717,10,10,10
5,20,4,6,15,1|2|600|4|1|1,,7,0,81,21,103,32179,4824,115297,7,7,7
5,20,4,7,15,1|2|600|4|1|1,,9,0,117,26,145,46162,6528,167743,9,9,9
5,20,4,8,15,1|2|600|4|1|1,,8,0,191,104,296,74622,10532,271776,7,8,8
5,20,4,9,15,1|2|600|4|1|1,,12,0,294,189,483,116447,15786,428446,10,12,12
5,20,4,10,15,1|2|600|4|1|1,,17,0,461,751,1213,182643,23240,680131,14,17,17
5,20,5,1,15,1|2|600|4|1|1,,2,0,9,1,11,4996,1280,14785,2,2,2
5,20,5,2,15,1|2|600|4|1|1,,3,0,20,3,24,9639,1910,31820,3,3,3
5,20,5,3,15,1|2|600|4|1|1,,3,0,22,3,26,10690,2115,35074,3,3,3
5,20,5,4,15,1|2|600|4|1|1,,8,0,80,27,109,34646,5195,124340,8,8,8
5,20,5,5,15,1|2|600|4|1|1,,6,0,81,20,101,30746,4400,110911,6,6,6
5,20,5,6,15,1|2|600|4|1|1,,9,0,117,26,145,47459,6780,172238,9,9,9
5,20,5,7,15,1|2|600|4|1|1,,8,0,235,92,328,88888,10910,333367,7,8,8
5,20,5,8,15,1|2|600|4|1|1,,8,0,210,87,297,82688,10115,309694,6,8,8
