g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
7,10,1,1,13,600,,8,0.000044,1,10,1
7,10,2,1,13,600,,11,0.000044,1,15,1
7,10,2,2,13,600,,11,0.000071,1,26,1
7,10,3,1,13,600,,4,0.000035,1,10,1
7,10,3,2,13,600,,7,0.000073,1,19,1
7,10,3,3,13,600,,13,0.000501,3,195,3
7,10,4,1,13,600,,14,0.000066,1,22,1
7,10,4,2,13,600,,10,0.000356,3,142,3
7,10,4,3,13,600,,10,0.000490,3,189,3
7,10,4,4,13,600,,11,0.000174,1,47,1
7,10,5,1,13,600,,0,0.000026,1,10,1
7,10,5,2,13,600,,10,0.000117,1,25,1
7,10,5,3,13,600,,10,0.000984,7,339,3
7,10,5,4,13,600,,8,0.000727,3,150,3
7,10,5,5,13,600,,9,0.001927,17,688,5
7,10,6,1,13,600,,0,0.000031,1,12,1
7,10,6,2,13,600,,13,0.000597,7,256,2
7,10,6,3,13,600,,9,0.001268,7,393,6
7,10,6,4,13,600,,10,0.001461,14,544,4
7,10,6,5,13,600,,13,0.007421,71,3446,5
7,10,6,6,13,600,,10,0.004302,44,1505,6
7,10,7,1,13,600,,0,0.000038,1,14,1
7,10,7,2,13,600,,13,0.003995,21,2097,12
7,10,7,3,13,600,,9,0.000559,3,162,3
7,10,7,4,13,600,,7,0.002443,20,884,8
7,10,7,5,13,600,,7,0.000615,2,98,2
7,10,7,6,13,600,,10,0.005874,41,1961,8
7,10,7,7,13,600,,11,0.003704,10,711,7
7,10,8,1,13,600,,0,0.000043,1,16,1
7,10,8,2,13,600,,7,0.001080,15,438,6
7,10,8,3,13,600,,7,0.000664,3,144,3
7,10,8,4,13,600,,10,0.004439,69,1973,5
7,10,8,5,13,600,,10,0.002417,6,427,6
7,10,8,6,13,600,,9,0.004223,44,1430,6
7,10,8,7,13,600,,8,0.005423,44,1427,8
7,10,8,8,13,600,,13,0.010008,67,2755,8
7,10,9,1,13,600,,4,0.000064,1,22,1
7,10,9,2,13,600,,9,0.000806,5,299,4
7,10,9,3,13,600,,8,0.002047,23,746,4
7,10,9,4,13,600,,11,0.007791,72,3311,6
7,10,9,5,13,600,,8,0.003149,25,900,6
7,10,9,6,13,600,,7,0.003530,7,507,7
7,10,9,7,13,600,,11,0.062983,599,29642,7
7,10,9,8,13,600,,10,0.006109,18,1096,8
7,10,9,9,13,600,,10,0.010578,75,2441,9
7,10,10,1,13,600,,7,0.000447,3,155,3
7,10,10,2,13,600,,5,0.001462,18,504,7
7,10,10,3,13,600,,9,0.006084,63,2456,7
7,10,10,4,13,600,,8,0.001707,5,408,5
7,10,10,5,13,600,,9,0.006205,49,1943,7
7,10,10,6,13,600,,7,0.007646,77,2151,7
7,10,10,7,13,600,,9,0.089838,1060,30495,9
7,10,10,8,13,600,,11,0.009425,37,1869,8
7,10,10,9,13,600,,10,0.335530,3532,121042,9
7,10,10,10,13,600,,8,0.012289,32,1675,10
7,20,1,1,13,600,,3,0.000016,1,5,1
7,20,2,1,13,600,,14,0.000243,3,121,2
7,20,2,2,13,600,,8,0.000049,1,15,1
7,20,3,1,13,600,,16,0.000182,2,90,2
7,20,3,2,13,600,,12,0.000078,1,23,1
7,20,3,3,13,600,,16,0.000923,6,445,3
7,20,4,1,13,600,,8,0.000148,2,70,2
7,20,4,2,13,600,,8,0.001346,22,713,4
7,20,4,3,13,600,,8,0.000658,9,307,3
7,20,4,4,13,600,,7,0.000152,1,25,1
7,20,5,1,13,600,,8,0.000204,2,71,2
7,20,5,2,13,600,,18,0.000682,5,330,2
7,20,5,3,13,600,,16,0.003449,40,1984,4
7,20,5,4,13,600,,8,0.001123,5,294,5
7,20,5,5,13,600,,12,0.004328,54,1900,5
7,20,6,1,13,600,,1,0.000034,1,13,1
7,20,6,2,13,600,,5,0.000292,4,117,2
7,20,6,3,13,600,,10,0.000675,8,239,3
7,20,6,4,13,600,,7,0.002066,24,700,7
7,20,6,5,13,600,,10,0.001931,7,597,6
7,20,6,6,13,600,,15,0.014838,164,7791,6
7,20,7,1,13,600,,5,0.000247,3,116,3
7,20,7,2,13,600,,9,0.003774,54,2164,5
7,20,7,3,13,600,,8,0.000624,3,164,3
7,20,7,4,13,600,,7,0.001144,8,376,4
7,20,7,5,13,600,,14,0.003817,38,1294,6
7,20,7,6,13,600,,9,0.001538,4,292,4
7,20,7,7,13,600,,10,0.006572,66,2362,7
7,20,8,1,13,600,,7,0.001936,27,1109,8
7,20,8,2,13,600,,13,0.001355,8,562,6
7,20,8,3,13,600,,7,0.001306,6,366,6
7,20,8,4,13,600,,11,0.015391,151,7758,14
7,20,8,5,13,600,,15,0.097866,678,53374,5
7,20,8,6,13,600,,6,0.003825,20,882,10
7,20,8,7,13,600,,11,0.301930,3865,163460,8
7,20,8,8,13,600,,10,0.017765,216,6842,8
7,20,9,1,13,600,,8,0.000111,1,26,1
7,20,9,2,13,600,,7,0.001968,41,909,4
7,20,9,3,13,600,,8,0.002482,26,845,7
7,20,9,4,13,600,,11,0.007328,90,3252,6
7,20,9,5,13,600,,12,0.325688,3243,170418,5
7,20,9,6,13,600,,13,0.027959,383,13362,6
