g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
6,10,1,1,2,600,,0,0.000024,1,2,1
6,10,2,1,2,600,,10,0.000099,1,14,1
6,10,2,2,2,600,,5,0.000044,1,11,1
6,10,3,1,2,600,,0,0.000048,1,6,1
6,10,3,2,2,600,,9,0.001365,7,1037,2
6,10,3,3,2,600,,8,0.000096,1,25,1
6,10,4,1,2,600,,6,0.000254,2,160,2
6,10,4,2,2,600,,8,0.000192,2,71,2
6,10,4,3,2,600,,8,0.002106,10,1122,3
6,10,4,4,2,600,,13,0.000182,1,48,1
6,10,5,1,2,600,,3,0.000036,1,13,1
6,10,5,2,2,600,,11,0.003903,18,3107,2
6,10,5,3,2,600,,8,0.000342,2,125,2
6,10,5,4,2,600,,8,0.000188,1,32,1
6,10,5,5,2,600,,10,0.002024,20,779,5
6,10,6,1,2,600,,4,0.000145,2,73,2
6,10,6,2,2,600,,6,0.000857,7,521,4
6,10,6,3,2,600,,5,0.001424,19,781,5
6,10,6,4,2,600,,6,0.001047,8,290,5
6,10,6,5,2,600,,9,0.002246,10,854,6
6,10,6,6,2,600,,7,0.002163,16,605,6
6,10,7,1,2,600,,9,0.002494,11,1818,7
6,10,7,2,2,600,,5,0.000473,5,168,5
6,10,7,3,2,600,,13,0.000678,2,110,2
6,10,7,4,2,600,,8,0.007270,49,4475,4
6,10,7,5,2,600,,9,0.024702,157,17219,5
6,10,7,6,2,600,,11,0.441128,2889,287914,6
6,10,7,7,2,600,,8,0.003728,22,915,7
6,10,8,1,2,600,,8,0.004893,18,3844,8
6,10,8,2,2,600,,3,0.001073,13,421,11
6,10,8,3,2,600,,6,0.001318,7,413,7
6,10,8,4,2,600,,4,0.001074,4,189,4
6,10,8,5,2,600,,9,0.091617,552,67065,8
6,10,8,6,2,600,,8,0.015052,169,8209,6
6,10,8,7,2,600,,8,0.006385,44,2466,8
6,10,8,8,2,600,,9,0.009528,99,2823,8
6,10,9,1,2,600,,6,0.000117,1,24,1
6,10,9,2,2,600,,12,0.035623,213,25372,5
6,10,9,3,2,600,,7,0.019066,172,12216,6
6,10,9,4,2,600,,6,0.000307,1,41,1
6,10,9,5,2,600,,6,0.026513,239,17105,5
6,10,9,6,2,600,,8,0.100563,770,62252,8
6,10,9,7,2,600,,8,0.007996,36,1657,11
6,10,9,8,2,600,,10,0.025595,207,11839,8
