g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
6,10,1,1,14,600,,12,0.003,0.000,1,14,1
6,10,2,1,14,600,,14,0.003,0.000,1,18,1
6,10,2,2,14,600,,10,0.002,0.000,1,17,1
6,10,3,1,14,600,,7,0.002,0.000,1,13,1
6,10,3,2,14,600,,10,0.002,0.000,4,298,2
6,10,3,3,14,600,,9,0.002,0.000,3,260,2
6,10,4,1,14,600,,7,0.002,0.000,1,15,1
6,10,4,2,14,600,,6,0.002,0.000,1,18,1
6,10,4,3,14,600,,8,0.003,0.001,22,811,3
6,10,4,4,14,600,,8,0.002,0.000,1,27,1
6,10,5,1,14,600,,10,0.002,0.000,1,20,1
6,10,5,2,14,600,,9,0.002,0.000,1,19,1
6,10,5,3,14,600,,8,0.003,0.001,13,651,5
6,10,5,4,14,600,,7,0.003,0.001,9,346,5
6,10,5,5,14,600,,10,0.002,0.000,2,96,2
6,10,6,1,14,600,,6,0.003,0.001,15,947,6
6,10,6,2,14,600,,8,0.006,0.004,20,2994,9
6,10,6,3,14,600,,10,0.007,0.005,33,3726,3
6,10,6,4,14,600,,7,0.004,0.002,10,831,5
6,10,6,5,14,600,,8,0.004,0.002,6,433,6
6,10,6,6,14,600,,9,0.006,0.004,56,1590,6
6,10,7,1,14,600,,5,0.002,0.000,1,19,1
6,10,7,2,14,600,,10,0.024,0.022,139,16707,7
6,10,7,3,14,600,,5,0.002,0.000,1,23,1
6,10,7,4,14,600,,8,0.021,0.019,83,14590,5
6,10,7,5,14,600,,9,0.010,0.008,98,4256,6
6,10,7,6,14,600,,7,0.006,0.003,19,1058,7
6,10,7,7,14,600,,7,0.005,0.003,21,728,7
6,10,8,1,14,600,,4,0.002,0.000,3,119,3
6,10,8,2,14,600,,6,0.004,0.002,11,1046,11
6,10,8,3,14,600,,11,0.005,0.003,16,1806,3
6,10,8,4,14,600,,7,0.006,0.004,40,2200,4
6,10,8,5,14,600,,11,0.014,0.012,70,7324,6
6,10,8,6,14,600,,9,0.059,0.057,408,35233,7
6,10,8,7,14,600,,7,0.014,0.012,164,5638,8
6,10,8,8,14,600,,7,0.008,0.006,45,1348,8
6,10,9,1,14,600,,0,0.000,0.000,0,0,0
6,10,9,2,14,600,,8,0.004,0.002,12,1271,8
6,10,9,3,14,600,,8,0.022,0.020,101,14774,8
6,10,9,4,14,600,,7,0.024,0.022,155,14331,4
6,10,9,5,14,600,,6,0.010,0.008,59,4348,8
