g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
6,10,1,1,11,600,,12,0.003,0.000,1,14,1
6,10,2,1,11,600,,10,0.003,0.000,1,14,1
6,10,2,2,11,600,,5,0.003,0.000,1,9,1
6,10,3,1,11,600,,9,0.002,0.000,2,190,2
6,10,3,2,11,600,,7,0.002,0.000,1,19,1
6,10,3,3,11,600,,11,0.012,0.010,13,3414,2
6,10,4,1,11,600,,7,0.003,0.000,2,137,2
6,10,4,2,11,600,,10,0.007,0.004,12,2588,4
6,10,4,3,11,600,,6,0.003,0.000,1,24,1
6,10,4,4,11,600,,13,0.004,0.002,13,720,4
6,10,5,1,11,600,,6,0.002,0.000,1,16,1
6,10,5,2,11,600,,8,0.004,0.002,16,1757,5
6,10,5,3,11,600,,5,0.003,0.001,8,365,7
6,10,5,4,11,600,,9,0.005,0.003,25,1969,4
6,10,5,5,11,600,,10,0.008,0.006,60,2999,5
6,10,6,1,11,600,,6,0.002,0.000,1,18,1
6,10,6,2,11,600,,8,0.002,0.000,3,141,3
6,10,6,3,11,600,,12,0.105,0.103,519,75708,3
6,10,6,4,11,600,,6,0.003,0.001,7,307,5
6,10,6,5,11,600,,8,0.002,0.000,1,38,1
6,10,6,6,11,600,,11,0.005,0.003,21,911,6
6,10,7,1,11,600,,3,0.002,0.000,2,46,2
6,10,7,2,11,600,,9,0.013,0.012,63,9053,2
6,10,7,3,11,600,,8,0.006,0.004,57,2508,3
6,10,7,4,11,600,,12,0.019,0.017,108,11455,6
6,10,7,5,11,600,,8,0.009,0.007,87,3358,8
6,10,7,6,11,600,,9,0.004,0.002,7,597,7
6,10,7,7,11,600,,5,0.004,0.002,9,456,7
6,10,8,1,11,600,,6,0.018,0.016,108,12454,8
6,10,8,2,11,600,,10,0.011,0.009,53,7162,8
6,10,8,3,11,600,,7,0.003,0.001,8,460,8
6,10,8,4,11,600,,7,0.205,0.203,1413,147935,6
6,10,8,5,11,600,,7,0.009,0.005,64,2671,5
