g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
12,10,1,1,14,600,,0,0.000,0.000,0,0,0
12,10,2,1,14,600,,20,0.012,0.000,1,24,1
12,10,2,2,14,600,,12,0.010,0.000,1,16,1
12,10,3,1,14,600,,25,0.011,0.003,2,1910,2
12,10,3,2,14,600,,26,0.007,0.000,1,54,1
12,10,3,3,14,600,,21,0.006,0.000,1,53,1
12,10,4,1,14,600,,20,0.006,0.000,1,28,1
12,10,4,2,14,600,,12,0.006,0.000,1,29,1
12,10,4,3,14,600,,13,0.006,0.000,1,43,1
12,10,4,4,14,600,,30,0.006,0.000,1,96,1
12,10,5,1,14,600,,0,0.000,0.000,0,0,0
12,10,5,2,14,600,,15,0.007,0.000,2,117,2
12,10,5,3,14,600,,13,0.006,0.000,1,35,1
12,10,5,4,14,600,,17,0.007,0.001,2,461,2
12,10,5,5,14,600,,15,0.007,0.001,7,399,4
12,10,6,1,14,600,,19,0.006,0.000,1,31,1
12,10,6,2,14,600,,16,0.007,0.001,2,314,2
12,10,6,3,14,600,,16,0.010,0.004,16,2050,11
12,10,6,4,14,600,,25,0.019,0.013,6,9412,4
12,10,6,5,14,600,,23,0.009,0.003,3,1408,3
12,10,6,6,14,600,,15,0.007,0.000,1,90,1
12,10,7,1,14,600,,15,0.006,0.000,1,29,1
12,10,7,2,14,600,,5,0.006,0.000,1,22,1
12,10,7,3,14,600,,10,0.006,0.000,2,159,2
12,10,7,4,14,600,,22,0.008,0.002,10,677,5
12,10,7,5,14,600,,16,0.009,0.003,4,1179,4
12,10,7,6,14,600,,16,0.007,0.001,2,207,2
12,10,7,7,14,600,,22,0.008,0.003,3,516,3
12,10,8,1,14,600,,8,0.006,0.000,1,24,1
12,10,8,2,14,600,,4,0.006,0.000,1,20,1
12,10,8,3,14,600,,18,0.010,0.004,5,2550,4
12,10,8,4,14,600,,21,0.007,0.001,2,360,2
12,10,8,5,14,600,,19,0.033,0.027,37,17770,6
12,10,8,6,14,600,,18,0.015,0.009,29,3155,7
12,10,8,7,14,600,,16,0.014,0.008,15,3000,8
12,10,8,8,14,600,,25,0.020,0.014,45,4635,8
12,10,9,1,14,600,,10,0.007,0.000,2,202,2
12,10,9,2,14,600,,9,0.007,0.001,3,633,3
12,10,9,3,14,600,,14,0.103,0.097,100,68503,7
12,10,9,4,14,600,,15,0.011,0.004,24,1801,5
12,10,9,5,14,600,,17,0.039,0.032,57,21108,5
12,10,9,6,14,600,,16,0.022,0.015,30,6917,11
12,10,9,7,14,600,,15,0.007,0.001,1,102,1
12,10,9,8,14,600,,18,0.022,0.015,35,5271,9
12,10,9,9,14,600,,19,0.023,0.016,60,4033,9
12,10,10,1,14,600,,8,0.007,0.000,1,28,1
12,10,10,2,14,600,,11,0.006,0.000,1,31,1
12,10,10,3,14,600,,13,0.007,0.001,2,153,2
12,10,10,4,14,600,,17,0.009,0.002,5,532,5
12,10,10,5,14,600,,16,0.014,0.008,17,3451,6
12,10,10,6,14,600,,15,0.010,0.003,5,655,5
12,10,10,7,14,600,,14,0.018,0.011,19,5429,7
12,10,10,8,14,600,,14,0.038,0.032,53,18243,8
12,10,10,9,14,600,,15,0.023,0.017,53,3842,10
12,10,10,10,14,600,,17,0.024,0.018,45,3076,10
12,20,1,1,14,600,,0,0.000,0.000,0,0,0
12,20,2,1,14,600,,23,0.005,0.000,1,27,1
12,20,2,2,14,600,Unsolvable,,0.005,0.000,0,2,1
12,20,3,1,14,600,,21,0.015,0.010,7,7639,3
12,20,3,2,14,600,,25,0.005,0.000,2,163,2
12,20,3,3,14,600,,15,0.005,0.000,2,139,2
12,20,4,1,14,600,,0,0.000,0.000,0,0,0
12,20,4,2,14,600,,0,0.000,0.000,0,0,0
12,20,4,3,14,600,,18,0.005,0.000,1,39,1
12,20,4,4,14,600,,19,0.006,0.001,4,755,3
12,20,5,1,14,600,,13,0.005,0.000,1,23,1
12,20,5,2,14,600,,13,0.006,0.001,3,898,3
12,20,5,3,14,600,,18,0.006,0.001,12,506,3
12,20,5,4,14,600,,20,0.009,0.004,10,2566,4
12,20,5,5,14,600,,20,0.006,0.001,2,176,2
12,20,6,1,14,600,,0,0.000,0.000,0,0,0
12,20,6,2,14,600,,17,0.007,0.002,2,1152,2
12,20,6,3,14,600,,14,0.008,0.003,12,1726,3
12,20,6,4,14,600,,21,0.020,0.015,22,10679,4
12,20,6,5,14,600,,14,0.006,0.001,2,171,2
12,20,6,6,14,600,,24,0.006,0.001,1,111,1
12,20,7,1,14,600,,10,0.011,0.006,10,4193,7
12,20,7,2,14,600,,17,0.005,0.000,1,36,1
12,20,7,3,14,600,,21,0.017,0.012,14,8621,3
12,20,7,4,14,600,,20,0.007,0.002,4,817,4
12,20,7,5,14,600,,24,0.010,0.006,28,2610,5
12,20,7,6,14,600,,28,0.006,0.002,2,360,2
12,20,7,7,14,600,,15,0.012,0.007,30,2284,7
12,20,8,1,14,600,,8,0.006,0.001,6,816,6
12,20,8,2,14,600,,16,0.007,0.002,5,1351,5
12,20,8,3,14,600,,21,0.018,0.013,20,8019,8
12,20,8,4,14,600,,21,0.211,0.206,189,147516,6
12,20,8,5,14,600,,22,0.007,0.002,5,624,4
12,20,8,6,14,600,,10,0.006,0.001,1,66,1
