g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
12,10,1,1,8,600,,34,0.011,0.000,1,36,1
12,10,2,1,8,600,,4,0.009,0.000,1,8,1
12,10,2,2,8,600,,19,0.006,0.000,1,23,1
12,10,3,1,8,600,,13,0.006,0.000,1,19,1
12,10,3,2,8,600,,25,0.006,0.000,1,52,1
12,10,3,3,8,600,,14,0.006,0.000,1,34,1
12,10,4,1,8,600,,2,0.006,0.000,1,10,1
12,10,4,2,8,600,,13,0.006,0.000,1,21,1
12,10,4,3,8,600,,21,0.006,0.000,1,55,1
12,10,4,4,8,600,,18,0.007,0.001,3,293,3
12,10,5,1,8,600,,19,0.007,0.002,2,1063,2
12,10,5,2,8,600,,18,0.018,0.012,7,9272,7
12,10,5,3,8,600,,18,0.012,0.005,4,3850,4
12,10,5,4,8,600,,22,0.007,0.000,1,89,1
12,10,5,5,8,600,,9,0.007,0.000,1,39,1
12,10,6,1,8,600,,6,0.006,0.000,1,18,1
12,10,6,2,8,600,,15,0.008,0.002,3,1382,3
12,10,6,3,8,600,,16,0.007,0.000,1,44,1
12,10,6,4,8,600,,14,0.009,0.003,5,1433,5
12,10,6,5,8,600,,17,0.010,0.003,17,1431,5
12,10,6,6,8,600,,19,0.012,0.006,29,1960,6
12,10,7,1,8,600,,0,0.000,0.000,0,0,0
12,10,7,2,8,600,,17,0.007,0.000,1,36,1
12,10,7,3,8,600,,17,0.010,0.004,8,2175,4
12,10,7,4,8,600,,11,0.009,0.003,7,1647,6
12,10,7,5,8,600,,15,0.009,0.002,15,879,4
12,10,7,6,8,600,,21,0.022,0.015,101,6082,6
12,10,7,7,8,600,,24,0.011,0.005,16,1283,6
12,10,8,1,8,600,,8,0.006,0.000,1,24,1
12,10,8,2,8,600,,15,0.007,0.000,1,46,1
12,10,8,3,8,600,,15,0.007,0.000,1,52,1
12,10,8,4,8,600,,16,0.007,0.000,1,63,1
12,10,8,5,8,600,,16,0.007,0.001,2,213,2
12,10,8,6,8,600,,18,0.016,0.009,25,3314,10
12,10,8,7,8,600,,26,0.014,0.008,22,2004,7
12,10,8,8,8,600,,18,0.014,0.007,11,1326,8
12,10,9,1,8,600,,7,0.006,0.000,1,25,1
12,10,9,2,8,600,,11,0.008,0.002,4,698,4
12,10,9,3,8,600,,16,0.183,0.177,170,121778,4
12,10,9,4,8,600,,20,0.043,0.036,21,26171,4
12,10,9,5,8,600,,19,0.032,0.026,15,17193,7
12,10,9,6,8,600,,15,0.014,0.008,13,3290,7
12,10,9,7,8,600,,13,0.011,0.004,5,642,5
12,10,9,8,8,600,,24,0.017,0.011,19,2270,8
12,10,9,9,8,600,,18,0.020,0.014,44,2864,9
12,10,10,1,8,600,,7,0.006,0.000,1,27,1
12,10,10,2,8,600,,21,0.008,0.001,4,711,2
12,10,10,3,8,600,,14,0.061,0.054,84,36888,6
12,10,10,4,8,600,,15,0.009,0.003,4,910,4
12,10,10,5,8,600,,11,0.011,0.005,11,1313,8
12,10,10,6,8,600,,16,0.052,0.046,55,29226,7
12,10,10,7,8,600,,16,0.048,0.041,41,26222,8
12,10,10,8,8,600,,13,0.015,0.008,12,1237,8
12,10,10,9,8,600,,18,0.022,0.015,18,5127,8
12,10,10,10,8,600,,23,0.035,0.028,73,6593,10
12,20,1,1,8,600,,0,0.000,0.000,0,0,0
12,20,2,1,8,600,,0,0.000,0.000,0,0,0
12,20,2,2,8,600,,11,0.005,0.000,1,15,1
12,20,3,1,8,600,,12,0.006,0.001,2,455,2
12,20,3,2,8,600,,11,0.005,0.000,4,201,4
12,20,3,3,8,600,,23,0.005,0.000,1,63,1
12,20,4,1,8,600,,23,0.005,0.000,1,31,1
12,20,4,2,8,600,,13,0.005,0.000,1,21,1
12,20,4,3,8,600,,16,0.005,0.001,3,249,3
12,20,4,4,8,600,,30,0.007,0.003,9,1117,4
12,20,5,1,8,600,,16,0.004,0.000,1,26,1
12,20,5,2,8,600,,8,0.005,0.000,2,80,2
12,20,5,3,8,600,,27,0.006,0.001,4,553,3
12,20,5,4,8,600,,20,0.006,0.002,6,577,4
12,20,5,5,8,600,,13,0.005,0.000,1,54,1
12,20,6,1,8,600,,21,0.005,0.000,1,33,1
12,20,6,2,8,600,,17,0.008,0.000,1,46,1
12,20,6,3,8,600,,18,0.030,0.024,17,15364,6
12,20,6,4,8,600,,35,0.009,0.004,18,1701,5
12,20,6,5,8,600,,18,0.006,0.001,2,258,2
12,20,6,6,8,600,,19,0.011,0.003,8,972,6
12,20,7,1,8,600,,29,0.007,0.002,2,1885,2
12,20,7,2,8,600,,15,0.005,0.000,1,39,1
12,20,7,3,8,600,,12,0.005,0.000,1,43,1
12,20,7,4,8,600,,11,0.005,0.000,1,45,1
12,20,7,5,8,600,,14,0.007,0.002,3,1014,3
12,20,7,6,8,600,Timeout,,607.284,607.279,666071,400914530,6
12,20,7,7,8,600,,21,0.011,0.005,7,1223,7
12,20,8,1,8,600,,19,0.005,0.000,1,35,1
12,20,8,2,8,600,,17,0.005,0.000,1,50,1
12,20,8,3,8,600,,16,0.089,0.084,224,58261,3
12,20,8,4,8,600,,21,0.015,0.010,15,5475,7
12,20,8,5,8,600,,17,0.012,0.006,28,3303,5
12,20,8,6,8,600,,19,0.034,0.029,23,20096,5
12,20,8,7,8,600,,17,0.012,0.006,13,1589,7
