g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
5,10,1,1,15,1|2|600|4|1|1,,7,0,13,2,15,3285,1002,9484,7,7,7
5,10,1,2,15,1|2|600|4|1|1,,10,0,31,19,50,13656,2979,43806,8,10,10
5,10,1,3,15,1|2|600|4|1|1,,18,0,61,97,158,25565,4281,86383,9,18,18
5,10,1,4,15,1|2|600|4|1|1,,23,0,165,1134,1300,71389,10183,248003,9,23,23
5,10,1,5,15,1|2|600|4|1|1,,22,0,281,509,791,115545,13335,411893,10,22,22
5,10,1,6,15,1|2|600|4|1|1,,23,0,286,5830,6118,119398,12387,430372,8,23,23
5,10,1,7,15,1|2|600|4|1|1,,27,0,506,9756,10263,203582,19139,741394,11,27,27
5,10,1,8,15,1|2|600|4|1|1,,31,0,676,228646,229324,266901,21391,986155,11,31,31
5,10,1,9,15,1|2|600|4|1|1,Timeout,,0,666,604392,0,266327,19443,989863,9,19,-1
5,10,1,10,15,1|2|600|4|1|1,Timeout,,0,1013,614812,0,399475,25895,1497189,11,23,-1
5,10,2,1,15,1|2|600|4|1|1,,6,0,10,2,12,5208,1404,15707,6,6,6
5,10,2,2,15,1|2|600|4|1|1,,8,0,23,3,27,10844,2258,35132,8,8,8
5,10,2,3,15,1|2|600|4|1|1,,5,0,27,8,37,12377,2112,41954,3,5,5
5,10,2,4,15,1|2|600|4|1|1,,10,0,119,54,174,47036,5966,169478,8,10,10
5,10,2,5,15,1|2|600|4|1|1,,13,0,121,213,335,50972,6020,184407,7,13,13
5,10,2,6,15,1|2|600|4|1|1,,15,0,349,8548,8898,135585,13074,503317,7,15,15
5,10,2,7,15,1|2|600|4|1|1,,18,0,312,4317,4631,121292,10528,452757,10,18,18
5,10,2,8,15,1|2|600|4|1|1,,23,0,729,105901,106631,285928,22582,1076470,10,23,23
5,10,2,9,15,1|2|600|4|1|1,,22,0,841,123420,124262,325143,22236,1235730,9,22,22
5,10,2,10,15,1|2|600|4|1|1,,14,0,366,5202,5570,142490,9790,538950,7,14,14
5,10,3,1,15,1|2|600|4|1|1,,8,0,26,4,31,10213,2481,32023,8,8,8
5,10,3,2,15,1|2|600|4|1|1,,6,0,26,4,30,11828,2287,39412,6,6,6
5,10,3,3,15,1|2|600|4|1|1,,6,0,65,21,88,28014,4143,99638,5,6,6
5,10,3,4,15,1|2|600|4|1|1,,7,0,69,17,87,27950,3424,101331,7,7,7
5,10,3,5,15,1|2|600|4|1|1,,12,0,260,282,543,101910,10955,378870,11,12,12
5,10,3,6,15,1|2|600|4|1|1,,17,0,376,2492,2869,146547,14211,549303,13,17,17
5,10,3,7,15,1|2|600|4|1|1,,9,0,286,163,450,110592,9817,417066,8,9,9
5,10,3,8,15,1|2|600|4|1|1,,16,0,373,28704,29078,144811,11923,548415,9,16,16
