g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
5,10,1,1,2,1|2|600|4|1|1,,6,0,5,1,7,2785,877,7883,6,6,6
5,10,1,2,2,1|2|600|4|1|1,,17,0,34,53,89,16646,4379,50996,12,17,17
5,10,1,3,2,1|2|600|4|1|1,,13,0,43,22,66,21134,4731,66754,10,13,13
5,10,1,4,2,1|2|600|4|1|1,,22,0,65,106,171,30663,6883,96697,12,22,22
5,10,1,5,2,1|2|600|4|1|1,,11,0,37,6,44,18509,3910,58104,11,11,11
5,10,1,6,2,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
5,10,1,7,2,1|2|600|4|1|1,,20,0,91,156,248,43820,8939,139976,10,20,20
5,10,1,8,2,1|2|600|4|1|1,,25,0,151,173,325,71297,14741,226217,15,25,25
5,10,1,9,2,1|2|600|4|1|1,,22,0,143,215,360,69266,14193,219816,13,22,22
5,10,1,10,2,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
5,10,2,1,2,1|2|600|4|1|1,,6,0,11,1,13,5391,1404,16646,6,6,6
5,10,2,2,2,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
5,10,2,3,2,1|2|600|4|1|1,,10,0,56,31,88,25836,5112,86633,8,10,10
5,10,2,4,2,1|2|600|4|1|1,,10,0,79,49,129,36254,6666,123712,9,10,10
5,10,2,5,2,1|2|600|4|1|1,,12,0,110,114,225,49385,8420,171136,10,12,12
5,10,2,6,2,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
5,10,2,7,2,1|2|600|4|1|1,,15,0,181,235,417,75699,12528,262916,12,15,15
5,10,2,8,2,1|2|600|4|1|1,,12,0,157,178,336,68560,10482,242078,9,12,12
5,10,2,9,2,1|2|600|4|1|1,,13,0,127,137,264,55942,9036,194361,7,13,13
5,10,2,10,2,1|2|600|4|1|1,,16,0,214,746,960,89195,13690,313731,10,16,16
5,10,3,1,2,1|2|600|4|1|1,,2,0,5,1,7,3071,831,9019,2,2,2
5,10,3,2,2,1|2|600|4|1|1,,7,0,28,4,34,13242,2612,44435,7,7,7
5,10,3,3,2,1|2|600|4|1|1,,9,0,46,7,54,21036,3768,72277,9,9,9
5,10,3,4,2,1|2|600|4|1|1,,8,0,51,16,68,23150,3849,80672,8,8,8
5,10,3,5,2,1|2|600|4|1|1,,9,0,116,82,199,45852,7155,163196,7,9,9
5,10,3,6,2,1|2|600|4|1|1,,10,0,135,120,256,56899,7911,206971,7,10,10
5,10,3,7,2,1|2|600|4|1|1,,7,0,73,10,84,31847,4642,113546,7,7,7
5,10,3,8,2,1|2|600|4|1|1,,11,0,176,398,575,70855,9423,259559,7,11,11
5,10,3,9,2,1|2|600|4|1|1,,12,0,278,448,726,116442,15579,426722,11,12,12
5,10,3,10,2,1|2|600|4|1|1,,12,0,303,2173,2477,122112,15285,452366,10,12,12
5,10,4,1,2,1|2|600|4|1|1,,0,0,0,0,1,735,358,1360,0,0,0
5,10,4,2,2,1|2|600|4|1|1,,9,0,50,8,58,22623,4016,78105,9,9,9
5,10,4,3,2,1|2|600|4|1|1,,8,0,57,17,75,25304,4074,89135,8,8,8
5,10,4,4,2,1|2|600|4|1|1,,7,0,63,16,80,26495,4032,94247,7,7,7
5,10,4,5,2,1|2|600|4|1|1,,6,0,69,18,88,28135,3890,101932,6,6,6
5,10,4,6,2,1|2|600|4|1|1,,10,0,209,200,409,81251,10248,302355,8,10,10
5,10,4,7,2,1|2|600|4|1|1,,9,0,232,121,355,91854,11106,344369,8,9,9
5,10,4,8,2,1|2|600|4|1|1,,11,0,169,43,213,69486,8464,259298,11,11,11
5,10,4,9,2,1|2|600|4|1|1,,10,0,290,412,704,110374,12822,416367,8,10,10
5,10,4,10,2,1|2|600|4|1|1,,11,0,369,528,898,146738,16880,554070,10,11,11
5,10,5,1,2,1|2|600|4|1|1,,8,0,39,7,46,18615,3835,61255,8,8,8
5,10,5,2,2,1|2|600|4|1|1,,9,0,60,21,82,27295,4770,94154,9,9,9
5,10,5,3,2,1|2|600|4|1|1,,8,0,82,21,104,31886,4755,114122,8,8,8
5,10,5,4,2,1|2|600|4|1|1,,7,0,82,20,103,33026,4640,119369,7,7,7
5,10,5,5,2,1|2|600|4|1|1,,6,0,87,22,110,33931,4425,124721,6,6,6
5,10,5,6,2,1|2|600|4|1|1,,10,0,254,147,402,97651,11535,368025,8,10,10
5,10,5,7,2,1|2|600|4|1|1,,8,0,137,30,168,56023,6595,210443,8,8,8
5,10,5,8,2,1|2|600|4|1|1,,8,0,159,42,202,62291,7055,235341,8,8,8
5,10,5,9,2,1|2|600|4|1|1,,6,0,142,32,175,57231,5865,219021,6,6,6
5,10,5,10,2,1|2|600|4|1|1,,9,0,215,109,325,83831,8850,320236,9,9,9
5,10,6,1,2,1|2|600|4|1|1,,3,0,22,3,26,9977,2012,32402,3,3,3
