g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
9,10,1,1,10,600,,19,0.005,0.000,1,21,1
9,10,2,1,10,600,,6,0.004,0.000,1,10,1
9,10,2,2,10,600,,17,0.003,0.000,1,27,1
9,10,3,1,10,600,,0,0.000,0.000,0,0,0
9,10,3,2,10,600,,20,0.004,0.001,2,434,2
9,10,3,3,10,600,,10,0.003,0.000,3,163,3
9,10,4,1,10,600,,0,0.000,0.000,0,0,0
9,10,4,2,10,600,,11,0.003,0.001,3,325,3
9,10,4,3,10,600,,10,0.003,0.000,2,87,2
9,10,4,4,10,600,,14,0.003,0.000,1,51,1
9,10,5,1,10,600,,10,0.004,0.001,2,390,2
9,10,5,2,10,600,,18,0.003,0.000,2,135,2
9,10,5,3,10,600,,18,0.021,0.018,16,13739,3
9,10,5,4,10,600,,9,0.003,0.000,1,39,1
9,10,5,5,10,600,,14,0.003,0.001,2,139,2
9,10,6,1,10,600,,9,0.003,0.001,2,380,2
9,10,6,2,10,600,,10,0.003,0.000,2,240,2
9,10,6,3,10,600,,14,0.006,0.003,9,1661,3
9,10,6,4,10,600,,10,0.004,0.001,7,630,4
9,10,6,5,10,600,,13,0.007,0.004,11,2499,5
9,10,6,6,10,600,,11,0.003,0.000,1,68,1
9,10,7,1,10,600,,7,0.003,0.000,1,21,1
9,10,7,2,10,600,,22,0.003,0.000,1,44,1
9,10,7,3,10,600,,11,0.004,0.001,3,789,3
9,10,7,4,10,600,,14,0.020,0.017,33,12312,6
9,10,7,5,10,600,,16,0.007,0.004,7,1379,6
9,10,7,6,10,600,,14,0.007,0.004,9,1254,7
9,10,7,7,10,600,,13,0.008,0.005,20,1876,7
9,10,8,1,10,600,,5,0.003,0.000,1,21,1
9,10,8,2,10,600,,11,0.010,0.007,10,5077,8
9,10,8,3,10,600,,11,0.004,0.001,7,420,4
9,10,8,4,10,600,,11,0.007,0.005,14,2272,10
9,10,8,5,10,600,,9,0.005,0.002,10,972,6
9,10,8,6,10,600,,13,0.194,0.191,547,130475,6
9,10,8,7,10,600,,8,0.007,0.004,8,917,7
9,10,8,8,10,600,,15,0.014,0.011,62,3285,8
9,10,9,1,10,600,,10,0.008,0.005,9,3108,9
9,10,9,2,10,600,,16,0.039,0.036,63,26632,8
9,10,9,3,10,600,,12,0.005,0.002,5,798,3
9,10,9,4,10,600,,13,0.007,0.004,17,1873,4
9,10,9,5,10,600,,14,0.014,0.011,48,5833,7
9,10,9,6,10,600,,10,0.008,0.005,9,1471,7
9,10,9,7,10,600,,14,0.012,0.009,16,1699,11
9,10,9,8,10,600,,14,0.007,0.003,5,560,5
9,10,9,9,10,600,,13,0.013,0.010,24,1639,9
9,10,10,1,10,600,,7,0.004,0.000,1,27,1
9,10,10,2,10,600,,17,2.348,2.345,1542,1650497,8
9,10,10,3,10,600,,7,0.010,0.002,6,691,6
9,10,10,4,10,600,,14,0.229,0.226,266,163973,8
9,10,10,5,10,600,,13,11.642,11.639,21926,7488727,4
9,10,10,6,10,600,,12,0.142,0.014,24,7422,8
9,10,10,7,10,600,,16,0.013,0.009,18,3553,7
9,10,10,8,10,600,,12,0.027,0.023,85,11220,8
9,10,10,9,10,600,,13,0.023,0.019,68,7268,10
9,10,10,10,10,600,,18,0.033,0.030,118,11440,9
9,20,1,1,10,600,,4,0.003,0.000,1,6,1
9,20,2,1,10,600,,12,0.003,0.000,1,16,1
9,20,2,2,10,600,,22,0.003,0.000,1,37,1
9,20,3,1,10,600,,12,0.003,0.000,1,18,1
9,20,3,2,10,600,,8,0.003,0.000,2,63,2
9,20,3,3,10,600,,16,0.003,0.000,2,129,2
9,20,4,1,10,600,,2,0.003,0.000,1,10,1
9,20,4,2,10,600,,25,0.007,0.005,4,3538,2
9,20,4,3,10,600,,12,0.006,0.002,5,1666,2
9,20,4,4,10,600,,14,0.004,0.000,2,144,2
9,20,5,1,10,600,,0,0.000,0.000,0,0,0
9,20,5,2,10,600,,20,0.007,0.005,8,3518,2
9,20,5,3,10,600,,10,0.003,0.000,1,34,1
9,20,5,4,10,600,,14,0.003,0.000,2,131,2
9,20,5,5,10,600,,21,0.006,0.003,18,1255,5
9,20,6,1,10,600,,4,0.003,0.000,1,16,1
9,20,6,2,10,600,,8,0.003,0.000,1,20,1
9,20,6,3,10,600,,10,0.003,0.001,3,170,3
9,20,6,4,10,600,,11,0.005,0.002,16,944,9
9,20,6,5,10,600,,18,133.206,133.203,239883,91098406,5
9,20,6,6,10,600,,13,0.938,0.001,2,192,2
9,20,7,1,10,600,,0,0.000,0.000,0,0,0
9,20,7,2,10,600,,13,0.005,0.002,5,1378,2
9,20,7,3,10,600,,14,0.034,0.031,156,22287,5
9,20,7,4,10,600,,20,0.010,0.007,22,4645,6
9,20,7,5,10,600,,13,0.006,0.003,10,770,6
9,20,7,6,10,600,,14,0.057,0.054,188,37946,6
9,20,7,7,10,600,,19,0.043,0.039,197,25904,7
9,20,8,1,10,600,,2,0.003,0.000,2,57,2
9,20,8,2,10,600,,13,0.034,0.032,47,24419,4
9,20,8,3,10,600,,12,0.004,0.001,3,347,3
9,20,8,4,10,600,,17,0.082,0.079,130,58612,5
9,20,8,5,10,600,,16,0.016,0.013,33,7844,6
9,20,8,6,10,600,,12,0.484,0.481,4758,263146,7
9,20,8,7,10,600,,11,0.012,0.008,65,2890,7
9,20,8,8,10,600,,15,0.078,0.075,703,34659,8
9,20,9,1,10,600,,0,0.000,0.000,0,0,0
9,20,9,2,10,600,,11,0.006,0.003,12,1701,2
