g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
10,10,1,1,15,1|2|600|4|1|1,,6,0,32,5,38,12320,3502,35553,6,6,6
10,10,1,2,15,1|2|600|4|1|1,,9,0,76,12,88,35302,7004,112296,9,9,9
10,10,1,3,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,2223,593,0,933589,137706,3247720,19,153,-1
10,10,1,4,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,4933,1437,0,2021974,247508,7201110,14,225,-1
10,10,1,5,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,4279,879,0,1726916,178110,6247825,17,137,-1
10,10,1,6,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,9064,2137,0,3620452,325512,13266190,27,217,-1
10,10,1,7,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,10850,2039,0,4299020,341714,15902323,25,201,-1
10,10,1,8,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,9467,1669,0,3711371,260316,13851071,17,137,-1
10,10,1,9,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,22121,4385,0,8558689,539718,32187522,16,257,-1
10,10,1,10,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,24038,3912,0,9270869,554320,34954755,30,241,-1
10,10,2,1,15,1|2|600|4|1|1,,20,0,153,36,190,71256,16804,227072,20,20,20
10,10,2,2,15,1|2|600|4|1|1,,13,0,190,35,226,80738,14008,274816,13,13,13
10,10,2,3,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,5558,3262,0,2252242,308412,8137026,16,257,-1
10,10,2,4,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,5683,5727,0,2271062,259016,8350422,23,185,-1
10,10,2,5,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,6102,1575,0,2400444,232020,8958700,18,145,-1
