g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
10,10,1,1,14,1|2|600|4|1|1,,8,0,38,8,48,15881,4502,46786,8,8,8
10,10,1,2,14,1|2|600|4|1|1,,4,0,34,5,40,16592,3504,51564,4,4,4
10,10,1,3,14,1|2|600|4|1|1,,32,0,687,7114,7803,292299,44106,1006298,12,32,32
10,10,1,4,14,1|2|600|4|1|1,,29,0,761,1533,2296,319313,38508,1126639,17,29,29
10,10,1,5,14,1|2|600|4|1|1,Timeout,,0,2261,610268,0,927804,94910,3352641,18,37,72
10,10,1,6,14,1|2|600|4|1|1,Timeout,,0,3688,606711,0,1489125,133512,5445685,22,45,88
10,10,1,7,14,1|2|600|4|1|1,Timeout,,0,4805,611638,0,1918563,151314,7092286,22,45,66
10,10,1,8,14,1|2|600|4|1|1,Timeout,,0,5671,616486,0,2270260,161516,8453098,21,43,84
10,10,1,9,14,1|2|600|4|1|1,Timeout,,0,6644,644650,0,2652372,170118,9943141,20,41,-1
10,10,1,10,14,1|2|600|4|1|1,Timeout,,0,6043,647015,0,2372044,140320,8925512,15,31,-1
10,10,2,1,14,1|2|600|4|1|1,,16,0,120,41,161,56957,13604,181199,16,16,16
10,10,2,2,14,1|2|600|4|1|1,,21,0,290,51,342,125728,22008,429224,21,21,21
10,10,2,3,14,1|2|600|4|1|1,,18,0,557,1355,1913,235307,32412,838381,13,18,18
10,10,2,4,14,1|2|600|4|1|1,,25,0,1046,22848,23895,430425,49016,1569861,17,25,25
10,10,2,5,14,1|2|600|4|1|1,,22,0,1318,15483,16802,534603,52820,1975381,16,22,22
10,10,2,6,14,1|2|600|4|1|1,,28,0,1839,42222,44062,737604,63024,2758516,17,28,28
10,10,2,7,14,1|2|600|4|1|1,Timeout,,0,3782,640335,0,1491907,114028,5637113,14,32,33
10,10,2,8,14,1|2|600|4|1|1,Timeout,,0,2650,646465,0,1046225,72632,3963813,16,17,-1
10,10,2,9,14,1|2|600|4|1|1,Timeout,,0,7301,613946,0,2823280,175236,10792210,18,37,-1
10,10,2,10,14,1|2|600|4|1|1,Timeout,,0,5958,658580,0,2318459,132640,8888775,25,26,-1
10,10,3,1,14,1|2|600|4|1|1,,21,0,250,90,340,114114,24206,377295,21,21,21
10,10,3,2,14,1|2|600|4|1|1,,11,0,218,38,257,95872,15612,331826,11,11,11
10,10,3,3,14,1|2|600|4|1|1,,19,0,565,76,642,234220,30018,848415,19,19,19
10,10,3,4,14,1|2|600|4|1|1,,25,0,1750,137883,139635,696700,73124,2609926,21,25,25
10,10,3,5,14,1|2|600|4|1|1,,23,0,1228,300,1529,492384,45630,1849329,23,23,23
10,10,3,6,14,1|2|600|4|1|1,,28,0,2142,223179,225322,840191,69336,3192479,16,28,28
10,10,3,7,14,1|2|600|4|1|1,Timeout,,0,4559,669112,0,1783577,131142,6838170,28,32,35
10,10,3,8,14,1|2|600|4|1|1,,25,0,3980,164035,168016,1552379,102548,5981933,20,25,25
10,10,3,9,14,1|2|600|4|1|1,Timeout,,0,3620,678951,0,1396289,83754,5401608,15,16,-1
10,10,3,10,14,1|2|600|4|1|1,Timeout,,0,3712,681900,0,1431783,78360,5556127,13,14,-1
10,10,4,1,14,1|2|600|4|1|1,,3,0,54,15,70,26259,5608,83281,3,3,3
10,10,4,2,14,1|2|600|4|1|1,,15,0,405,64,470,171873,25616,610941,15,15,15
10,10,4,3,14,1|2|600|4|1|1,,22,0,844,115,960,346090,41424,1279058,22,22,22
10,10,4,4,14,1|2|600|4|1|1,,15,0,778,86,865,313981,32032,1175825,15,15,15
10,10,4,5,14,1|2|600|4|1|1,,18,0,1926,2189,4115,762229,68240,2907901,15,18,18
10,10,4,6,14,1|2|600|4|1|1,,20,0,2904,30909,33814,1124373,88848,4335149,18,20,20
10,10,4,7,14,1|2|600|4|1|1,,21,0,3350,26452,29804,1290456,91056,5007536,17,21,21
10,10,4,8,14,1|2|600|4|1|1,,18,0,2866,125155,128023,1096803,70064,4274163,12,18,18
10,10,4,9,14,1|2|600|4|1|1,,20,0,4683,157153,161837,1782863,105072,6972079,17,20,20
10,10,4,10,14,1|2|600|4|1|1,Timeout,,0,3886,689218,0,1476687,80080,5788423,12,22,24
10,10,5,1,14,1|2|600|4|1|1,,20,0,457,73,531,202746,35710,697207,20,20,20
10,10,5,2,14,1|2|600|4|1|1,,13,0,440,68,508,187003,26620,671103,13,13,13
10,10,5,3,14,1|2|600|4|1|1,,16,0,759,104,864,309750,35730,1151425,16,16,16
10,10,5,4,14,1|2|600|4|1|1,,8,0,877,188,1065,347496,34540,1315150,7,8,8
10,10,5,5,14,1|2|600|4|1|1,,15,0,1173,152,1326,465860,40050,1784205,15,15,15
10,10,5,6,14,1|2|600|4|1|1,,16,0,1495,275,1771,587909,45960,2271285,16,16,16
10,10,5,7,14,1|2|600|4|1|1,,21,0,4419,96186,100606,1686300,113170,6614395,19,21,21
10,10,5,8,14,1|2|600|4|1|1,,22,0,4544,713150,717697,1733146,108580,6810816,17,22,22
10,10,5,9,14,1|2|600|4|1|1,,20,0,5021,109067,114090,1928837,108990,7611226,16,20,20
10,10,5,10,14,1|2|600|4|1|1,,16,0,3703,148449,152154,1404257,73600,5551557,10,16,16
10,10,6,1,14,1|2|600|4|1|1,,0,0,5,2,8,4332,2012,8034,0,0,0
10,10,6,2,14,1|2|600|4|1|1,,6,0,257,39,298,111160,15424,394440,6,6,6
10,10,6,3,14,1|2|600|4|1|1,,19,0,1090,141,1232,440013,48036,1650311,19,19,19
10,10,6,4,14,1|2|600|4|1|1,,14,0,1015,121,1136,408225,39048,1551405,14,14,14
10,10,6,5,14,1|2|600|4|1|1,,20,0,1870,256,2127,732036,58860,2842554,20,20,20
10,10,6,6,14,1|2|600|4|1|1,,17,0,3593,34148,37741,1375851,99072,5395395,16,17,17
10,10,6,7,14,1|2|600|4|1|1,,16,0,2118,308,2426,815061,54484,3194951,16,16,16
10,10,6,8,14,1|2|600|4|1|1,,16,0,2465,1296,3762,943778,57896,3713870,16,16,16
10,10,6,9,14,1|2|600|4|1|1,,10,0,2941,831,3773,1110210,61308,4398728,8,10,10
10,10,6,10,14,1|2|600|4|1|1,,16,0,6311,152520,158833,2358241,117920,9407149,15,16,16
10,10,7,1,14,1|2|600|4|1|1,,8,0,300,59,360,133249,20714,458944,8,8,8
10,10,7,2,14,1|2|600|4|1|1,,4,0,217,34,252,91653,12528,324681,4,4,4
10,10,7,3,14,1|2|600|4|1|1,,14,0,966,122,1089,388025,40542,1460490,14,14,14
10,10,7,4,14,1|2|600|4|1|1,,12,0,1902,586,2489,744164,66756,2865334,11,12,12
10,10,7,5,14,1|2|600|4|1|1,,11,0,1167,109,1276,457692,37270,1764849,11,11,11
10,10,7,6,14,1|2|600|4|1|1,,15,0,2801,1637,4440,1071112,75984,4205708,11,15,15
