g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
10,10,1,1,19,600,,0,0.000022,1,2,1
10,10,2,1,19,600,,0,0.000031,1,4,1
10,10,2,2,19,600,,16,0.000115,1,32,1
10,10,3,1,19,600,,6,0.000038,1,12,1
10,10,3,2,19,600,,4,0.000067,1,12,1
10,10,3,3,19,600,,12,0.000143,1,39,1
10,10,4,1,19,600,,12,0.000062,1,20,1
10,10,4,2,19,600,,12,0.000818,8,376,4
10,10,4,3,19,600,,9,0.000120,1,25,1
10,10,4,4,19,600,,22,0.000277,1,84,1
10,10,5,1,19,600,,6,0.000043,1,16,1
10,10,5,2,19,600,,10,0.000207,2,59,2
10,10,5,3,19,600,,20,0.001145,4,459,4
10,10,5,4,19,600,,11,0.000255,1,48,1
10,10,5,5,19,600,,17,0.002009,5,606,5
10,10,6,1,19,600,,3,0.000131,2,49,2
10,10,6,2,19,600,,14,0.002098,30,1160,5
10,10,6,3,19,600,,13,0.001498,7,517,5
10,10,6,4,19,600,,9,0.001770,13,596,5
10,10,6,5,19,600,,18,0.003181,7,860,6
10,10,6,6,19,600,,12,0.002903,13,806,6
10,10,7,1,19,600,,8,0.000187,2,70,2
10,10,7,2,19,600,,4,0.000238,2,72,2
10,10,7,3,19,600,,13,0.002769,12,996,10
10,10,7,4,19,600,,17,0.002363,7,687,6
10,10,7,5,19,600,,21,0.004465,25,1736,5
10,10,7,6,19,600,,15,0.005250,19,1394,7
10,10,7,7,19,600,,11,0.000483,1,79,1
10,10,8,1,19,600,,9,0.000114,1,25,1
10,10,8,2,19,600,,12,0.001480,12,616,7
10,10,8,3,19,600,,19,0.000830,6,249,3
10,10,8,4,19,600,,18,0.008372,47,3652,8
10,10,8,5,19,600,,15,0.004990,36,1610,6
10,10,8,6,19,600,,20,0.006288,28,1736,6
10,10,8,7,19,600,,16,0.007376,32,1817,7
10,10,8,8,19,600,,15,0.010074,46,2582,8
10,10,9,1,19,600,,2,0.000058,1,20,1
10,10,9,2,19,600,,16,0.004214,25,1957,5
10,10,9,3,19,600,,8,0.000650,2,104,2
10,10,9,4,19,600,,13,0.003372,15,942,7
10,10,9,5,19,600,,13,0.003063,11,818,5
10,10,9,6,19,600,,12,0.004812,7,892,7
10,10,9,7,19,600,,13,0.005696,7,951,7
10,10,9,8,19,600,,19,0.011087,35,2311,8
10,10,9,9,19,600,,17,0.015455,47,3381,9
10,10,10,1,19,600,,12,0.004764,40,2178,10
10,10,10,2,19,600,,17,0.002152,7,755,6
10,10,10,3,19,600,,9,0.001170,5,307,4
10,10,10,4,19,600,,19,0.006471,29,2186,6
10,10,10,5,19,600,,16,0.019753,191,7550,5
10,10,10,6,19,600,,13,0.002974,4,523,4
10,10,10,7,19,600,,9,0.008944,61,2181,8
10,10,10,8,19,600,,14,0.015247,66,3926,8
10,10,10,9,19,600,,14,0.008664,7,953,7
10,10,10,10,19,600,,18,0.020889,52,3715,10
10,20,1,1,19,600,,6,0.000023,1,8,1
10,20,2,1,19,600,,17,0.000055,1,21,1
10,20,2,2,19,600,,18,0.000071,1,26,1
10,20,3,1,19,600,,17,0.000066,1,23,1
10,20,3,2,19,600,,9,0.000195,2,71,2
10,20,3,3,19,600,,12,0.000124,1,38,1
10,20,4,1,19,600,,7,0.000153,2,65,2
10,20,4,2,19,600,,14,0.000323,3,133,2
10,20,4,3,19,600,,18,0.000677,5,279,3
10,20,4,4,19,600,,24,0.000288,1,88,1
10,20,5,1,19,600,,8,0.000062,1,18,1
10,20,5,2,19,600,,7,0.000860,18,542,2
10,20,5,3,19,600,,12,0.000193,1,36,1
10,20,5,4,19,600,,14,0.002440,18,944,5
10,20,5,5,19,600,,17,0.001583,4,419,4
10,20,6,1,19,600,,7,0.000051,1,19,1
10,20,6,2,19,600,,10,0.000272,3,98,2
10,20,6,3,19,600,,19,0.001762,13,808,4
10,20,6,4,19,600,,13,0.001642,5,453,5
10,20,6,5,19,600,,19,0.005381,36,2166,5
10,20,6,6,19,600,,13,0.001349,3,303,3
10,20,7,1,19,600,,13,0.001149,8,553,7
10,20,7,2,19,600,,13,0.000134,1,32,1
10,20,7,3,19,600,,15,0.004452,32,2103,5
10,20,7,4,19,600,,15,0.001450,4,336,4
10,20,7,5,19,600,,12,0.002867,7,528,7
10,20,7,6,19,600,,17,0.007470,57,2931,6
10,20,7,7,19,600,,14,0.010270,18,1275,7
10,20,8,1,19,600,,9,0.000108,1,25,1
10,20,8,2,19,600,,16,0.001165,5,344,4
10,20,8,3,19,600,,10,0.014686,150,8256,5
10,20,8,4,19,600,,17,0.001672,4,442,4
10,20,8,5,19,600,,16,0.002384,4,475,4
10,20,8,6,19,600,Timeout,,610.283630,1425272,355628005,8
10,20,8,7,19,600,,12,0.012510,34,3494,7
10,20,8,8,19,600,,19,0.054009,316,26088,8
10,20,9,1,19,600,,7,0.000105,1,25,1
10,20,9,2,19,600,,10,0.004237,33,1751,13
