g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
10,10,1,1,1,600,,10,0.035,0.000,1,12,1
10,10,2,1,1,600,,10,0.076,0.000,1,14,1
10,10,2,2,1,600,,18,0.038,0.000,1,37,1
10,10,3,1,1,600,,13,0.023,0.004,5,2830,3
10,10,3,2,1,600,,14,0.011,0.001,4,245,2
10,10,3,3,1,600,,16,0.022,0.000,1,38,1
10,10,4,1,1,600,,0,0.000,0.000,0,0,0
10,10,4,2,1,600,,17,0.027,0.009,4,2816,2
10,10,4,3,1,600,,14,0.009,0.001,4,304,4
10,10,4,4,1,600,,13,0.019,0.002,8,603,4
10,10,5,1,1,600,,12,0.011,0.000,1,22,1
10,10,5,2,1,600,,10,0.014,0.000,1,20,1
10,10,5,3,1,600,,13,0.007,0.001,5,397,5
10,10,5,4,1,600,,20,0.016,0.004,7,576,4
10,10,5,5,1,600,,15,0.022,0.002,6,550,5
10,10,6,1,1,600,,12,0.017,0.002,2,696,2
10,10,6,2,1,600,,8,0.007,0.000,1,28,1
10,10,6,3,1,600,,16,0.007,0.002,4,954,4
10,10,6,4,1,600,,11,0.007,0.001,4,469,3
10,10,6,5,1,600,,17,0.013,0.004,4,2114,4
10,10,6,6,1,600,,15,0.008,0.001,3,313,3
10,10,7,1,1,600,,11,0.011,0.006,13,4386,7
10,10,7,2,1,600,,15,0.007,0.002,3,1551,3
10,10,7,3,1,600,,12,0.004,0.001,3,280,3
10,10,7,4,1,600,,17,0.008,0.004,11,1977,4
10,10,7,5,1,600,,15,0.008,0.003,12,1464,5
10,10,7,6,1,600,,16,0.009,0.005,13,1559,7
10,10,7,7,1,600,,13,0.016,0.009,63,2836,7
10,10,8,1,1,600,,17,0.005,0.001,2,490,2
10,10,8,2,1,600,,15,0.036,0.032,56,22425,10
10,10,8,3,1,600,,11,0.004,0.000,1,46,1
10,10,8,4,1,600,,10,0.014,0.006,22,3481,6
10,10,8,5,1,600,,16,0.019,0.013,34,7680,6
10,10,8,6,1,600,,17,0.013,0.009,22,3905,6
10,10,8,7,1,600,,13,0.007,0.002,3,373,3
10,10,8,8,1,600,,16,0.014,0.010,49,2808,8
10,10,9,1,1,600,,4,0.016,0.000,1,22,1
10,10,9,2,1,600,,17,0.076,0.066,42,48333,9
10,10,9,3,1,600,,20,0.578,0.573,560,405628,4
10,10,9,4,1,600,,18,0.111,0.106,301,68374,4
10,10,9,5,1,600,,18,0.032,0.028,40,18823,5
10,10,9,6,1,600,,12,0.011,0.007,26,1957,9
10,10,9,7,1,600,Timeout,,605.827,605.822,449099,410650156,7
10,10,9,8,1,600,,15,0.016,0.012,38,2453,9
10,10,9,9,1,600,,17,0.016,0.012,27,1912,9
10,10,10,1,1,600,,9,0.009,0.006,14,3710,10
10,10,10,2,1,600,,12,0.013,0.009,20,6180,4
10,10,10,3,1,600,,11,0.005,0.001,2,365,2
10,10,10,4,1,600,,14,0.011,0.008,25,3497,5
10,10,10,5,1,600,,15,0.042,0.038,65,23986,12
10,10,10,6,1,600,,13,0.041,0.038,70,23230,7
10,10,10,7,1,600,,15,0.085,0.081,439,41545,8
10,10,10,8,1,600,,10,0.013,0.008,26,1874,13
10,10,10,9,1,600,Timeout,,603.476,603.472,560702,387094255,8
10,10,10,10,1,600,,10,3.974,0.015,25,5217,9
10,20,1,1,1,600,,3,0.004,0.000,1,5,1
10,20,2,1,1,600,,0,0.000,0.000,0,0,0
10,20,2,2,1,600,,22,0.003,0.000,1,26,1
10,20,3,1,1,600,,14,0.003,0.000,1,20,1
10,20,3,2,1,600,,5,0.003,0.000,1,14,1
10,20,3,3,1,600,,18,0.003,0.000,1,39,1
10,20,4,1,1,600,,12,0.007,0.004,7,2658,4
10,20,4,2,1,600,,12,0.004,0.000,3,184,3
10,20,4,3,1,600,,22,0.004,0.001,4,521,4
10,20,4,4,1,600,,17,0.004,0.000,1,52,1
10,20,5,1,1,600,,8,0.004,0.001,5,252,5
10,20,5,2,1,600,Unsolvable,,0.003,0.000,0,2,1
10,20,5,3,1,600,,8,0.004,0.000,5,227,2
10,20,5,4,1,600,,18,0.008,0.004,20,2252,5
