g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
10,10,1,1,0,600,,16,0.045,0.000,1,18,1
10,10,2,1,0,600,,12,0.025,0.001,2,578,2
10,10,2,2,0,600,,14,0.030,0.000,1,28,1
10,10,3,1,0,600,,6,0.054,0.000,1,12,1
10,10,3,2,0,600,,9,0.030,0.000,1,23,1
10,10,3,3,0,600,,15,0.011,0.000,1,42,1
10,10,4,1,0,600,,2,0.014,0.000,1,10,1
10,10,4,2,0,600,,14,0.006,0.000,2,241,2
10,10,4,3,0,600,,13,0.006,0.000,1,44,1
10,10,4,4,0,600,,15,0.012,0.000,1,50,1
10,10,5,1,0,600,,20,0.028,0.023,12,15446,5
10,10,5,2,0,600,,10,0.006,0.002,5,1276,2
10,10,5,3,0,600,,12,0.005,0.000,1,33,1
10,10,5,4,0,600,,16,0.007,0.003,11,1492,6
10,10,5,5,0,600,,17,0.005,0.001,2,187,2
10,10,6,1,0,600,,8,0.004,0.000,1,20,1
10,10,6,2,0,600,,13,0.004,0.001,5,479,4
10,10,6,3,0,600,,14,0.004,0.000,1,48,1
10,10,6,4,0,600,,11,0.008,0.003,9,1427,7
10,10,6,5,0,600,,14,0.005,0.001,3,299,3
10,10,6,6,0,600,,15,0.007,0.003,10,795,6
10,10,7,1,0,600,,9,0.004,0.000,1,23,1
10,10,7,2,0,600,,5,0.003,0.000,1,19,1
10,10,7,3,0,600,,13,0.008,0.005,19,2935,4
10,10,7,4,0,600,,8,0.006,0.003,9,1478,5
10,10,7,5,0,600,,16,0.026,0.022,159,12154,6
10,10,7,6,0,600,,19,0.025,0.021,137,9262,6
10,10,7,7,0,600,,20,0.036,0.032,128,15274,7
10,10,8,1,0,600,,16,0.017,0.013,10,9700,8
10,10,8,2,0,600,,3,0.004,0.000,1,19,1
10,10,8,3,0,600,,7,0.008,0.004,10,1730,10
10,10,8,4,0,600,,14,0.007,0.002,6,818,6
10,10,8,5,0,600,,11,0.006,0.003,7,757,7
10,10,8,6,0,600,,18,0.049,0.045,99,28582,7
10,10,8,7,0,600,,13,0.010,0.006,21,1365,7
10,10,8,8,0,600,,13,0.009,0.005,7,895,7
10,10,9,1,0,600,,9,0.004,0.000,1,27,1
10,10,9,2,0,600,,12,0.015,0.012,25,7906,4
10,10,9,3,0,600,,13,0.007,0.002,5,920,5
10,10,9,4,0,600,,19,0.050,0.046,47,33383,5
10,10,9,5,0,600,,18,0.080,0.076,176,49742,5
10,10,9,6,0,600,,12,0.007,0.003,3,1162,3
10,10,9,7,0,600,,14,9.216,9.211,30103,5526805,10
