g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
10,10,1,1,6,600,,15,0.007,0.000,1,17,1
10,10,2,1,6,600,,7,0.007,0.000,1,11,1
10,10,2,2,6,600,,22,0.004,0.000,1,38,1
10,10,3,1,6,600,,14,0.004,0.000,1,20,1
10,10,3,2,6,600,,17,0.004,0.001,2,644,2
10,10,3,3,6,600,,20,0.004,0.001,4,369,3
10,10,4,1,6,600,,0,0.000,0.000,0,0,0
10,10,4,2,6,600,,13,0.008,0.002,5,1425,5
10,10,4,3,6,600,,18,0.005,0.001,4,352,4
10,10,4,4,6,600,,15,0.005,0.000,1,45,1
10,10,5,1,6,600,,9,0.004,0.000,2,281,2
10,10,5,2,6,600,,16,0.005,0.001,5,765,4
10,10,5,3,6,600,,16,0.006,0.002,17,1188,5
10,10,5,4,6,600,,12,0.005,0.000,1,36,1
10,10,5,5,6,600,,18,0.005,0.002,4,479,4
10,10,6,1,6,600,,0,0.000,0.000,0,0,0
10,10,6,2,6,600,,7,0.004,0.000,1,24,1
10,10,6,3,6,600,,18,0.004,0.000,1,60,1
10,10,6,4,6,600,,9,0.006,0.001,5,601,5
10,10,6,5,6,600,,10,0.005,0.001,3,227,3
10,10,6,6,6,600,,24,0.009,0.004,11,1337,6
10,10,7,1,6,600,,10,0.004,0.001,3,366,3
10,10,7,2,6,600,,7,0.004,0.000,1,21,1
10,10,7,3,6,600,,15,0.009,0.006,12,3594,8
10,10,7,4,6,600,,18,0.845,0.841,593,605033,4
10,10,7,5,6,600,,11,0.010,0.005,24,2728,5
10,10,7,6,6,600,,11,0.016,0.012,26,8077,5
10,10,7,7,6,600,,13,0.006,0.001,3,278,3
10,10,8,1,6,600,,13,0.005,0.001,2,458,2
10,10,8,2,6,600,,10,0.013,0.009,32,5768,9
10,10,8,3,6,600,,11,0.005,0.001,3,202,3
10,10,8,4,6,600,,22,0.015,0.011,14,6724,5
10,10,8,5,6,600,,17,0.025,0.021,24,14887,6
10,10,8,6,6,600,,21,0.017,0.013,38,7021,6
10,10,8,7,6,600,,13,0.005,0.001,2,218,2
10,10,8,8,6,600,,22,0.014,0.011,45,2654,8
10,10,9,1,6,600,,10,0.008,0.004,9,2627,9
10,10,9,2,6,600,,9,0.006,0.002,7,838,7
10,10,9,3,6,600,,13,0.008,0.004,7,2326,3
10,10,9,4,6,600,,10,0.007,0.003,9,1464,5
10,10,9,5,6,600,,12,0.010,0.006,5,2774,5
10,10,9,6,6,600,,8,0.004,0.000,1,54,1
10,10,9,7,6,600,,15,0.011,0.007,30,2154,7
10,10,9,8,6,600,,14,0.012,0.008,32,1746,8
10,10,9,9,6,600,,15,0.016,0.012,43,2257,9
10,10,10,1,6,600,,6,0.004,0.000,1,26,1
10,10,10,2,6,600,,11,0.010,0.006,10,4179,2
10,10,10,3,6,600,,11,0.012,0.008,17,5195,4
10,10,10,4,6,600,,18,0.009,0.005,19,2270,4
10,10,10,5,6,600,,11,0.011,0.007,35,2997,6
10,10,10,6,6,600,,15,0.014,0.010,40,4218,7
10,10,10,7,6,600,,16,0.036,0.032,150,15107,8
10,10,10,8,6,600,,16,0.020,0.016,51,4617,9
10,10,10,9,6,600,,20,0.070,0.066,212,31159,10
10,10,10,10,6,600,,14,0.019,0.015,35,2249,10
10,20,1,1,6,600,,9,0.003,0.000,1,11,1
10,20,2,1,6,600,,2,0.003,0.000,1,6,1
10,20,2,2,6,600,,13,0.003,0.000,1,30,1
10,20,3,1,6,600,,4,0.003,0.000,1,10,1
10,20,3,2,6,600,,0,0.000,0.000,0,0,0
10,20,3,3,6,600,,13,0.003,0.000,1,31,1
10,20,4,1,6,600,,0,0.000,0.000,0,0,0
10,20,4,2,6,600,,19,0.006,0.003,3,1851,3
10,20,4,3,6,600,,15,0.004,0.000,2,144,2
10,20,4,4,6,600,Unsolvable,,0.003,0.000,0,2,1
10,20,5,1,6,600,,9,0.003,0.000,1,19,1
10,20,5,2,6,600,,18,0.004,0.001,3,865,3
10,20,5,3,6,600,,12,0.003,0.000,1,41,1
10,20,5,4,6,600,,11,0.004,0.001,4,320,4
10,20,5,5,6,600,,16,0.005,0.002,7,613,5
10,20,6,1,6,600,,0,0.000,0.000,0,0,0
10,20,6,2,6,600,Unsolvable,,0.003,0.000,0,0,0
10,20,6,3,6,600,,12,0.003,0.000,1,35,1
10,20,6,4,6,600,,15,0.009,0.006,31,3368,5
10,20,6,5,6,600,,16,0.004,0.001,3,303,3
10,20,6,6,6,600,,15,0.007,0.004,6,1885,5
10,20,7,1,6,600,,13,0.004,0.001,2,564,2
10,20,7,2,6,600,,23,0.019,0.016,14,11855,6
10,20,7,3,6,600,,13,0.006,0.003,27,1152,5
10,20,7,4,6,600,,14,0.006,0.003,7,1743,4
10,20,7,5,6,600,,12,0.007,0.003,22,1201,5
10,20,7,6,6,600,,13,0.005,0.001,3,306,3
10,20,7,7,6,600,,15,0.004,0.001,2,217,2
10,20,8,1,6,600,,8,0.003,0.000,1,24,1
10,20,8,2,6,600,,13,0.004,0.000,2,111,2
10,20,8,3,6,600,,11,0.005,0.001,8,548,4
10,20,8,4,6,600,,15,0.005,0.001,2,495,2
10,20,8,5,6,600,,13,0.011,0.007,20,4051,6
10,20,8,6,6,600,,13,0.016,0.013,19,6866,12
10,20,8,7,6,600,,15,8.413,8.409,18793,5865583,6
10,20,8,8,6,600,,13,0.063,0.001,1,88,1
10,20,9,1,6,600,Unsolvable,,0.003,0.000,0,18,1
10,20,9,2,6,600,,19,0.028,0.024,36,17839,2
10,20,9,3,6,600,,11,0.029,0.024,56,17047,5
10,20,9,4,6,600,,18,2.680,2.677,2050,2051210,5
10,20,9,5,6,600,,18,0.029,0.025,92,15436,5
