g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
11,10,1,1,12,1|2|600|4|1|1,,19,0,96,19,117,43905,12102,131864,19,19,19
11,10,1,2,12,1|2|600|4|1|1,,34,0,467,354,822,208395,39813,688783,23,34,34
11,10,1,3,12,1|2|600|4|1|1,,32,0,683,1697,2382,290476,42477,999186,19,32,32
11,10,1,4,12,1|2|600|4|1|1,Timeout,,0,1395,610517,0,583487,70551,2060813,26,40,52
11,10,1,5,12,1|2|600|4|1|1,Timeout,,0,2498,606082,0,1004283,102255,3628079,16,33,64
11,10,1,6,12,1|2|600|4|1|1,Timeout,,0,5217,619900,0,2089335,183327,7661489,25,51,100
11,10,1,7,12,1|2|600|4|1|1,Timeout,,0,5916,616948,0,2339484,183087,8644796,22,45,88
11,10,1,8,12,1|2|600|4|1|1,Timeout,,0,8528,624996,0,3343220,232215,12468498,25,51,100
11,10,1,9,12,1|2|600|4|1|1,Timeout,,0,9427,632312,0,3679166,236331,13787910,23,47,92
11,10,1,10,12,1|2|600|4|1|1,Timeout,,0,11525,642430,0,4471410,258839,16864324,23,47,-1
11,10,2,1,12,1|2|600|4|1|1,,9,0,84,79,164,40774,9684,127377,9,9,9
11,10,2,2,12,1|2|600|4|1|1,,7,0,119,27,147,54145,9688,180723,7,7,7
11,10,2,3,12,1|2|600|4|1|1,,17,0,605,3422,4028,242375,33408,864416,11,17,17
11,10,2,4,12,1|2|600|4|1|1,,31,0,1692,23616,25309,679713,76246,2484883,22,31,31
11,10,2,5,12,1|2|600|4|1|1,,35,0,2186,200747,202935,869525,83268,3226992,21,35,35
11,10,2,6,12,1|2|600|4|1|1,Timeout,,0,2439,678753,0,963506,80610,3612254,18,28,36
11,10,2,7,12,1|2|600|4|1|1,Timeout,,0,3252,665140,0,1277657,94408,4825830,19,31,33
11,10,2,8,12,1|2|600|4|1|1,Timeout,,0,4150,679898,0,1608257,109174,6110783,20,21,-1
11,10,2,9,12,1|2|600|4|1|1,Timeout,,0,5276,668873,0,2037075,124908,7772718,21,22,-1
11,10,2,10,12,1|2|600|4|1|1,Timeout,,0,6904,680212,0,2632018,147902,10088782,23,24,-1
11,10,3,1,12,1|2|600|4|1|1,,11,0,165,53,219,76376,15978,249339,11,11,11
11,10,3,2,12,1|2|600|4|1|1,,23,0,562,79,641,237421,37764,833142,23,23,23
11,10,3,3,12,1|2|600|4|1|1,,19,0,1293,416,1711,525233,67173,1917399,18,19,19
11,10,3,4,12,1|2|600|4|1|1,,27,0,1331,323,1656,535096,57620,1983025,27,27,27
11,10,3,5,12,1|2|600|4|1|1,,24,0,2867,57590,60459,1118480,103485,4225438,22,24,24
11,10,3,6,12,1|2|600|4|1|1,,30,0,2997,235400,238399,1167822,94053,4451740,18,30,30
11,10,3,7,12,1|2|600|4|1|1,,24,0,3599,434181,437782,1376430,97447,5294370,17,24,24
11,10,3,8,12,1|2|600|4|1|1,Timeout,,0,6001,697642,0,2289252,148273,8844254,24,31,36
11,10,3,9,12,1|2|600|4|1|1,,23,0,6499,398978,405479,2447079,147069,9481365,11,23,23
11,10,3,10,12,1|2|600|4|1|1,Timeout,,0,6632,707891,0,2520639,136911,9800703,19,20,38
11,10,4,1,12,1|2|600|4|1|1,,15,0,318,59,377,142671,27112,479236,15,15,15
11,10,4,2,12,1|2|600|4|1|1,,11,0,366,50,417,155972,23248,551034,11,11,11
11,10,4,3,12,1|2|600|4|1|1,,17,0,802,107,909,324199,39228,1192654,17,17,17
11,10,4,4,12,1|2|600|4|1|1,,18,0,1154,153,1308,459932,46012,1727922,18,18,18
11,10,4,5,12,1|2|600|4|1|1,,18,0,1458,387,1847,573831,50618,2181564,18,18,18
