g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
6,10,1,1,1,1|2|600|4|1|1,,11,0,21,4,26,7474,2161,22022,11,11,11
6,10,1,2,1,1|2|600|4|1|1,,8,0,26,16,42,12854,3278,39272,6,8,8
6,10,1,3,1,1|2|600|4|1|1,,18,0,75,66,142,35724,8103,112504,12,18,18
6,10,1,4,1,1|2|600|4|1|1,,22,0,101,194,296,47085,9904,150803,12,22,22
6,10,1,5,1,1|2|600|4|1|1,,17,0,97,204,302,44825,8897,144281,9,17,17
6,10,1,6,1,1|2|600|4|1|1,,19,0,138,131,270,63254,12426,202852,11,19,19
6,10,1,7,1,1|2|600|4|1|1,,28,0,242,3888,4131,107225,21427,343797,17,28,28
6,10,1,8,1,1|2|600|4|1|1,,25,0,227,1921,2150,100612,18476,329362,13,25,25
6,10,1,9,1,1|2|600|4|1|1,,31,0,544,4417,4962,243564,46125,794500,15,31,31
6,10,1,10,1,1|2|600|4|1|1,,29,0,480,5659,6140,212569,40582,692331,12,29,29
6,10,2,1,1,1|2|600|4|1|1,,3,0,8,1,10,4196,1154,12416,3,3,3
6,10,2,2,1,1|2|600|4|1|1,,13,0,63,44,108,28962,6124,96570,8,13,13
6,10,2,3,1,1|2|600|4|1|1,,10,0,55,9,65,25429,4758,85523,10,10,10
6,10,2,4,1,1|2|600|4|1|1,,9,0,73,38,111,31563,5552,107163,5,9,9
6,10,2,5,1,1|2|600|4|1|1,,12,0,186,117,305,77544,13258,268026,11,12,12
6,10,2,6,1,1|2|600|4|1|1,,13,0,129,99,228,57027,9084,198081,13,13,13
6,10,2,7,1,1|2|600|4|1|1,,16,0,285,619,905,118603,18014,417781,12,16,16
6,10,2,8,1,1|2|600|4|1|1,,17,0,270,10397,10669,111613,16648,394137,10,17,17
6,10,2,9,1,1|2|600|4|1|1,,19,0,464,2362,2827,193890,28530,688448,16,19,19
6,10,2,10,1,1|2|600|4|1|1,,19,0,584,3935,4520,243943,32780,880411,17,19,19
6,10,3,1,1,1|2|600|4|1|1,,1,0,5,1,6,2716,795,7642,1,1,1
6,10,3,2,1,1|2|600|4|1|1,,6,0,37,6,44,17227,3282,57885,6,6,6
6,10,3,3,1,1|2|600|4|1|1,,9,0,121,50,172,49551,8109,174759,7,9,9
6,10,3,4,1,1|2|600|4|1|1,,13,0,135,31,167,57875,8580,207563,13,13,13
6,10,3,5,1,1|2|600|4|1|1,,10,0,210,100,311,81896,11643,296212,8,10,10
6,10,3,6,1,1|2|600|4|1|1,,12,0,261,297,559,105077,14382,382223,9,12,12
6,10,3,7,1,1|2|600|4|1|1,,13,0,381,1301,1683,156444,19065,582752,11,13,13
6,10,3,8,1,1|2|600|4|1|1,,12,0,297,324,623,119368,15324,438322,8,12,12
6,10,3,9,1,1|2|600|4|1|1,,14,0,455,556,1012,180331,22383,668143,11,14,14
6,10,3,10,1,1|2|600|4|1|1,,15,0,416,32419,32837,165371,19866,614229,9,15,15
