g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
11,10,1,1,11,600,,14,0.000102,1,16,1
11,10,2,1,11,600,,18,0.000096,1,22,1
11,10,2,2,11,600,,17,0.000121,1,35,1
11,10,3,1,11,600,,0,0.000019,1,6,1
11,10,3,2,11,600,,20,0.001228,7,584,4
11,10,3,3,11,600,,16,0.000136,1,42,1
11,10,4,1,11,600,,0,0.000022,1,8,1
11,10,4,2,11,600,,14,0.001070,3,637,3
11,10,4,3,11,600,,17,0.000182,1,52,1
11,10,4,4,11,600,,17,0.000205,1,58,1
11,10,5,1,11,600,,13,0.000076,1,23,1
11,10,5,2,11,600,,9,0.000576,2,324,2
11,10,5,3,11,600,,15,0.006533,18,4279,3
11,10,5,4,11,600,,14,0.005330,12,3330,4
11,10,5,5,11,600,,16,0.000333,1,73,1
11,10,6,1,11,600,,17,0.016112,11,11934,6
11,10,6,2,11,600,,13,0.000536,2,269,2
11,10,6,3,11,600,,14,0.000604,3,212,3
11,10,6,4,11,600,,15,0.001334,4,396,4
11,10,6,5,11,600,,14,0.004122,12,1852,6
11,10,6,6,11,600,,15,0.001398,3,335,3
11,10,7,1,11,600,,7,0.000059,1,21,1
11,10,7,2,11,600,,14,0.000684,3,364,2
11,10,7,3,11,600,,11,0.000660,2,183,2
11,10,7,4,11,600,,8,0.000253,1,44,1
11,10,7,5,11,600,,14,0.002211,4,744,4
11,10,7,6,11,600,,19,0.005648,7,1922,7
11,10,7,7,11,600,,14,0.000568,1,89,1
11,10,8,1,11,600,,0,0.000043,1,16,1
11,10,8,2,11,600,,17,0.000228,1,50,1
11,10,8,3,11,600,,14,0.000981,2,449,2
11,10,8,4,11,600,,16,0.030997,37,21758,4
11,10,8,5,11,600,,19,0.006774,7,3346,6
11,10,8,6,11,600,,17,0.001843,3,542,3
11,10,8,7,11,600,,17,0.005188,6,1041,6
11,10,8,8,11,600,,15,0.007901,16,1591,8
11,10,9,1,11,600,,11,0.000118,1,29,1
11,10,9,2,11,600,,16,0.038160,27,27979,2
11,10,9,3,11,600,,17,0.015055,12,10487,4
11,10,9,4,11,600,,11,0.008183,82,3935,12
11,10,9,5,11,600,,18,0.001377,2,240,2
11,10,9,6,11,600,,18,0.004909,7,1049,7
11,10,9,7,11,600,,15,0.029312,101,14636,8
11,10,9,8,11,600,,14,0.011560,29,2980,11
11,10,9,9,11,600,,18,0.018319,77,4473,9
11,10,10,1,11,600,,15,0.015168,17,10590,10
11,10,10,2,11,600,,14,0.000940,2,385,2
11,10,10,3,11,600,,12,0.008351,10,4626,10
11,10,10,4,11,600,,13,0.009363,17,5597,5
11,10,10,5,11,600,,14,0.016593,37,9556,6
11,10,10,6,11,600,,19,0.014029,23,6626,7
11,10,10,7,11,600,,13,0.021891,62,10011,9
11,10,10,8,11,600,,12,0.011670,30,2895,10
11,10,10,9,11,600,,14,0.012249,13,2440,9
11,10,10,10,11,600,,17,0.028085,128,7730,10
11,20,1,1,11,600,,2,0.000015,1,4,1
11,20,2,1,11,600,,14,0.000054,1,18,1
11,20,2,2,11,600,,22,0.000115,1,43,1
11,20,3,1,11,600,,4,0.000028,1,10,1
11,20,3,2,11,600,,13,0.000095,1,31,1
11,20,3,3,11,600,,18,0.000629,4,260,3
11,20,4,1,11,600,,8,0.000713,3,492,3
11,20,4,2,11,600,,13,0.000108,1,28,1
11,20,4,3,11,600,,15,0.000724,4,270,4
11,20,4,4,11,600,,24,0.000294,1,93,1
11,20,5,1,11,600,,12,0.000061,1,22,1
11,20,5,2,11,600,,15,0.000141,1,39,1
11,20,5,3,11,600,,12,0.001032,6,512,3
11,20,5,4,11,600,,13,0.001462,4,688,4
11,20,5,5,11,600,,18,0.007920,63,3559,5
11,20,6,1,11,600,,10,0.000556,2,344,2
11,20,6,2,11,600,,16,0.002685,4,1816,4
11,20,6,3,11,600,,12,0.013655,19,9698,4
11,20,6,4,11,600,,21,0.001174,3,414,3
11,20,6,5,11,600,,23,0.001396,3,349,3
11,20,6,6,11,600,,16,0.022225,223,9698,6
11,20,7,1,11,600,,14,0.000077,1,28,1
11,20,7,2,11,600,,19,0.000208,1,52,1
11,20,7,3,11,600,,15,0.005520,9,3485,5
11,20,7,4,11,600,,17,0.028516,38,20565,6
11,20,7,5,11,600,,22,0.086287,131,62571,5
11,20,7,6,11,600,,16,0.002298,4,537,4
11,20,7,7,11,600,,24,0.009328,19,4803,6
11,20,8,1,11,600,,17,0.000449,2,225,2
11,20,8,2,11,600,,7,0.006633,47,4529,4
