g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
9,10,1,1,15,1|2|600|4|1|1,,14,0,52,10,64,21706,6077,65180,14,14,14
9,10,1,2,15,1|2|600|4|1|1,,21,0,164,185,350,77698,17581,246714,15,21,21
9,10,1,3,15,1|2|600|4|1|1,,26,0,331,577,910,149171,31353,480549,21,26,26
9,10,1,4,15,1|2|600|4|1|1,,26,0,500,9093,9594,221037,43667,722631,12,26,26
9,10,1,5,15,1|2|600|4|1|1,,20,0,353,427,781,158480,30547,512616,14,20,20
9,10,1,6,15,1|2|600|4|1|1,,33,0,520,826,1347,231916,42537,758140,17,33,33
9,10,1,7,15,1|2|600|4|1|1,,42,0,1312,72974,74287,581292,106043,1913688,19,42,42
9,10,1,8,15,1|2|600|4|1|1,,40,0,1269,76195,77465,567655,100051,1881849,16,40,40
9,10,1,9,15,1|2|600|4|1|1,,46,0,1825,118473,120300,810963,144603,2674987,21,46,46
9,10,1,10,15,1|2|600|4|1|1,,43,0,1734,94567,96303,770517,136019,2541075,18,43,43
9,10,2,1,15,1|2|600|4|1|1,,1,0,7,18,26,4169,1300,11424,1,1,1
9,10,2,2,15,1|2|600|4|1|1,,19,0,188,42,231,82601,16208,276215,19,19,19
9,10,2,3,15,1|2|600|4|1|1,,17,0,411,380,792,172941,30144,598202,15,17,17
9,10,2,4,15,1|2|600|4|1|1,,21,0,647,1806,2454,278992,44242,980054,19,21,21
9,10,2,5,15,1|2|600|4|1|1,,22,0,680,1861,2543,286978,42788,1013425,16,22,22
9,10,2,6,15,1|2|600|4|1|1,,24,0,916,7147,8064,386892,56886,1374432,19,24,24
9,10,2,7,15,1|2|600|4|1|1,,27,0,1267,18191,19459,529486,72928,1898999,22,27,27
9,10,2,8,15,1|2|600|4|1|1,,29,0,1022,139411,140434,424596,58838,1519650,16,29,29
9,10,2,9,15,1|2|600|4|1|1,,31,0,1267,132770,134039,533026,71964,1908933,18,31,31
9,10,2,10,15,1|2|600|4|1|1,,33,0,1508,367105,368615,625826,82174,2255406,19,33,33
9,10,3,1,15,1|2|600|4|1|1,,4,0,40,13,55,19916,4461,62754,4,4,4
9,10,3,2,15,1|2|600|4|1|1,,13,0,189,36,226,82725,14754,283216,13,13,13
9,10,3,3,15,1|2|600|4|1|1,,13,0,441,161,603,180860,27963,644168,11,13,13
9,10,3,4,15,1|2|600|4|1|1,,21,0,512,146,659,217158,30318,785369,21,21,21
9,10,3,5,15,1|2|600|4|1|1,,16,0,828,2203,3032,339923,44661,1248337,14,16,16
9,10,3,6,15,1|2|600|4|1|1,,22,0,762,281,1044,316464,39159,1167672,22,22,22
9,10,3,7,15,1|2|600|4|1|1,,17,0,1097,3935,5033,449603,54069,1672785,14,17,17
9,10,3,8,15,1|2|600|4|1|1,,23,0,1600,10561,12161,648232,74973,2422310,18,23,23
9,10,3,9,15,1|2|600|4|1|1,,20,0,1411,17043,18455,563912,63477,2114126,14,20,20
9,10,3,10,15,1|2|600|4|1|1,,23,0,1996,121815,123813,793417,86973,2989479,18,23,23
9,10,4,1,15,1|2|600|4|1|1,,6,0,85,21,107,39863,7946,130040,6,6,6
9,10,4,2,15,1|2|600|4|1|1,,12,0,249,43,294,105659,16864,371095,12,12,12
9,10,4,3,15,1|2|600|4|1|1,,8,0,218,38,257,91693,13146,326604,8,8,8
9,10,4,4,15,1|2|600|4|1|1,,11,0,370,53,424,151955,19472,554363,11,11,11
9,10,4,5,15,1|2|600|4|1|1,,15,0,599,100,700,244275,28552,911804,15,15,15
9,10,4,6,15,1|2|600|4|1|1,,20,0,1455,11723,13179,582009,64200,2213897,16,20,20
9,10,4,7,15,1|2|600|4|1|1,,18,0,1463,15153,16618,583720,61130,2229171,14,18,18
9,10,4,8,15,1|2|600|4|1|1,,17,0,991,403,1395,398787,40888,1515355,17,17,17
9,10,4,9,15,1|2|600|4|1|1,,18,0,1821,89047,90870,716888,70542,2757641,14,18,18
9,10,4,10,15,1|2|600|4|1|1,,19,0,2146,93799,95946,840499,80432,3245443,15,19,19
9,10,5,1,15,1|2|600|4|1|1,,4,0,75,19,95,35678,6895,116370,4,4,4
9,10,5,2,15,1|2|600|4|1|1,,8,0,218,37,256,92729,13871,327743,8,8,8
9,10,5,3,15,1|2|600|4|1|1,,17,0,603,92,696,246459,30648,916780,17,17,17
9,10,5,4,15,1|2|600|4|1|1,,9,0,381,48,429,157965,18670,585490,9,9,9
9,10,5,5,15,1|2|600|4|1|1,,13,0,643,84,727,258833,28400,975710,13,13,13
9,10,5,6,15,1|2|600|4|1|1,,12,0,677,99,777,272451,28491,1034525,12,12,12
9,10,5,7,15,1|2|600|4|1|1,,16,0,1041,477,1519,412745,40003,1586781,16,16,16
9,10,5,8,15,1|2|600|4|1|1,,15,0,1872,4076,5950,734096,67877,2853980,13,15,15
9,10,5,9,15,1|2|600|4|1|1,,20,0,1605,2740,4346,630829,56223,2454113,20,20,20
9,10,5,10,15,1|2|600|4|1|1,,16,0,2099,95250,97351,816719,70975,3198309,12,16,16
9,10,6,1,15,1|2|600|4|1|1,,4,0,99,23,123,46080,8112,153719,4,4,4
9,10,6,2,15,1|2|600|4|1|1,,9,0,308,47,356,128798,17844,462138,9,9,9
9,10,6,3,15,1|2|600|4|1|1,,18,0,743,100,843,307280,36972,1143905,18,18,18
9,10,6,4,15,1|2|600|4|1|1,,9,0,461,55,516,189032,21108,707422,9,9,9
9,10,6,5,15,1|2|600|4|1|1,,18,0,1088,186,1275,434079,43152,1666642,18,18,18
9,10,6,6,15,1|2|600|4|1|1,,11,0,760,84,845,304075,29232,1168999,11,11,11
9,10,6,7,15,1|2|600|4|1|1,,13,0,1923,1505,3429,748556,64884,2935273,12,13,13
9,10,6,8,15,1|2|600|4|1|1,,15,0,1316,374,1691,512961,44160,2007259,15,15,15
9,10,6,9,15,1|2|600|4|1|1,,14,0,1335,481,1817,520660,43848,2038303,14,14,14
9,10,6,10,15,1|2|600|4|1|1,,19,0,2017,1966,3983,776132,61680,3068284,19,19,19
9,10,7,1,15,1|2|600|4|1|1,,4,0,123,27,151,56075,9329,189277,4,4,4
9,10,7,2,15,1|2|600|4|1|1,,13,0,540,71,613,222447,28378,811570,13,13,13
9,10,7,3,15,1|2|600|4|1|1,,8,0,419,58,477,172191,19725,638861,8,8,8
9,10,7,4,15,1|2|600|4|1|1,,10,0,623,79,702,249435,25895,945671,10,10,10
