g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
8,10,0,1,13,1|2|600|4|1|0,,11,0,15,4,20,4082,2304,9836,11,11,11
8,10,0,2,13,1|2|600|4|1|0,,6,0,13,3,17,6891,2688,17631,6,6,6
8,10,0,3,13,1|2|600|4|1|0,,11,0,43,9,53,21434,6912,60050,11,11,11
8,10,0,4,13,1|2|600|4|1|0,,12,0,75,16,92,35613,9984,104405,12,12,12
8,10,0,5,13,1|2|600|4|1|0,,9,0,85,14,100,38551,9600,115951,9,9,9
8,10,0,6,13,1|2|600|4|1|0,,11,0,139,22,163,61549,13824,191599,11,11,11
8,10,0,7,13,1|2|600|4|1|0,,7,0,120,19,140,52733,10752,166397,7,7,7
8,10,0,8,13,1|2|600|4|1|0,,11,0,239,36,276,100012,18432,326988,11,11,11
8,10,0,9,13,1|2|600|4|1|0,,13,0,345,43,390,142915,24192,476607,13,13,13
8,10,0,10,13,1|2|600|4|1|0,,8,0,455,87,543,183262,28800,621122,7,8,8
8,20,0,1,13,1|2|600|4|1|0,,4,0,2,1,4,1755,960,3873,4,4,4
8,20,0,2,13,1|2|600|4|1|0,,5,0,9,2,12,5562,2304,13468,5,5,5
8,20,0,3,13,1|2|600|4|1|0,,13,0,44,9,54,23087,8064,61363,13,13,13
8,20,0,4,13,1|2|600|4|1|0,,8,0,44,8,53,22355,6912,61291,8,8,8
8,20,0,5,13,1|2|600|4|1|0,,7,0,58,10,69,28183,7680,80939,7,7,7
8,20,0,6,13,1|2|600|4|1|0,,9,0,99,17,116,46247,11520,137439,9,9,9
8,20,0,7,13,1|2|600|4|1|0,,8,0,112,18,131,51119,12096,152657,8,8,8
8,20,0,8,13,1|2|600|4|1|0,,10,0,187,27,215,81570,16896,256898,10,10,10
8,20,0,9,13,1|2|600|4|1|0,,11,0,237,32,271,103095,20736,326757,11,11,11
8,20,0,10,13,1|2|600|4|1|0,,9,0,231,30,262,100160,19200,317710,9,9,9
