g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
4,10,1,1,15,1|2|600|4|1|1,,8,0,9,1,12,2181,723,6131,8,8,8
4,10,1,2,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,233,123,0,100528,21622,331472,6,193,-1
4,10,1,3,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,420,220,0,180525,32409,610815,7,225,-1
4,10,1,4,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,455,167,0,190919,28348,663819,5,161,-1
4,10,1,5,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,580,200,0,237961,30175,843647,9,145,-1
4,10,1,6,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,1395,425,0,558401,61698,2010281,8,257,-1
4,10,1,7,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,1407,385,0,567225,61221,2044243,7,225,-1
4,10,1,8,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,1675,393,0,664218,58696,2440678,6,193,-1
4,10,1,9,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,1799,409,0,704823,54123,2618933,10,161,-1
4,10,1,10,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,1852,427,0,723801,53390,2696297,9,145,-1
4,10,2,1,15,1|2|600|4|1|1,,3,0,3,0,4,1764,518,5116,3,3,3
4,10,2,2,15,1|2|600|4|1|1,,5,0,8,1,10,4194,972,13328,5,5,5
4,10,2,3,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,688,356,0,281538,43218,1001794,7,225,-1
4,10,2,4,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,669,279,0,274983,39672,980415,11,177,-1
4,10,2,5,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,987,412,0,396697,49438,1439305,6,193,-1
4,10,2,6,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,1133,514,0,441975,46404,1632223,10,161,-1
4,10,2,7,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,2240,984,0,878999,82282,3278263,4,257,-1
4,10,2,8,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,1547,430,0,602451,51088,2261931,9,145,-1
4,10,2,9,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,2169,1059,0,838123,61878,3177339,10,161,-1
4,10,2,10,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,4134,1279,0,1580016,106972,6019256,8,257,-1
4,10,3,1,15,1|2|600|4|1|1,,4,0,6,2,9,3286,889,9792,4,4,4
4,10,3,2,15,1|2|600|4|1|1,,3,0,8,2,11,3883,850,12429,3,3,3
4,10,3,3,15,1|2|600|4|1|1,,7,0,25,7,33,11286,1947,38666,7,7,7
4,10,3,4,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,1182,2241,0,469890,61236,1721646,7,225,-1
4,10,3,5,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,1851,2190,0,720831,78173,2696169,8,257,-1
4,10,3,6,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,2116,3117,0,825370,86406,3086466,8,257,-1
4,10,3,7,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,2746,2962,0,1054893,94639,3998547,8,257,-1
4,10,3,8,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,3307,1688,0,1264430,102872,4823058,8,257,-1
4,10,3,9,15,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,2952,1108,0,1119586,83457,4291460,6,193,-1
