g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
4,10,1,1,13,1|2|600|4|1|1,,9,0,9,2,12,2475,802,7084,9,9,9
4,10,1,2,13,1|2|600|4|1|1,,11,0,21,13,35,8951,2132,28043,9,11,11
4,10,1,3,13,1|2|600|4|1|1,,7,0,14,2,17,6193,1158,20480,7,7,7
4,10,1,4,13,1|2|600|4|1|1,,10,0,34,21,56,15373,2296,52823,6,10,10
4,10,1,5,13,1|2|600|4|1|1,,19,0,85,92,178,36965,4794,129750,11,19,19
4,10,1,6,13,1|2|600|4|1|1,,24,0,150,2617,2768,64422,7932,227646,8,24,24
4,10,1,7,13,1|2|600|4|1|1,,21,0,217,2562,2780,89895,8990,325550,8,21,21
4,10,1,8,13,1|2|600|4|1|1,,30,0,425,15227,15653,172590,16128,628964,13,30,30
4,10,1,9,13,1|2|600|4|1|1,Timeout,,0,355,601637,0,141882,11106,525087,8,31,32
4,10,1,10,13,1|2|600|4|1|1,,32,0,462,596031,596495,181953,13636,675469,9,32,32
4,10,2,1,13,1|2|600|4|1|1,,3,0,3,0,4,1709,516,4933,3,3,3
4,10,2,2,13,1|2|600|4|1|1,,6,0,10,1,12,4987,1128,15887,6,6,6
4,10,2,3,13,1|2|600|4|1|1,,9,0,26,7,33,11474,1932,39428,9,9,9
4,10,2,4,13,1|2|600|4|1|1,,6,0,25,4,30,11155,1584,39327,6,6,6
4,10,2,5,13,1|2|600|4|1|1,,6,0,52,29,83,22297,2836,79883,5,6,6
4,10,2,6,13,1|2|600|4|1|1,,14,0,122,494,617,46899,4920,172443,8,14,14
4,10,2,7,13,1|2|600|4|1|1,,13,0,236,10887,11123,90731,8028,339445,6,13,13
4,10,2,8,13,1|2|600|4|1|1,,16,0,298,5141,5440,118012,10240,441128,7,16,16
4,10,2,9,13,1|2|600|4|1|1,,16,0,343,46867,47211,132347,9636,501257,6,16,16
4,10,2,10,13,1|2|600|4|1|1,,16,0,246,8162,8409,95531,7112,359675,8,16,16
4,10,3,1,13,1|2|600|4|1|1,,6,0,15,2,17,4924,1238,15367,6,6,6
4,10,3,2,13,1|2|600|4|1|1,,6,0,14,2,17,6800,1468,21976,6,6,6
4,10,3,3,13,1|2|600|4|1|1,,9,0,33,5,40,14796,2418,51637,9,9,9
4,10,3,4,13,1|2|600|4|1|1,,8,0,41,6,48,17572,2472,62722,8,8,8
4,10,3,5,13,1|2|600|4|1|1,,6,0,40,13,54,17004,2158,61559,6,6,6
4,10,3,6,13,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,3,7,13,1|2|600|4|1|1,,10,0,166,915,1082,61341,5562,231278,7,10,10
4,10,3,8,13,1|2|600|4|1|1,,10,0,240,202,444,94184,7648,358126,9,10,10
4,10,3,9,13,1|2|600|4|1|1,,15,0,221,15845,16067,85731,7398,322874,8,15,15
4,10,3,10,13,1|2|600|4|1|1,,12,0,220,1748,1969,82853,6092,315833,6,12,12
4,10,4,1,13,1|2|600|4|1|1,,2,0,5,0,6,2629,680,7921,2,2,2
4,10,4,2,13,1|2|600|4|1|1,,5,0,19,3,23,8546,1552,29262,5,5,5
4,10,4,3,13,1|2|600|4|1|1,,7,0,34,5,40,14791,2328,52221,7,7,7
4,10,4,4,13,1|2|600|4|1|1,,8,0,51,18,70,21744,2912,78824,8,8,8
4,10,4,5,13,1|2|600|4|1|1,,7,0,63,17,81,23980,2856,88094,7,7,7
4,10,4,6,13,1|2|600|4|1|1,,5,0,56,7,64,21207,2352,78347,5,5,5
4,10,4,7,13,1|2|600|4|1|1,,9,0,147,216,364,56644,5464,213548,6,9,9
4,10,4,8,13,1|2|600|4|1|1,,9,0,169,272,441,66888,5888,253968,6,9,9
4,10,4,9,13,1|2|600|4|1|1,,9,0,204,340,545,77967,6312,297671,6,9,9
4,10,4,10,13,1|2|600|4|1|1,,7,0,212,160,372,78738,5712,303042,5,7,7
4,10,5,1,13,1|2|600|4|1|1,,2,0,6,0,7,3282,826,9835,2,2,2
4,10,5,2,13,1|2|600|4|1|1,,0,0,0,0,1,654,324,1210,0,0,0
4,10,5,3,13,1|2|600|4|1|1,,6,0,36,5,42,15756,2382,56019,6,6,6
4,10,5,4,13,1|2|600|4|1|1,,7,0,57,18,76,23950,2984,88240,7,7,7
4,10,5,5,13,1|2|600|4|1|1,,7,0,75,20,97,29588,3250,110597,7,7,7
4,10,5,6,13,1|2|600|4|1|1,,6,0,131,59,191,46200,4812,173872,5,6,6
4,10,5,7,13,1|2|600|4|1|1,,6,0,151,76,228,57306,5174,218877,5,6,6
4,10,5,8,13,1|2|600|4|1|1,,6,0,181,51,233,67072,5536,257762,5,6,6
4,10,5,9,13,1|2|600|4|1|1,,8,0,157,39,197,62450,4842,240219,8,8,8
4,10,5,10,13,1|2|600|4|1|1,,8,0,291,779,1071,106112,7380,412396,6,8,8
4,10,6,1,13,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,6,2,13,1|2|600|4|1|1,,2,0,13,2,15,5517,1080,18117,2,2,2
4,10,6,3,13,1|2|600|4|1|1,,5,0,37,6,43,15909,2340,56877,5,5,5
4,10,6,4,13,1|2|600|4|1|1,,5,0,47,6,54,19810,2544,72310,5,5,5
4,10,6,5,13,1|2|600|4|1|1,,4,0,46,13,60,19412,2300,71670,4,4,4
4,10,6,6,13,1|2|600|4|1|1,,10,0,199,128,327,74018,7272,281702,7,10,10
4,10,6,7,13,1|2|600|4|1|1,,8,0,201,194,396,74711,6740,286301,6,8,8
4,10,6,8,13,1|2|600|4|1|1,,6,0,210,83,294,79362,6080,308610,5,6,6
4,10,6,9,13,1|2|600|4|1|1,,6,0,136,29,166,52933,4140,204347,6,6,6
4,10,6,10,13,1|2|600|4|1|1,,7,0,307,202,510,112731,8024,439347,6,7,7
4,10,7,1,13,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,7,2,13,1|2|600|4|1|1,,1,0,7,0,8,3747,828,11773,1,1,1
4,10,7,3,13,1|2|600|4|1|1,,7,0,61,9,70,25852,3498,93873,7,7,7
4,10,7,4,13,1|2|600|4|1|1,,5,0,60,21,82,24822,2840,92638,5,5,5
4,10,7,5,13,1|2|600|4|1|1,,5,0,75,16,93,27599,3046,103090,5,5,5
4,10,7,6,13,1|2|600|4|1|1,,6,0,167,72,240,60606,5892,231162,5,6,6
4,10,7,7,13,1|2|600|4|1|1,,7,0,131,31,162,52229,4578,200870,7,7,7
4,10,7,8,13,1|2|600|4|1|1,,6,0,245,115,361,88897,6624,347863,5,6,6
4,10,7,9,13,1|2|600|4|1|1,,7,0,263,131,395,96915,6990,379286,5,7,7
4,10,7,10,13,1|2|600|4|1|1,,7,0,211,62,274,80853,5388,317735,7,7,7
4,10,8,1,13,1|2|600|4|1|1,,2,0,12,2,15,6138,1264,19546,2,2,2
4,10,8,2,13,1|2|600|4|1|1,,3,0,25,3,30,11402,1824,39570,3,3,3
4,10,8,3,13,1|2|600|4|1|1,,3,0,33,4,38,14083,1968,50485,3,3,3
4,10,8,4,13,1|2|600|4|1|1,,2,0,26,6,33,11349,1600,40453,2,2,2
4,10,8,5,13,1|2|600|4|1|1,,3,0,49,12,62,20159,2256,75081,3,3,3
4,10,8,6,13,1|2|600|4|1|1,,7,0,193,82,276,71491,6432,275619,5,7,7
4,10,8,7,13,1|2|600|4|1|1,,5,0,118,27,146,45981,3760,178387,5,5,5
4,10,8,8,13,1|2|600|4|1|1,,6,0,152,40,193,57517,4608,223229,6,6,6
4,10,8,9,13,1|2|600|4|1|1,,7,0,184,66,251,72162,5520,280876,7,7,7
4,10,8,10,13,1|2|600|4|1|1,,5,0,157,28,186,61292,4384,239592,5,5,5
4,10,9,1,13,1|2|600|4|1|1,,7,0,59,19,79,22315,3730,76204,7,7,7
4,10,9,2,13,1|2|600|4|1|1,,6,0,63,9,73,24288,3508,86384,6,6,6
4,10,9,3,13,1|2|600|4|1|1,,4,0,47,16,65,20313,2694,73436,4,4,4
4,10,9,4,13,1|2|600|4|1|1,,7,0,108,26,135,41307,4552,154923,7,7,7
4,10,9,5,13,1|2|600|4|1|1,,5,0,93,24,118,35287,3642,133156,5,5,5
4,10,9,6,13,1|2|600|4|1|1,,7,0,150,30,180,56514,5100,217508,7,7,7
4,10,9,7,13,1|2|600|4|1|1,,6,0,247,105,353,91829,7342,358340,5,6,6
4,10,9,8,13,1|2|600|4|1|1,,6,0,165,31,198,63479,4960,247465,6,6,6
4,10,9,9,13,1|2|600|4|1|1,,5,0,161,34,197,59964,4482,234237,5,5,5
4,10,9,10,13,1|2|600|4|1|1,,5,0,181,32,213,67054,4692,263128,5,5,5
4,10,10,1,13,1|2|600|4|1|1,,2,0,28,6,35,8338,1556,27204,2,2,2
4,10,10,2,13,1|2|600|4|1|1,,3,0,36,10,46,15722,2216,55754,3,3,3
4,10,10,3,13,1|2|600|4|1|1,,5,0,71,25,96,29540,3516,108950,5,5,5
4,10,10,4,13,1|2|600|4|1|1,,5,0,96,23,120,35103,3728,131997,5,5,5
4,10,10,5,13,1|2|600|4|1|1,,7,0,224,83,308,83760,8420,318534,6,7,7
4,10,10,6,13,1|2|600|4|1|1,,6,0,226,94,321,84719,7512,327251,5,6,6
4,10,10,7,13,1|2|600|4|1|1,,6,0,253,84,338,96673,7884,376619,5,6,6
4,10,10,8,13,1|2|600|4|1|1,,5,0,164,30,194,63762,4576,250882,5,5,5
4,10,10,9,13,1|2|600|4|1|1,,7,0,338,230,569,122643,8628,483537,5,7,7
4,10,10,10,13,1|2|600|4|1|1,,5,0,208,35,243,79791,5000,316879,5,5,5
