g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
4,10,1,1,7,1|2|600|4|1|1,,3,0,3,1,5,919,322,2528,3,3,3
4,10,1,2,7,1|2|600|4|1|1,,12,0,22,13,36,8723,2356,26599,10,12,12
4,10,1,3,7,1|2|600|4|1|1,,8,0,12,2,14,5376,1302,16651,8,8,8
4,10,1,4,7,1|2|600|4|1|1,,13,0,29,27,56,14209,3352,44303,9,13,13
4,10,1,5,7,1|2|600|4|1|1,,16,0,31,33,65,15047,3546,46576,8,16,16
4,10,1,6,7,1|2|600|4|1|1,,16,0,47,38,85,22821,5052,71765,10,16,16
4,10,1,7,7,1|2|600|4|1|1,,18,0,92,366,459,42807,8990,137406,8,18,18
4,10,1,8,7,1|2|600|4|1|1,,20,0,103,373,477,48603,10048,156177,8,20,20
4,10,1,9,7,1|2|600|4|1|1,,19,0,74,121,196,35381,7746,111194,11,19,19
4,10,1,10,7,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,2,1,7,1|2|600|4|1|1,,4,0,4,0,5,2198,644,6428,4,4,4
4,10,2,2,7,1|2|600|4|1|1,,5,0,8,1,9,4082,968,12928,5,5,5
4,10,2,3,7,1|2|600|4|1|1,,5,0,11,2,13,5474,1164,17720,5,5,5
4,10,2,4,7,1|2|600|4|1|1,,7,0,26,8,34,12184,2480,40360,5,7,7
4,10,2,5,7,1|2|600|4|1|1,,8,0,37,21,59,17347,3348,58409,6,8,8
4,10,2,6,7,1|2|600|4|1|1,,7,0,51,26,78,21696,3768,74928,6,7,7
4,10,2,7,7,1|2|600|4|1|1,,8,0,49,36,85,20777,3548,71963,5,8,8
4,10,2,8,7,1|2|600|4|1|1,,9,0,46,7,54,20565,3552,70369,9,9,9
4,10,2,9,7,1|2|600|4|1|1,,8,0,49,23,72,21827,3492,76081,8,8,8
4,10,2,10,7,1|2|600|4|1|1,,10,0,122,92,215,45287,7112,159191,8,10,10
4,10,3,1,7,1|2|600|4|1|1,,5,0,7,1,9,3891,1062,11594,5,5,5
4,10,3,2,7,1|2|600|4|1|1,,4,0,10,1,12,4945,1052,16269,4,4,4
4,10,3,3,7,1|2|600|4|1|1,,8,0,24,4,28,11098,2178,37411,8,8,8
4,10,3,4,7,1|2|600|4|1|1,,8,0,32,5,38,14585,2472,51031,8,8,8
4,10,3,5,7,1|2|600|4|1|1,,9,0,44,21,65,19401,3070,68822,9,9,9
4,10,3,6,7,1|2|600|4|1|1,,7,0,58,27,86,22975,3732,81243,5,7,7
4,10,3,7,7,1|2|600|4|1|1,,9,0,54,8,63,23641,3722,83788,9,9,9
4,10,3,8,7,1|2|600|4|1|1,,8,0,89,103,193,36188,5248,131062,6,8,8
4,10,3,9,7,1|2|600|4|1|1,,8,0,96,63,159,40131,5670,145738,6,8,8
4,10,3,10,7,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,4,1,7,1|2|600|4|1|1,,1,0,2,0,3,1535,456,4277,1,1,1
4,10,4,2,7,1|2|600|4|1|1,,4,0,14,2,16,6473,1296,21521,4,4,4
4,10,4,3,7,1|2|600|4|1|1,,7,0,29,5,35,13304,2328,46198,7,7,7
4,10,4,4,7,1|2|600|4|1|1,,6,0,33,8,41,14447,2272,51327,6,6,6
4,10,4,5,7,1|2|600|4|1|1,,7,0,43,20,64,18913,2856,67907,7,7,7
4,10,4,6,7,1|2|600|4|1|1,,4,0,40,4,45,13805,1968,49925,4,4,4
4,10,4,7,7,1|2|600|4|1|1,,7,0,107,55,163,41186,5464,152250,6,7,7
4,10,4,8,7,1|2|600|4|1|1,,6,0,101,51,153,41545,4992,156177,5,6,6
4,10,4,9,7,1|2|600|4|1|1,,8,0,144,78,223,56406,7272,209770,7,8,8
4,10,4,10,7,1|2|600|4|1|1,,6,0,120,53,174,48254,5712,181798,5,6,6
4,10,5,1,7,1|2|600|4|1|1,,2,0,7,1,8,3433,826,10562,2,2,2
4,10,5,2,7,1|2|600|4|1|1,,2,0,9,1,10,4377,932,14065,2,2,2
4,10,5,3,7,1|2|600|4|1|1,,3,0,17,2,20,7657,1374,26152,3,3,3
4,10,5,4,7,1|2|600|4|1|1,,3,0,22,3,26,9747,1512,34679,3,3,3
4,10,5,5,7,1|2|600|4|1|1,,6,0,47,16,64,20178,2850,73399,6,6,6
4,10,5,6,7,1|2|600|4|1|1,,7,0,119,69,188,44803,5676,167299,6,7,7
4,10,5,7,7,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,5,8,7,1|2|600|4|1|1,,9,0,159,75,235,62335,7520,234997,7,9,9
4,10,5,9,7,1|2|600|4|1|1,,6,0,72,20,93,30326,3786,112823,6,6,6
4,10,5,10,7,1|2|600|4|1|1,,8,0,126,31,158,47262,5140,180514,8,8,8
4,10,6,1,7,1|2|600|4|1|1,,2,0,16,2,19,4313,972,13507,2,2,2
4,10,6,2,7,1|2|600|4|1|1,,5,0,39,5,45,12523,2136,43349,5,5,5
4,10,6,3,7,1|2|600|4|1|1,,4,0,27,4,31,12070,1956,42396,4,4,4
4,10,6,4,7,1|2|600|4|1|1,,4,0,33,5,38,14338,2128,51310,4,4,4
4,10,6,5,7,1|2|600|4|1|1,,3,0,29,7,37,12680,1852,45604,3,3,3
4,10,6,6,7,1|2|600|4|1|1,,7,0,75,20,96,30604,3912,113478,7,7,7
4,10,6,7,7,1|2|600|4|1|1,,5,0,75,19,95,27973,3156,106049,5,5,5
4,10,6,8,7,1|2|600|4|1|1,,5,0,134,64,199,48683,4992,187663,4,5,5
4,10,6,9,7,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,6,10,7,1|2|600|4|1|1,,6,0,136,51,187,53559,5592,206103,4,6,6
4,10,7,1,7,1|2|600|4|1|1,,5,0,23,4,27,11121,2222,36382,5,5,5
4,10,7,2,7,1|2|600|4|1|1,,4,0,27,4,32,12260,2028,42608,4,4,4
4,10,7,3,7,1|2|600|4|1|1,,5,0,40,16,57,17674,2634,63255,5,5,5
4,10,7,4,7,1|2|600|4|1|1,,3,0,36,4,41,13948,1912,50672,3,3,3
4,10,7,5,7,1|2|600|4|1|1,,8,0,140,60,201,55539,6518,209466,6,8,8
4,10,7,6,7,1|2|600|4|1|1,,7,0,168,63,232,62846,6948,239614,6,7,7
4,10,7,7,7,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
4,10,7,8,7,1|2|600|4|1|1,,4,0,94,29,125,37999,4256,144061,3,4,4
4,10,7,9,7,1|2|600|4|1|1,,6,0,109,27,137,43336,4494,166587,6,6,6
4,10,7,10,7,1|2|600|4|1|1,,6,0,174,58,232,62075,6044,241255,4,6,6
