g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
3,10,1,1,17,600,,3,0.000040,1,5,1
3,10,2,1,17,600,,1,0.000037,1,5,1
3,10,2,2,17,600,,5,0.000381,10,161,2
3,10,3,1,17,600,,0,0.000017,1,6,1
3,10,3,2,17,600,,3,0.000100,2,45,2
3,10,3,3,17,600,,4,0.000184,3,77,3
3,10,4,1,17,600,,3,0.000036,1,11,1
3,10,4,2,17,600,,4,0.003984,121,3154,2
3,10,4,3,17,600,,2,0.000186,2,38,2
3,10,4,4,17,600,,7,0.156390,4048,90596,4
3,10,5,1,17,600,,4,0.001358,36,1009,5
3,10,5,2,17,600,,2,0.000126,2,38,2
3,10,5,3,17,600,,4,0.003817,153,2373,4
3,10,5,4,17,600,,7,0.471706,14683,274922,4
3,10,5,5,17,600,,4,0.001490,39,598,5
3,10,6,1,17,600,,3,0.000875,31,583,6
3,10,6,2,17,600,,3,0.000083,1,17,1
3,10,6,3,17,600,,3,0.001098,32,544,5
3,10,6,4,17,600,,4,0.044824,1998,25778,5
3,10,6,5,17,600,,5,0.038956,1496,21350,5
3,10,6,6,17,600,,6,1.488431,50583,736238,6
3,10,7,1,17,600,,2,0.000551,21,300,7
3,10,7,2,17,600,,2,0.001328,66,672,6
3,10,7,3,17,600,,5,4.124540,144336,2140772,4
3,10,7,4,17,600,,5,12.588923,421472,6248325,5
