g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
8,10,1,1,17,600,,11,0.000092,1,13,1
8,10,2,1,17,600,,7,0.000042,1,11,1
8,10,2,2,17,600,,10,0.000063,1,19,1
8,10,3,1,17,600,,0,0.000017,1,6,1
8,10,3,2,17,600,,11,0.000378,3,228,2
8,10,3,3,17,600,,15,0.000129,1,41,1
8,10,4,1,17,600,,9,0.000052,1,17,1
8,10,4,2,17,600,,10,0.000099,1,24,1
8,10,4,3,17,600,,9,0.000117,1,33,1
8,10,4,4,17,600,,12,0.000968,6,346,4
8,10,5,1,17,600,,8,0.000057,1,18,1
8,10,5,2,17,600,,11,0.000112,1,32,1
8,10,5,3,17,600,,10,0.001586,8,905,4
8,10,5,4,17,600,,9,0.000438,2,110,2
8,10,5,5,17,600,,10,0.001441,7,469,5
8,10,6,1,17,600,,3,0.000058,1,15,1
8,10,6,2,17,600,,5,0.000101,1,20,1
8,10,6,3,17,600,,10,0.002636,17,1276,9
8,10,6,4,17,600,,9,0.003251,26,1917,4
8,10,6,5,17,600,,11,0.006350,30,3902,5
8,10,6,6,17,600,,14,0.001821,4,458,4
8,10,7,1,17,600,,3,0.000079,1,17,1
8,10,7,2,17,600,,7,0.000340,2,143,2
8,10,7,3,17,600,,10,0.002069,5,1163,5
8,10,7,4,17,600,,7,0.001149,4,343,4
8,10,7,5,17,600,,14,0.005046,25,2631,5
8,10,7,6,17,600,,12,0.011890,58,6996,7
8,10,7,7,17,600,,19,0.008073,53,2515,7
8,10,8,1,17,600,,0,0.000045,1,16,1
8,10,8,2,17,600,,11,0.016887,48,12277,7
8,10,8,3,17,600,,6,0.006308,34,4047,6
8,10,8,4,17,600,,13,0.001990,6,541,6
8,10,8,5,17,600,,11,0.013458,34,8641,7
8,10,8,6,17,600,,14,0.068631,133,48842,6
8,10,8,7,17,600,,11,0.002510,4,375,4
8,10,8,8,17,600,,14,0.008699,45,2052,8
8,10,9,1,17,600,,7,0.000121,1,25,1
8,10,9,2,17,600,,4,0.002024,18,1114,6
8,10,9,3,17,600,,8,0.012345,63,8035,7
8,10,9,4,17,600,,12,0.012310,50,8240,4
8,10,9,5,17,600,,10,0.003826,22,1590,5
8,10,9,6,17,600,,10,0.009235,32,4062,8
8,10,9,7,17,600,,11,0.008740,54,3129,7
8,10,9,8,17,600,,12,0.011537,55,4145,8
8,10,9,9,17,600,,13,0.010604,29,1681,9
8,10,10,1,17,600,,8,0.003103,14,1822,10
8,10,10,2,17,600,,3,0.000587,4,197,4
8,10,10,3,17,600,,9,0.001903,12,581,6
8,10,10,4,17,600,,9,0.038621,128,26226,4
8,10,10,5,17,600,,15,0.136103,520,82722,6
8,10,10,6,17,600,,12,7.276128,17391,4931340,7
8,10,10,7,17,600,,13,0.054010,223,32127,7
8,10,10,8,17,600,,10,0.007388,29,1339,8
8,10,10,9,17,600,,12,0.025539,145,8531,10
8,10,10,10,17,600,,11,0.014138,38,2135,10
8,20,1,1,17,600,,9,0.000031,1,11,1
8,20,2,1,17,600,,6,0.000022,1,10,1
8,20,2,2,17,600,,12,0.000046,1,16,1
8,20,3,1,17,600,,9,0.001047,4,764,3
8,20,3,2,17,600,,18,0.000111,1,36,1
8,20,3,3,17,600,,14,0.000106,1,30,1
8,20,4,1,17,600,,16,0.002723,5,2087,4
8,20,4,2,17,600,,8,0.000083,1,24,1
8,20,4,3,17,600,,10,0.000120,1,31,1
8,20,4,4,17,600,,14,0.001445,12,641,4
8,20,5,1,17,600,,10,0.007837,27,5854,5
8,20,5,2,17,600,,13,0.069437,202,54195,5
8,20,5,3,17,600,,6,0.000132,1,26,1
8,20,5,4,17,600,,11,0.000209,1,51,1
8,20,5,5,17,600,,15,0.006557,68,3199,5
8,20,6,1,17,600,,11,0.003972,7,1975,5
8,20,6,2,17,600,,10,0.000535,3,264,3
8,20,6,3,17,600,Unsolvable,,0.000001,0,0,0
8,20,6,4,17,600,,16,4.393113,46998,2322850,4
8,20,6,5,17,600,,8,0.003101,15,1733,5
8,20,6,6,17,600,,13,0.003112,14,887,6
8,20,7,1,17,600,,10,0.013345,49,11310,7
8,20,7,2,17,600,,3,0.000134,1,20,1
8,20,7,3,17,600,,16,0.000593,5,189,3
8,20,7,4,17,600,,8,0.001018,4,281,4
8,20,7,5,17,600,,11,0.004395,15,2462,6
8,20,7,6,17,600,,15,0.101744,598,64511,6
8,20,7,7,17,600,,12,0.005381,66,2587,1
8,20,8,1,17,600,,7,0.000076,1,23,1
8,20,8,2,17,600,,8,0.000475,3,190,3
8,20,8,3,17,600,,13,0.013894,42,9711,7
8,20,8,4,17,600,,9,0.062412,362,46024,5
8,20,8,5,17,600,,7,0.001196,6,365,5
8,20,8,6,17,600,,12,0.020127,105,10797,11
8,20,8,7,17,600,,11,0.002289,4,403,4
8,20,8,8,17,600,Unsolvable,,0.000092,0,0,0
8,20,9,1,17,600,,16,0.001194,4,740,4
8,20,9,2,17,600,,8,0.001149,7,596,4
8,20,9,3,17,600,,11,0.002760,11,1620,4
8,20,9,4,17,600,,11,0.034843,105,24273,6
8,20,9,5,17,600,,7,0.010345,89,5063,9
8,20,9,6,17,600,,10,0.803132,7880,426665,9
8,20,9,7,17,600,,13,0.011075,58,4193,7
