g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
8,10,1,1,0,600,,7,0.040,0.000,1,9,1
8,10,2,1,0,600,,3,0.021,0.000,1,7,1
8,10,2,2,0,600,,12,0.016,0.000,1,16,1
8,10,3,1,0,600,,2,0.026,0.000,1,8,1
8,10,3,2,0,600,,12,0.020,0.000,2,134,2
8,10,3,3,0,600,,11,0.042,0.000,2,93,2
8,10,4,1,0,600,,0,0.000,0.000,0,0,0
8,10,4,2,0,600,,8,0.016,0.000,1,16,1
8,10,4,3,0,600,,11,0.010,0.000,2,113,2
8,10,4,4,0,600,,16,0.008,0.000,1,54,1
8,10,5,1,0,600,,9,0.012,0.000,1,19,1
8,10,5,2,0,600,,8,0.006,0.000,2,112,2
8,10,5,3,0,600,,12,0.004,0.001,3,134,3
8,10,5,4,0,600,,11,0.009,0.002,9,1280,4
8,10,5,5,0,600,,12,0.008,0.002,19,822,5
8,10,6,1,0,600,,16,0.012,0.008,10,5878,6
8,10,6,2,0,600,,5,0.003,0.000,1,17,1
8,10,6,3,0,600,,9,0.005,0.003,9,1232,7
8,10,6,4,0,600,,11,0.007,0.005,14,3021,4
8,10,6,5,0,600,,14,0.003,0.001,2,161,2
8,10,6,6,0,600,,11,0.002,0.000,1,60,1
8,10,7,1,0,600,,7,0.003,0.000,1,21,1
8,10,7,2,0,600,,6,0.003,0.000,1,26,1
8,10,7,3,0,600,,10,0.003,0.001,4,422,3
8,10,7,4,0,600,,7,0.003,0.001,7,773,3
8,10,7,5,0,600,,9,0.004,0.001,3,207,3
8,10,7,6,0,600,,12,0.014,0.011,53,5672,8
8,10,7,7,0,600,,9,0.003,0.001,2,144,2
8,10,8,1,0,600,,6,0.002,0.000,1,22,1
8,10,8,2,0,600,,10,0.003,0.001,3,350,3
8,10,8,3,0,600,,16,0.762,0.760,1434,555732,4
8,10,8,4,0,600,,11,0.009,0.004,25,2409,5
8,10,8,5,0,600,,12,0.035,0.032,67,22679,6
8,10,8,6,0,600,,11,0.021,0.018,79,10475,7
8,10,8,7,0,600,,15,0.019,0.014,64,7113,7
8,10,8,8,0,600,,16,0.023,0.018,134,6590,8
8,10,9,1,0,600,,9,0.004,0.001,4,608,4
8,10,9,2,0,600,,7,0.003,0.000,2,200,2
8,10,9,3,0,600,,7,0.007,0.004,22,2953,7
8,10,9,4,0,600,,13,0.011,0.008,33,4930,4
8,10,9,5,0,600,,9,0.005,0.003,7,946,6
8,10,9,6,0,600,,11,0.017,0.015,50,8411,7
8,10,9,7,0,600,,8,0.008,0.005,14,1163,8
8,10,9,8,0,600,,13,0.017,0.014,95,5993,8
8,10,9,9,0,600,,10,0.022,0.020,218,6960,9
8,10,10,1,0,600,,9,0.016,0.013,46,8889,10
8,10,10,2,0,600,,9,0.006,0.003,11,1667,7
8,10,10,3,0,600,,9,0.005,0.002,6,1123,5
8,10,10,4,0,600,,12,0.225,0.223,489,157735,5
8,10,10,5,0,600,,14,0.067,0.063,155,42843,6
8,10,10,6,0,600,,9,0.099,0.096,530,59946,10
8,10,10,7,0,600,,10,0.012,0.009,37,3394,7
8,10,10,8,0,600,,12,0.049,0.046,269,20343,9
8,10,10,9,0,600,,10,0.024,0.022,136,6416,10
8,10,10,10,0,600,,14,0.021,0.019,73,5452,10
8,20,1,1,0,600,,8,0.002,0.000,1,10,1
8,20,2,1,0,600,,5,0.002,0.000,1,9,1
8,20,2,2,0,600,,9,0.002,0.000,1,13,1
8,20,3,1,0,600,,3,0.002,0.000,1,9,1
8,20,3,2,0,600,,15,0.004,0.002,4,1685,3
8,20,3,3,0,600,,17,0.003,0.000,2,127,2
8,20,4,1,0,600,,0,0.000,0.000,0,0,0
8,20,4,2,0,600,,11,0.003,0.001,3,394,3
8,20,4,3,0,600,,13,0.003,0.001,4,265,3
8,20,4,4,0,600,,22,0.004,0.002,15,808,4
8,20,5,1,0,600,,8,0.002,0.000,1,18,1
8,20,5,2,0,600,,10,0.002,0.001,3,357,2
8,20,5,3,0,600,,9,0.002,0.000,1,23,1
8,20,5,4,0,600,,14,0.054,0.052,165,37894,4
8,20,5,5,0,600,,14,0.003,0.001,3,229,3
8,20,6,1,0,600,,15,0.006,0.003,7,2135,6
8,20,6,2,0,600,,8,0.003,0.000,3,217,3
8,20,6,3,0,600,,10,0.003,0.001,3,286,3
8,20,6,4,0,600,,21,0.038,0.035,66,27362,3
8,20,6,5,0,600,,8,0.004,0.002,7,514,7
8,20,6,6,0,600,,6,0.003,0.001,3,144,3
8,20,7,1,0,600,,4,0.002,0.000,1,18,1
8,20,7,2,0,600,,10,0.008,0.006,22,3846,15
8,20,7,3,0,600,,12,0.006,0.004,14,2116,11
8,20,7,4,0,600,,14,0.012,0.010,20,6983,12
8,20,7,5,0,600,,14,0.066,0.064,105,47964,6
8,20,7,6,0,600,,11,0.008,0.006,29,2364,8
8,20,7,7,0,600,Unsolvable,,0.003,0.000,0,13,1
8,20,8,1,0,600,,2,0.002,0.000,1,18,1
8,20,8,2,0,600,,8,0.003,0.001,4,434,2
8,20,8,3,0,600,,12,0.003,0.000,1,35,1
8,20,8,4,0,600,,13,0.005,0.003,17,1218,6
8,20,8,5,0,600,,12,0.006,0.003,20,1025,6
8,20,8,6,0,600,,12,0.103,0.100,344,69524,9
8,20,8,7,0,600,,9,0.009,0.006,39,2173,8
8,20,8,8,0,600,Unsolvable,,0.003,0.000,0,4,1
8,20,9,1,0,600,,7,0.003,0.001,8,464,8
8,20,9,2,0,600,,14,0.028,0.026,55,19049,8
8,20,9,3,0,600,,13,0.006,0.004,32,2177,5
8,20,9,4,0,600,,14,0.003,0.001,11,418,4
8,20,9,5,0,600,,11,0.017,0.015,73,8160,9
8,20,9,6,0,600,,13,0.011,0.009,29,4511,6
8,20,9,7,0,600,,10,0.010,0.007,27,2185,8
