g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
8,10,1,1,15,600,,13,0.004,0.000,1,15,1
8,10,2,1,15,600,,15,0.004,0.000,1,19,1
8,10,2,2,15,600,,5,0.003,0.000,1,9,1
8,10,3,1,15,600,,9,0.004,0.002,9,1340,3
8,10,3,2,15,600,,10,0.003,0.000,2,62,2
8,10,3,3,15,600,,9,0.002,0.000,1,26,1
8,10,4,1,15,600,,9,0.002,0.000,1,17,1
8,10,4,2,15,600,,13,0.003,0.000,3,169,2
8,10,4,3,15,600,,13,0.003,0.000,2,124,2
8,10,4,4,15,600,,12,0.002,0.000,1,53,1
8,10,5,1,15,600,,3,0.002,0.000,1,13,1
8,10,5,2,15,600,,11,0.003,0.001,11,686,4
8,10,5,3,15,600,,6,0.003,0.000,2,71,2
8,10,5,4,15,600,,10,0.004,0.001,5,627,4
8,10,5,5,15,600,,11,0.003,0.001,2,148,2
8,10,6,1,15,600,,0,0.000,0.000,0,0,0
8,10,6,2,15,600,,11,0.003,0.000,2,300,2
8,10,6,3,15,600,,12,0.003,0.001,5,561,3
8,10,6,4,15,600,,20,0.007,0.004,10,2809,4
8,10,6,5,15,600,,10,0.008,0.006,61,2876,5
8,10,6,6,15,600,,11,0.004,0.001,3,259,3
8,10,7,1,15,600,,3,0.003,0.000,1,17,1
8,10,7,2,15,600,,12,0.003,0.000,1,31,1
8,10,7,3,15,600,,7,0.007,0.005,16,2390,16
8,10,7,4,15,600,,9,0.009,0.007,53,4036,5
8,10,7,5,15,600,,13,0.010,0.007,32,4560,5
8,10,7,6,15,600,,11,0.006,0.003,16,915,6
8,10,7,7,15,600,,10,0.007,0.004,12,928,7
8,10,8,1,15,600,,7,0.004,0.002,5,1241,5
8,10,8,2,15,600,,7,0.002,0.000,1,23,1
8,10,8,3,15,600,,15,0.003,0.000,1,46,1
8,10,8,4,15,600,,10,0.003,0.000,1,51,1
8,10,8,5,15,600,,19,0.011,0.008,40,4627,5
8,10,8,6,15,600,,8,0.005,0.003,14,632,6
8,10,8,7,15,600,,14,0.008,0.006,27,1701,7
8,10,8,8,15,600,,12,0.009,0.006,23,1380,8
8,10,9,1,15,600,,10,0.010,0.007,32,4868,9
8,10,9,2,15,600,,14,0.013,0.010,29,6866,10
8,10,9,3,15,600,,13,0.013,0.010,40,6195,5
8,10,9,4,15,600,,13,0.012,0.009,48,5147,5
8,10,9,5,15,600,,12,0.042,0.040,96,27155,6
8,10,9,6,15,600,,10,0.009,0.006,34,2909,7
8,10,9,7,15,600,,13,0.009,0.006,28,1335,7
8,10,9,8,15,600,,9,0.006,0.004,9,685,7
8,10,9,9,15,600,,9,0.009,0.007,10,1114,9
8,10,10,1,15,600,,5,0.005,0.003,19,1373,10
8,10,10,2,15,600,,8,0.050,0.048,286,29177,16
8,10,10,3,15,600,,12,0.007,0.004,7,2223,7
8,10,10,4,15,600,,13,0.413,0.410,1143,271214,4
8,10,10,5,15,600,,6,0.016,0.010,48,4688,8
8,10,10,6,15,600,,9,0.008,0.005,34,1228,7
8,10,10,7,15,600,,7,0.005,0.002,4,335,4
8,10,10,8,15,600,,12,0.019,0.016,66,6624,9
8,10,10,9,15,600,,10,0.014,0.011,43,2282,9
8,10,10,10,15,600,,11,0.023,0.020,83,4735,10
8,20,1,1,15,600,,13,0.002,0.000,1,15,1
8,20,2,1,15,600,,6,0.002,0.000,1,10,1
8,20,2,2,15,600,,12,0.002,0.000,1,24,1
8,20,3,1,15,600,,9,0.002,0.000,1,15,1
8,20,3,2,15,600,,10,0.002,0.000,1,16,1
8,20,3,3,15,600,Unsolvable,,0.002,0.000,0,0,0
8,20,4,1,15,600,,13,0.003,0.001,3,343,3
8,20,4,2,15,600,,8,0.002,0.000,1,24,1
8,20,4,3,15,600,,6,0.002,0.000,1,20,1
8,20,4,4,15,600,,10,0.002,0.000,3,195,2
8,20,5,1,15,600,,0,0.000,0.000,0,0,0
8,20,5,2,15,600,,8,0.002,0.000,2,68,2
8,20,5,3,15,600,,12,0.003,0.001,9,545,4
8,20,5,4,15,600,,11,0.003,0.001,5,327,5
8,20,5,5,15,600,,8,0.002,0.000,1,37,1
8,20,6,1,15,600,,5,0.002,0.000,3,82,3
8,20,6,2,15,600,,14,0.003,0.001,3,941,3
8,20,6,3,15,600,,12,0.004,0.002,16,1484,2
8,20,6,4,15,600,,12,0.006,0.004,19,1738,6
8,20,6,5,15,600,,10,0.004,0.001,4,341,4
8,20,6,6,15,600,,9,0.003,0.001,3,209,3
8,20,7,1,15,600,,0,0.000,0.000,0,0,0
8,20,7,2,15,600,,12,0.003,0.001,2,433,2
8,20,7,3,15,600,,16,0.119,0.117,269,88718,6
8,20,7,4,15,600,,12,0.006,0.004,22,2037,4
