g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
8,10,1,1,10,600,,11,0.004,0.000,1,13,1
8,10,2,1,10,600,,1,0.004,0.000,1,5,1
8,10,2,2,10,600,,10,0.003,0.000,1,20,1
8,10,3,1,10,600,,5,0.002,0.000,1,11,1
8,10,3,2,10,600,,11,0.002,0.000,1,25,1
8,10,3,3,10,600,,19,0.004,0.002,12,889,3
8,10,4,1,10,600,,4,0.002,0.000,1,12,1
8,10,4,2,10,600,,7,0.002,0.000,1,19,1
8,10,4,3,10,600,,12,0.003,0.001,3,195,3
8,10,4,4,10,600,,15,0.003,0.000,1,56,1
8,10,5,1,10,600,,4,0.003,0.000,5,247,5
8,10,5,2,10,600,,6,0.002,0.000,1,19,1
8,10,5,3,10,600,,10,0.003,0.001,4,410,2
8,10,5,4,10,600,,6,0.003,0.000,1,31,1
8,10,5,5,10,600,,10,0.003,0.001,3,198,3
8,10,6,1,10,600,,5,0.002,0.000,1,17,1
8,10,6,2,10,600,,5,0.002,0.000,1,17,1
8,10,6,3,10,600,,10,0.013,0.010,47,6811,3
8,10,6,4,10,600,,11,0.004,0.001,3,602,3
8,10,6,5,10,600,,11,0.003,0.001,3,235,3
8,10,6,6,10,600,,11,0.006,0.003,29,1234,5
8,10,7,1,10,600,,10,0.005,0.002,6,1326,6
8,10,7,2,10,600,,8,0.003,0.001,5,340,5
8,10,7,3,10,600,,11,0.007,0.004,18,3034,3
8,10,7,4,10,600,,8,0.005,0.003,14,1685,3
8,10,7,5,10,600,,16,0.007,0.004,5,1759,5
8,10,7,6,10,600,,11,0.009,0.006,22,3228,6
8,10,7,7,10,600,,16,0.014,0.011,86,4279,7
8,10,8,1,10,600,,12,0.003,0.000,1,28,1
8,10,8,2,10,600,,4,0.003,0.000,1,20,1
8,10,8,3,10,600,,16,281.742,281.739,373549,187456720,3
8,10,8,4,10,600,,12,2.717,0.006,16,4329,5
8,10,8,5,10,600,,9,0.006,0.003,29,968,6
8,10,8,6,10,600,,15,0.922,0.919,1812,650668,6
8,10,8,7,10,600,,11,0.010,0.007,28,3294,8
8,10,8,8,10,600,,12,0.009,0.006,24,1865,7
8,10,9,1,10,600,,7,0.003,0.000,1,25,1
8,10,9,2,10,600,,3,0.003,0.000,1,21,1
8,10,9,3,10,600,,9,0.004,0.001,7,577,3
8,10,9,4,10,600,,11,0.017,0.014,50,9156,6
8,10,9,5,10,600,,8,0.007,0.004,23,1743,7
8,10,9,6,10,600,,12,0.132,0.129,514,72793,8
8,10,9,7,10,600,,13,0.013,0.010,41,2654,10
8,10,9,8,10,600,,17,0.079,0.076,323,42332,8
8,10,9,9,10,600,,12,0.013,0.010,32,1957,9
8,10,10,1,10,600,,11,0.003,0.000,1,31,1
8,10,10,2,10,600,,8,0.011,0.008,31,4905,12
8,10,10,3,10,600,,5,0.003,0.001,5,242,3
8,10,10,4,10,600,,12,0.015,0.012,48,7097,6
8,10,10,5,10,600,,10,0.197,0.194,673,126690,7
8,10,10,6,10,600,,11,0.010,0.006,18,1290,9
8,10,10,7,10,600,,15,0.032,0.029,122,14813,7
8,10,10,8,10,600,,12,0.014,0.011,62,3203,8
8,10,10,9,10,600,,14,0.051,0.049,323,18059,10
8,10,10,10,10,600,,12,0.016,0.013,30,2120,10
8,20,1,1,10,600,,0,0.000,0.000,0,0,0
8,20,2,1,10,600,,18,0.003,0.000,1,22,1
8,20,2,2,10,600,,8,0.002,0.000,1,12,1
8,20,3,1,10,600,,10,0.002,0.000,2,247,2
8,20,3,2,10,600,,12,0.002,0.000,1,26,1
8,20,3,3,10,600,,10,0.002,0.000,1,30,1
8,20,4,1,10,600,,4,0.002,0.000,1,12,1
8,20,4,2,10,600,,3,0.002,0.000,1,11,1
8,20,4,3,10,600,,10,0.002,0.000,3,160,3
8,20,4,4,10,600,,17,0.003,0.001,6,431,4
8,20,5,1,10,600,,10,0.003,0.001,3,680,3
8,20,5,2,10,600,,18,0.004,0.001,7,902,2
8,20,5,3,10,600,,14,0.008,0.006,39,4092,3
8,20,5,4,10,600,Unsolvable,,0.002,0.000,0,0,0
8,20,5,5,10,600,,12,0.003,0.001,2,151,2
8,20,6,1,10,600,,4,0.002,0.000,1,16,1
8,20,6,2,10,600,,9,0.004,0.002,9,936,5
8,20,6,3,10,600,,13,0.007,0.005,17,3321,3
8,20,6,4,10,600,,14,0.006,0.004,8,2481,3
8,20,6,5,10,600,Unsolvable,,0.003,0.000,0,2,1
8,20,6,6,10,600,,12,0.004,0.002,5,447,5
8,20,7,1,10,600,,14,0.002,0.000,1,28,1
8,20,7,2,10,600,,9,0.004,0.001,6,790,6
8,20,7,3,10,600,,13,0.021,0.019,106,13127,5
8,20,7,4,10,600,,15,0.004,0.001,4,328,3
8,20,7,5,10,600,,13,0.005,0.002,5,507,5
