g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
5,10,1,1,12,600,,11,0.000086,1,13,1
5,10,2,1,12,600,,4,0.000055,1,8,1
5,10,2,2,12,600,,11,0.000093,1,24,1
5,10,3,1,12,600,,8,0.000284,4,156,3
5,10,3,2,12,600,,8,0.000141,2,58,2
5,10,3,3,12,600,,9,0.000204,2,72,2
5,10,4,1,12,600,,9,0.000684,9,412,4
5,10,4,2,12,600,,5,0.000261,3,99,3
5,10,4,3,12,600,,8,0.000806,10,402,3
5,10,4,4,12,600,,8,0.000463,3,125,3
5,10,5,1,12,600,,8,0.000418,5,223,5
5,10,5,2,12,600,,2,0.000068,1,13,1
5,10,5,3,12,600,,4,0.000616,5,196,5
5,10,5,4,12,600,,6,0.000144,1,29,1
5,10,5,5,12,600,,6,0.001261,14,391,5
5,10,6,1,12,600,,5,0.000072,1,17,1
5,10,6,2,12,600,,7,0.001334,21,752,5
5,10,6,3,12,600,,7,0.001604,32,851,4
5,10,6,4,12,600,,8,0.000842,10,343,4
5,10,6,5,12,600,,8,0.001475,7,427,5
5,10,6,6,12,600,,7,0.004782,87,1909,6
5,10,7,1,12,600,,2,0.000133,2,46,2
5,10,7,2,12,600,,3,0.000208,2,59,2
5,10,7,3,12,600,,6,0.000664,4,184,4
5,10,7,4,12,600,,5,0.001598,21,601,6
5,10,7,5,12,600,,5,0.003439,66,1539,5
5,10,7,6,12,600,,7,0.044720,1101,20971,8
5,10,7,7,12,600,,11,0.009778,137,3798,7
5,10,8,1,12,600,,0,0.000044,1,16,1
5,10,8,2,12,600,,4,0.000241,2,64,2
5,10,8,3,12,600,,5,0.001502,22,608,7
5,10,8,4,12,600,,7,0.011578,190,6024,5
5,10,8,5,12,600,,7,0.003435,42,1198,6
5,10,8,6,12,600,,7,0.005165,77,1933,7
5,10,8,7,12,600,,7,0.005793,69,1755,8
