g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
5,10,1,1,9,600,,4,0.002,0.000,1,6,1
5,10,2,1,9,600,,6,0.002,0.000,1,10,1
5,10,2,2,9,600,,8,0.002,0.000,1,14,1
5,10,3,1,9,600,,3,0.001,0.000,1,9,1
5,10,3,2,9,600,,4,0.002,0.000,1,10,1
5,10,3,3,9,600,,7,0.002,0.000,4,138,3
5,10,4,1,9,600,,6,0.002,0.001,9,697,4
5,10,4,2,9,600,,6,0.002,0.000,1,15,1
5,10,4,3,9,600,,4,0.002,0.000,4,106,3
5,10,4,4,9,600,,9,0.002,0.001,3,168,3
5,10,5,1,9,600,,5,0.002,0.000,2,92,2
5,10,5,2,9,600,,10,0.001,0.000,1,25,1
5,10,5,3,9,600,,6,0.002,0.001,9,323,3
5,10,5,4,9,600,,8,0.003,0.001,14,645,5
5,10,5,5,9,600,,7,0.004,0.002,42,1046,5
5,10,6,1,9,600,,8,0.005,0.003,17,1986,6
5,10,6,2,9,600,,5,0.003,0.001,4,223,4
5,10,6,3,9,600,,7,0.004,0.002,15,1067,5
5,10,6,4,9,600,,4,0.003,0.002,25,800,11
5,10,6,5,9,600,,9,0.003,0.001,8,339,6
5,10,6,6,9,600,,9,0.011,0.009,152,4000,6
5,10,7,1,9,600,,3,0.003,0.001,20,425,7
5,10,7,2,9,600,,7,0.005,0.004,33,2742,2
5,10,7,3,9,600,,7,0.008,0.007,67,4824,4
5,10,7,4,9,600,,8,0.005,0.003,40,1406,5
5,10,7,5,9,600,,5,0.002,0.000,2,72,2
5,10,7,6,9,600,,6,0.003,0.002,16,674,5
5,10,7,7,9,600,,7,0.007,0.005,61,1672,7
5,10,8,1,9,600,,5,0.003,0.001,9,652,8
5,10,8,2,9,600,,7,0.003,0.001,12,688,8
5,10,8,3,9,600,,8,0.003,0.002,26,845,4
5,10,8,4,9,600,,5,0.004,0.003,26,1293,6
5,10,8,5,9,600,,10,5.490,5.488,38756,3292240,5
5,10,8,6,9,600,,7,0.230,0.053,719,31883,6
5,10,8,7,9,600,,6,0.006,0.004,43,1036,7
5,10,8,8,9,600,,9,0.022,0.021,290,8562,8
5,10,9,1,9,600,,5,0.002,0.001,4,258,4
5,10,9,2,9,600,,2,0.002,0.000,3,81,3
5,10,9,3,9,600,,8,0.024,0.022,214,15692,4
5,10,9,4,9,600,,8,0.006,0.005,42,2684,4
5,10,9,5,9,600,,7,0.029,0.027,275,18861,4
5,10,9,6,9,600,,6,0.010,0.008,104,3907,7
5,10,9,7,9,600,,7,0.261,0.259,3083,143912,7
5,10,9,8,9,600,,9,4.772,4.770,73090,2335331,7
5,10,9,9,9,600,,8,1.122,0.830,14039,325867,9
5,10,10,1,9,600,,0,0.000,0.000,0,0,0
5,10,10,2,9,600,,5,0.014,0.012,158,7136,2
5,10,10,3,9,600,,7,0.017,0.015,151,8735,17
5,10,10,4,9,600,,6,0.067,0.065,564,36716,4
5,10,10,5,9,600,,9,5.633,5.631,44296,2834746,6
5,10,10,6,9,600,,8,0.178,0.176,1440,100433,7
5,10,10,7,9,600,,6,0.242,0.240,2525,116443,9
5,10,10,8,9,600,,6,0.015,0.007,70,1765,7
5,10,10,9,9,600,,4,0.009,0.007,63,2306,8
5,10,10,10,9,600,,8,12.978,12.976,191460,4415929,10
5,20,1,1,9,600,,14,0.949,0.000,1,16,1
5,20,2,1,9,600,,4,0.001,0.000,1,8,1
5,20,2,2,9,600,,8,0.001,0.000,1,12,1
5,20,3,1,9,600,,3,0.001,0.000,1,9,1
5,20,3,2,9,600,Unsolvable,,0.001,0.000,0,0,0
5,20,3,3,9,600,,11,0.002,0.000,2,97,2
5,20,4,1,9,600,,0,0.000,0.000,0,0,0
5,20,4,2,9,600,,3,0.001,0.000,1,11,1
5,20,4,3,9,600,Unsolvable,,0.001,0.000,0,2,1
5,20,4,4,9,600,,4,0.002,0.000,3,96,3
5,20,5,1,9,600,,7,0.001,0.000,2,49,2
5,20,5,2,9,600,,5,0.002,0.000,3,118,2
5,20,5,3,9,600,,6,0.001,0.000,2,54,2
5,20,5,4,9,600,,12,13.945,13.943,120694,7986021,5
5,20,5,5,9,600,,11,0.030,0.027,319,21433,4
5,20,6,1,9,600,,11,0.005,0.003,13,2340,6
5,20,6,2,9,600,,5,0.004,0.003,37,1884,10
5,20,6,3,9,600,,9,0.112,0.110,1845,68899,4
5,20,6,4,9,600,,7,0.004,0.002,20,1273,5
