g,b,a,c,seed,timeout,result,makespan,t_total,t_solver,h_expanded,l_expanded,n_assignments
5,10,1,1,7,600,,7,0.002,0.000,1,9,1
5,10,2,1,7,600,,5,0.002,0.000,3,64,2
5,10,2,2,7,600,,6,0.002,0.000,2,46,2
5,10,3,1,7,600,,5,0.002,0.000,1,11,1
5,10,3,2,7,600,,3,0.002,0.000,1,9,1
5,10,3,3,7,600,,5,0.002,0.000,1,11,1
5,10,4,1,7,600,,5,0.001,0.000,2,41,2
5,10,4,2,7,600,,6,0.002,0.000,2,66,2
5,10,4,3,7,600,,7,0.002,0.001,14,616,4
5,10,4,4,7,600,,7,0.002,0.001,2,87,2
5,10,5,1,7,600,,5,0.002,0.000,2,75,2
5,10,5,2,7,600,,6,0.003,0.001,16,968,3
5,10,5,3,7,600,,9,0.003,0.001,14,520,5
5,10,5,4,7,600,,11,0.003,0.001,7,304,4
5,10,5,5,7,600,,8,0.007,0.005,44,2772,4
5,10,6,1,7,600,,0,0.000,0.000,0,0,0
5,10,6,2,7,600,,6,0.003,0.001,19,512,7
5,10,6,3,7,600,,8,0.446,0.444,3731,297820,5
5,10,6,4,7,600,,5,0.013,0.001,6,505,6
5,10,6,5,7,600,,8,0.008,0.007,130,3102,5
5,10,6,6,7,600,,10,0.005,0.003,31,1055,6
5,10,7,1,7,600,,5,0.014,0.012,133,8516,7
5,10,7,2,7,600,,2,0.002,0.000,1,16,1
5,10,7,3,7,600,,8,0.008,0.007,90,4256,5
5,10,7,4,7,600,,7,0.009,0.007,62,5013,7
5,10,7,5,7,600,,6,0.004,0.002,16,677,5
5,10,7,6,7,600,,8,43.536,43.535,655547,20805956,5
5,10,7,7,7,600,,7,2.818,0.002,19,735,6
5,10,8,1,7,600,,5,0.002,0.000,1,21,1
5,10,8,2,7,600,,2,0.002,0.000,5,152,5
5,10,8,3,7,600,,6,0.001,0.000,1,27,1
5,10,8,4,7,600,,6,0.004,0.003,44,1394,8
5,10,8,5,7,600,,8,0.020,0.018,232,11190,6
5,10,8,6,7,600,,7,0.089,0.087,1371,54934,10
5,10,8,7,7,600,,7,0.010,0.006,71,3308,6
5,10,8,8,7,600,,5,0.009,0.007,123,2641,8
5,10,9,1,7,600,,5,0.002,0.000,2,110,2
5,10,9,2,7,600,,5,0.078,0.076,881,37932,6
5,10,9,3,7,600,,7,0.018,0.015,133,10243,9
5,10,9,4,7,600,,4,0.003,0.001,7,321,6
