g,b,a,c,seed,timeout,result,makespan,runtime,h_expanded,l_expanded,n_assignments
5,10,1,1,4,600,,2,0.000039,1,4,1
5,10,2,1,4,600,,16,0.001761,6,1462,2
5,10,2,2,4,600,,4,0.000093,1,10,1
5,10,3,1,4,600,,12,0.001209,4,682,3
5,10,3,2,4,600,,7,0.001278,14,943,2
5,10,3,3,4,600,,4,0.000075,1,17,1
5,10,4,1,4,600,,0,0.000026,1,8,1
5,10,4,2,4,600,,8,0.000457,2,85,2
5,10,4,3,4,600,,5,0.000422,4,129,4
5,10,4,4,4,600,,5,0.000461,4,151,4
5,10,5,1,4,600,,0,0.000041,1,10,1
5,10,5,2,4,600,,6,0.000364,3,184,3
5,10,5,3,4,600,,5,0.000115,1,23,1
5,10,5,4,4,600,,7,0.001481,15,445,5
5,10,5,5,4,600,,7,0.003648,74,1706,5
5,10,6,1,4,600,,5,0.001067,13,738,6
5,10,6,2,4,600,,8,0.001312,13,868,4
5,10,6,3,4,600,,4,0.001305,7,270,5
5,10,6,4,4,600,,5,0.001694,26,714,6
5,10,6,5,4,600,,8,0.293429,5138,158570,6
5,10,6,6,4,600,,6,0.002070,23,587,6
5,10,7,1,4,600,,0,0.000038,1,14,1
5,10,7,2,4,600,,8,0.002016,14,1265,9
5,10,7,3,4,600,,5,0.000519,6,184,3
5,10,7,4,4,600,,6,0.001349,18,423,4
5,10,7,5,4,600,,8,0.003038,23,852,5
5,10,7,6,4,600,,7,0.003029,33,982,6
5,10,7,7,4,600,,8,0.014672,272,6291,7
5,10,8,1,4,600,,8,0.022163,152,17778,8
5,10,8,2,4,600,,8,0.073882,466,59259,2
5,10,8,3,4,600,,6,2.411730,31216,1546173,4
5,10,8,4,4,600,,6,0.002254,43,1105,4
5,10,8,5,4,600,,7,1.981626,26063,1130909,7
