g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
5,10,1,1,,0|1.5|600|4|1|1,,2,0,2,1,4,946,450,2530,0,2,2
5,10,1,2,,0|1.5|600|4|1|1,,11,0,27,37,65,8351,2925,23395,0,11,11
5,10,1,3,,0|1.5|600|4|1|1,,8,0,24,17,43,8112,2700,22460,0,8,8
5,10,1,4,,0|1.5|600|4|1|1,,19,0,66,327,395,34260,10500,96055,0,19,19
5,10,1,5,,0|1.5|600|4|1|1,,26,0,89,1466,1556,42320,12600,118654,0,26,26
5,10,1,6,,0|1.5|600|4|1|1,,32,0,167,23574,23743,77982,22050,221557,0,32,32
5,10,1,7,,0|1.5|600|4|1|1,Timeout,,0,294,600781,0,134516,37800,380500,0,42,46
5,10,1,8,,0|1.5|600|4|1|1,Timeout,,0,314,601631,0,149111,42525,416881,0,42,62
5,10,1,9,,0|1.5|600|4|1|1,Timeout,,0,358,602007,0,171642,47250,485502,0,42,-1
5,10,1,10,,0|1.5|600|4|1|1,Timeout,,0,391,603483,0,190205,51975,538003,0,42,-1
5,10,2,1,,0|1.5|600|4|1|1,,6,0,13,6,20,5619,2025,16515,0,6,6
5,10,2,2,,0|1.5|600|4|1|1,,9,0,36,21,58,12640,3900,38236,0,9,9
5,10,2,3,,0|1.5|600|4|1|1,,9,0,48,27,77,17505,4875,54205,0,9,9
5,10,2,4,,0|1.5|600|4|1|1,,12,0,60,126,188,22658,5850,71422,0,12,12
5,10,2,5,,0|1.5|600|4|1|1,,15,0,98,37102,37202,39949,9975,126223,0,15,15
5,10,2,6,,0|1.5|600|4|1|1,,16,0,115,15731,15848,46092,11400,145168,0,16,16
5,10,2,7,,0|1.5|600|4|1|1,,22,0,174,84460,84635,76220,18900,238291,0,22,22
5,10,2,8,,0|1.5|600|4|1|1,Timeout,,0,191,604148,0,87250,21000,274930,0,19,27
5,10,2,9,,0|1.5|600|4|1|1,,23,0,216,357697,357914,95580,23100,299689,0,23,23
5,10,2,10,,0|1.5|600|4|1|1,Timeout,,0,238,603669,0,105260,25200,330388,0,23,27
5,10,3,1,,0|1.5|600|4|1|1,,8,0,17,12,30,8592,2700,26300,0,8,8
5,10,3,2,,0|1.5|600|4|1|1,,6,0,41,15,56,12045,3375,38005,0,6,6
5,10,3,3,,0|1.5|600|4|1|1,,8,0,32,16,48,15258,4050,48606,0,8,8
5,10,3,4,,0|1.5|600|4|1|1,,11,0,78,135,214,27955,6825,91183,0,11,11
5,10,3,5,,0|1.5|600|4|1|1,,10,0,84,54,139,32508,7800,106072,0,10,10
5,10,3,6,,0|1.5|600|4|1|1,,12,0,92,83,176,38813,8775,128953,0,12,12
5,10,3,7,,0|1.5|600|4|1|1,,16,0,169,406280,406451,64210,14250,213730,0,16,16
5,10,3,8,,0|1.5|600|4|1|1,Timeout,,0,172,605404,0,70533,15675,233971,0,13,18
5,10,3,9,,0|1.5|600|4|1|1,Timeout,,0,195,606409,0,82184,17100,278404,0,13,-1
5,10,3,10,,0|1.5|600|4|1|1,Timeout,,0,217,606728,0,90055,18525,305665,0,13,-1
5,10,4,1,,0|1.5|600|4|1|1,,5,0,15,8,25,7770,2250,24235,0,5,5
5,10,4,2,,0|1.5|600|4|1|1,,11,0,56,31,88,23570,5850,77374,0,11,11
5,10,4,3,,0|1.5|600|4|1|1,,7,0,69,25,94,19911,4725,66215,0,7,7
5,10,4,4,,0|1.5|600|4|1|1,,5,0,40,9,50,14792,3600,48616,0,5,5
5,10,4,5,,0|1.5|600|4|1|1,,8,0,65,43,109,28769,6075,99001,0,8,8
5,10,4,6,,0|1.5|600|4|1|1,,9,0,124,137,262,47734,9750,165394,0,9,9
5,10,4,7,,0|1.5|600|4|1|1,,8,0,94,463,559,36299,7425,125659,0,8,8
5,10,4,8,,0|1.5|600|4|1|1,Timeout,,0,210,606141,0,85280,17100,295828,0,13,15
5,10,4,9,,0|1.5|600|4|1|1,,13,0,239,235478,235719,99271,18525,351745,0,13,13
5,10,4,10,,0|1.5|600|4|1|1,Timeout,,0,253,610308,0,102246,19950,356902,0,13,-1
5,10,5,1,,0|1.5|600|4|1|1,,0,0,1,0,1,794,450,1582,0,0,0
5,10,5,2,,0|1.5|600|4|1|1,,6,0,54,29,84,20039,4725,66519,0,6,6
