g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
7,10,1,1,10,1|2|600|4|1|1,,16,0,38,8,47,14910,4166,44961,16,16,16
7,10,1,2,10,1|2|600|4|1|1,,28,0,124,2866,2991,56171,11321,184047,16,28,28
7,10,1,3,10,1|2|600|4|1|1,,30,0,355,14457,14813,143958,21612,497723,12,30,30
7,10,1,4,10,1|2|600|4|1|1,,19,0,249,205,455,103267,13479,359761,12,19,19
7,10,1,5,10,1|2|600|4|1|1,,40,0,973,133872,134847,400121,43958,1434980,17,40,40
7,10,1,6,10,1|2|600|4|1|1,Timeout,,0,1245,622385,0,505509,47781,1840141,16,33,64
7,10,1,7,10,1|2|600|4|1|1,,38,0,1493,76814,78308,599357,50820,2201426,15,38,38
7,10,1,8,10,1|2|600|4|1|1,Timeout,,0,2016,617815,0,806167,60523,2989217,16,49,56
7,10,1,9,10,1|2|600|4|1|1,Timeout,,0,2866,619169,0,1150793,79242,4292992,19,39,57
7,10,1,10,10,1|2|600|4|1|1,Timeout,,0,2966,614314,0,1175510,73265,4412802,16,33,-1
7,10,2,1,10,1|2|600|4|1|1,,7,0,26,23,49,12707,3138,39658,7,7,7
7,10,2,2,10,1|2|600|4|1|1,,7,0,51,13,65,20826,3924,69342,7,7,7
7,10,2,3,10,1|2|600|4|1|1,,11,0,114,29,144,48258,7062,169783,11,11,11
7,10,2,4,10,1|2|600|4|1|1,,22,0,443,198795,199239,176711,21274,640677,15,22,22
7,10,2,5,10,1|2|600|4|1|1,,22,0,535,84178,84714,219645,22746,808408,14,22,22
7,10,2,6,10,1|2|600|4|1|1,,17,0,529,5657,6187,209579,18534,780695,10,17,17
7,10,2,7,10,1|2|600|4|1|1,,22,0,891,77950,78842,355921,28434,1337142,14,22,22
7,10,2,8,10,1|2|600|4|1|1,Timeout,,0,1011,621633,0,403056,29122,1524574,13,14,-1
7,10,2,9,10,1|2|600|4|1|1,Timeout,,0,1241,631534,0,489580,31770,1861571,13,25,26
7,10,2,10,10,1|2|600|4|1|1,Timeout,,0,1327,620394,0,520088,31870,1981560,12,13,-1
7,10,3,1,10,1|2|600|4|1|1,,5,0,29,4,34,14162,3237,44830,5,5,5
7,10,3,2,10,1|2|600|4|1|1,,8,0,72,20,93,32587,5739,110719,8,8,8
7,10,3,3,10,1|2|600|4|1|1,,12,0,170,33,204,69800,9564,250665,12,12,12
7,10,3,4,10,1|2|600|4|1|1,,20,0,377,67,445,153028,17505,563606,20,20,20
7,10,3,5,10,1|2|600|4|1|1,,11,0,496,423,920,197234,19566,737797,10,11,11
7,10,3,6,10,1|2|600|4|1|1,,16,0,860,5812,6674,344170,29859,1304790,14,16,16
7,10,3,7,10,1|2|600|4|1|1,,13,0,782,1629,2412,305922,23688,1166655,10,13,13
7,10,3,8,10,1|2|600|4|1|1,,15,0,905,34889,35795,353940,25749,1351818,10,15,15
7,10,3,9,10,1|2|600|4|1|1,Timeout,,0,1083,624880,0,423143,27810,1627046,10,16,17
