g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
7,10,1,1,18,1|2|600|4|1|1,,13,0,34,5,40,12033,3432,35734,13,13,13
7,10,1,2,18,1|2|600|4|1|1,,10,0,34,6,41,15820,3777,48076,10,10,10
7,10,1,3,18,1|2|600|4|1|1,,19,0,172,101,274,68187,14559,218867,16,19,19
7,10,1,4,18,1|2|600|4|1|1,,29,0,232,3880,4113,92798,18873,299310,17,29,29
7,10,1,5,18,1|2|600|4|1|1,,27,0,248,834,1083,99931,19757,322165,15,27,27
7,10,1,6,18,1|2|600|4|1|1,,30,0,374,1987,2361,153169,30147,492119,20,30,30
7,10,1,7,18,1|2|600|4|1|1,,31,0,367,3011,3379,148412,27503,483484,16,31,31
7,10,1,8,18,1|2|600|4|1|1,,33,0,745,10176,10922,303559,56807,990781,15,33,33
7,10,1,9,18,1|2|600|4|1|1,,37,0,594,22732,23328,241061,44265,787603,21,37,37
7,10,1,10,18,1|2|600|4|1|1,,38,0,1125,61151,62277,447883,82291,1471577,18,38,38
7,10,2,1,18,1|2|600|4|1|1,,10,0,38,16,55,17118,4316,53253,10,10,10
7,10,2,2,18,1|2|600|4|1|1,,10,0,72,19,91,26701,5398,88265,10,10,10
7,10,2,3,18,1|2|600|4|1|1,,10,0,169,84,254,62021,11184,211778,9,10,10
7,10,2,4,18,1|2|600|4|1|1,,14,0,155,31,187,62113,10306,213611,14,14,14
7,10,2,5,18,1|2|600|4|1|1,,13,0,181,38,220,68046,10996,235339,13,13,13
7,10,2,6,18,1|2|600|4|1|1,,19,0,521,3160,3682,196622,29130,699954,16,19,19
7,10,2,7,18,1|2|600|4|1|1,,16,0,412,1649,2061,152775,22568,541944,11,16,16
7,10,2,8,18,1|2|600|4|1|1,,20,0,619,3917,4537,233799,33450,834217,15,20,20
7,10,2,9,18,1|2|600|4|1|1,,20,0,572,14707,15280,213332,29436,764567,12,20,20
7,10,2,10,18,1|2|600|4|1|1,,21,0,622,13579,14202,233304,31890,834416,12,21,21
7,10,3,1,18,1|2|600|4|1|1,,7,0,44,7,52,19160,4318,61243,7,7,7
