g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
7,10,1,1,19,1|2|600|4|1|1,,13,0,32,6,39,11916,3432,35357,13,13,13
7,10,1,2,19,1|2|600|4|1|1,,10,0,31,6,39,15797,3777,48813,10,10,10
7,10,1,3,19,1|2|600|4|1|1,,20,0,105,93,199,47036,10149,149594,11,20,20
7,10,1,4,19,1|2|600|4|1|1,,24,0,194,196,390,86778,17795,278820,16,24,24
7,10,1,5,19,1|2|600|4|1|1,,31,0,240,2053,2294,107485,21031,347417,16,31,31
7,10,1,6,19,1|2|600|4|1|1,,25,0,248,739,988,110609,21327,357435,14,25,25
7,10,1,7,19,1|2|600|4|1|1,,32,0,432,67073,67507,196291,37499,639663,11,32,32
7,10,1,8,19,1|2|600|4|1|1,,30,0,407,4080,4488,184226,34463,597104,18,30,30
7,10,1,9,19,1|2|600|4|1|1,,36,0,720,143442,144163,322462,58671,1059866,14,36,36
7,10,1,10,19,1|2|600|4|1|1,,35,0,782,36744,37529,353181,64259,1159947,14,35,35
7,10,2,1,19,1|2|600|4|1|1,,13,0,46,16,63,22376,5492,70799,13,13,13
7,10,2,2,19,1|2|600|4|1|1,,18,0,105,27,133,46424,9318,153948,18,18,18
7,10,2,3,19,1|2|600|4|1|1,,13,0,209,102,312,84397,14712,291394,12,13,13
7,10,2,4,19,1|2|600|4|1|1,,15,0,204,466,670,86408,14422,299610,10,15,15
7,10,2,5,19,1|2|600|4|1|1,Unsolvable,,,,,,,,,,,
7,10,2,6,19,1|2|600|4|1|1,,16,0,337,389,727,142588,22074,501040,12,16,16
7,10,2,7,19,1|2|600|4|1|1,,22,0,394,10100,10495,166666,24528,591075,12,22,22
7,10,2,8,19,1|2|600|4|1|1,,20,0,442,7898,8341,187842,26982,668512,12,20,20
7,10,2,9,19,1|2|600|4|1|1,,23,0,546,41295,41842,229194,31788,818465,13,23,23
7,10,2,10,19,1|2|600|4|1|1,,21,0,687,13593,14281,284959,36986,1032127,14,21,21
7,10,3,1,19,1|2|600|4|1|1,,5,0,28,8,37,14195,3240,44520,5,5,5
7,10,3,2,19,1|2|600|4|1|1,,10,0,159,71,231,67625,12115,234325,9,10,10
7,10,3,3,19,1|2|600|4|1|1,,10,0,110,27,138,48868,8103,170472,10,10,10
7,10,3,4,19,1|2|600|4|1|1,,9,0,140,29,170,56900,8354,202763,9,9,9
7,10,3,5,19,1|2|600|4|1|1,,10,0,336,201,539,133387,17719,489075,9,10,10
7,10,3,6,19,1|2|600|4|1|1,,12,0,374,513,888,152104,19587,558596,9,12,12
7,10,3,7,19,1|2|600|4|1|1,,10,0,232,45,278,98120,12439,358072,10,10,10
7,10,3,8,19,1|2|600|4|1|1,,13,0,481,2478,2961,191437,23323,710769,9,13,13
7,10,3,9,19,1|2|600|4|1|1,,15,0,654,2992,3647,264447,30483,990239,11,15,15
7,10,3,10,19,1|2|600|4|1|1,,17,0,784,34844,35629,316528,35585,1189090,12,17,17
7,10,4,1,19,1|2|600|4|1|1,,6,0,48,8,57,23147,4810,74940,6,6,6
7,10,4,2,19,1|2|600|4|1|1,,13,0,151,32,184,66297,10992,232023,13,13,13
7,10,4,3,19,1|2|600|4|1|1,,9,0,149,31,181,60766,8844,218037,9,9,9
7,10,4,4,19,1|2|600|4|1|1,,16,0,306,50,357,125417,16692,459683,16,16,16
7,10,4,5,19,1|2|600|4|1|1,,10,0,224,43,267,93676,11898,344921,10,10,10
7,10,4,6,19,1|2|600|4|1|1,,13,0,342,112,455,137729,16512,512699,13,13,13
7,10,4,7,19,1|2|600|4|1|1,,10,0,549,408,958,220783,24262,838106,9,10,10
7,10,4,8,19,1|2|600|4|1|1,,13,0,684,709,1394,270785,28876,1031615,10,13,13
7,10,4,9,19,1|2|600|4|1|1,,10,0,382,79,462,153889,16242,583594,10,10,10
7,10,4,10,19,1|2|600|4|1|1,,13,0,767,2651,3419,299234,29872,1147818,9,13,13
7,10,5,1,19,1|2|600|4|1|1,,0,0,2,0,3,1784,843,3304,0,0,0
7,10,5,2,19,1|2|600|4|1|1,,5,0,78,19,98,35040,5606,121903,5,5,5
7,10,5,3,19,1|2|600|4|1|1,,7,0,148,30,179,60392,8262,218587,7,7,7
7,10,5,4,19,1|2|600|4|1|1,,10,0,255,45,301,102418,12437,380782,10,10,10
7,10,5,5,19,1|2|600|4|1|1,,11,0,321,46,368,130265,14750,489884,11,11,11
7,10,5,6,19,1|2|600|4|1|1,,16,0,550,100,651,219752,22551,842078,16,16,16
7,10,5,7,19,1|2|600|4|1|1,,12,0,680,1089,1770,271751,27069,1047301,9,12,12
7,10,5,8,19,1|2|600|4|1|1,,12,0,511,96,608,204238,19827,784964,12,12,12
7,10,5,9,19,1|2|600|4|1|1,,12,0,551,77,628,219389,21111,845321,12,12,12
7,10,5,10,19,1|2|600|4|1|1,,12,0,636,915,1551,250950,22395,976856,12,12,12
7,10,6,1,19,1|2|600|4|1|1,,15,0,212,42,254,93559,15692,324154,15,15,15
7,10,6,2,19,1|2|600|4|1|1,,7,0,143,30,174,60296,8648,214844,7,7,7
7,10,6,3,19,1|2|600|4|1|1,,8,0,204,35,240,83207,10620,304688,8,8,8
7,10,6,4,19,1|2|600|4|1|1,,10,0,294,47,343,119045,14062,443683,10,10,10
7,10,6,5,19,1|2|600|4|1|1,,12,0,425,71,497,169068,17896,642311,12,12,12
7,10,6,6,19,1|2|600|4|1|1,,13,0,517,82,600,205886,20652,789502,13,13,13
7,10,6,7,19,1|2|600|4|1|1,,11,0,856,703,1559,332183,29876,1299152,9,11,11
7,10,6,8,19,1|2|600|4|1|1,,13,0,657,103,760,258988,23420,1009456,13,13,13
7,10,6,9,19,1|2|600|4|1|1,,13,0,1328,2399,3728,513920,44208,2021775,12,13,13
7,10,6,10,19,1|2|600|4|1|1,,10,0,626,159,786,246057,20602,965781,10,10,10
