g,b,a,c,seed,config,result,makespan,t_bound,t_extend,t_solver,t_total,n_clauses,n_variables,n_literals,initial_bound,lower_bound,upper_bound
3,10,1,1,2,1|2|600|4|1|1,,0,0,0,0,1,85,56,154,0,0,0
3,10,1,2,2,1|2|600|4|1|1,,7,0,12,5,18,2865,895,8257,5,7,7
3,10,1,3,2,1|2|600|4|1|1,,9,0,16,12,29,4148,1194,12003,5,9,9
3,10,1,4,2,1|2|600|4|1|1,,20,0,27,395,422,12011,3383,34679,6,20,20
3,10,1,5,2,1|2|600|4|1|1,Timeout,,0,209,602532,0,91660,26092,262501,5,81,-1
3,10,1,6,2,1|2|600|4|1|1,,42,0,127,95446,95574,60564,15321,180178,5,42,42
3,10,1,7,2,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,338,322015,0,159950,41702,468305,6,193,-1
3,10,1,8,2,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,374,487,0,182111,46915,533335,6,193,-1
3,10,2,1,2,1|2|600|4|1|1,,0,0,0,0,0,148,85,272,0,0,0
3,10,2,2,2,1|2|600|4|1|1,,3,0,3,0,4,1524,440,4548,3,3,3
3,10,2,3,2,1|2|600|4|1|1,,8,0,14,16,32,7027,1767,21939,6,8,8
3,10,2,4,2,1|2|600|4|1|1,,3,0,10,1,12,2644,664,8066,3,3,3
3,10,2,5,2,1|2|600|4|1|1,,11,0,45,383,429,14252,3233,45336,4,11,11
3,10,2,6,2,1|2|600|4|1|1,,20,0,48,61651,61700,21998,4560,71842,5,20,20
3,10,2,7,2,1|2|600|4|1|1,Timeout,,0,224,602722,0,93533,19711,303513,5,41,-1
3,10,2,8,2,1|2|600|4|1|1,Maximum (maximum) makespan exceeded,,0,515,22362,0,223735,43502,741691,5,161,-1
3,10,3,1,2,1|2|600|4|1|1,,1,0,1,0,1,638,222,1725,1,1,1
3,10,3,2,2,1|2|600|4|1|1,,5,0,7,1,9,3379,822,10762,5,5,5
3,10,3,3,2,1|2|600|4|1|1,,3,0,6,1,7,2823,666,8970,3,3,3
3,10,3,4,2,1|2|600|4|1|1,,5,0,14,11,26,6531,1347,21713,3,5,5
3,10,3,5,2,1|2|600|4|1|1,,6,0,16,3,19,7395,1542,24238,6,6,6
3,10,3,6,2,1|2|600|4|1|1,,15,0,54,36151,36206,23232,4167,79914,4,15,15
